model_id,family,cancer_type,endpoint,outcome_type,n,positive,negative,ncomp,tier,file,sha256
oncogenic_pathway__LGG__HIPPO,oncogenic_pathway,LGG,HIPPO,binary,481,379,102,7,A,models/oncogenic_pathway__LGG__HIPPO.rds,1b47ea9d8af0787f74df2ad57aff109766af51efbfb0599e6c0e20ef3cd19b0d
oncogenic_pathway__LGG__RTK_RAS,oncogenic_pathway,LGG,RTK RAS,binary,481,135,346,2,B,models/oncogenic_pathway__LGG__RTK_RAS.rds,009d97c9a6e5e9217ff3800975edc6aecb1fd8223cc032d433d2a6063bdd0380
oncogenic_pathway__LGG__TGF-Beta,oncogenic_pathway,LGG,TGF-Beta,binary,481,130,351,3,B,models/oncogenic_pathway__LGG__TGF-Beta.rds,e202b648eac6548758364e038d012ee4aca359999452afb8c550de0cb18eda1a
oncogenic_pathway__LGG__TP53,oncogenic_pathway,LGG,TP53,binary,481,248,233,4,A,models/oncogenic_pathway__LGG__TP53.rds,6b2e91f4b4690760d9e353cfd5ebc93cb02f7723c78f8276c0e1a6528a7fca6f
oncogenic_pathway__LGG__WNT,oncogenic_pathway,LGG,WNT,binary,481,131,350,5,A,models/oncogenic_pathway__LGG__WNT.rds,5437a1c9b4402b7c8dfcb8b2d149b73cd9a023c0e3bd2dbcb2b31ad2b4ab3783
oncogenic_pathway__LIHC__Cell_Cycle,oncogenic_pathway,LIHC,Cell Cycle,binary,337,232,105,8,B,models/oncogenic_pathway__LIHC__Cell_Cycle.rds,f76c08cbe5d02df47cbc12c9a371b71d85e7f245eb5ef1f90ebf40cab0b061bf
oncogenic_pathway__LIHC__TP53,oncogenic_pathway,LIHC,TP53,binary,337,127,210,3,B,models/oncogenic_pathway__LIHC__TP53.rds,de599cd3cb8d2fe69e44b5493b574a8a89d6fb0e26cfc4efb2d7780e231cd292
oncogenic_pathway__LIHC__WNT,oncogenic_pathway,LIHC,WNT,binary,337,147,190,3,B,models/oncogenic_pathway__LIHC__WNT.rds,e8a5acfaf64998bd7b3f78576e3898402e0508f34f3ff0fb916151125316aa6e
oncogenic_pathway__PCPG__Cell_Cycle,oncogenic_pathway,PCPG,Cell Cycle,binary,155,23,132,6,B,models/oncogenic_pathway__PCPG__Cell_Cycle.rds,9e686be254d847da6156240eb309c89b59097b5afb1ce7291938ac34c217529f
oncogenic_pathway__PCPG__RTK_RAS,oncogenic_pathway,PCPG,RTK RAS,binary,158,52,106,2,B,models/oncogenic_pathway__PCPG__RTK_RAS.rds,cde16b720871c62912ca14f6c89404c2cee586ffcedb17cf804ed1ae679acb80
