study,prior_cancer,gene,prior_metric,prior_evidence,prior_note,source_url,current_cancer,current_status,n,positive,negative,current_balanced_accuracy,current_adjusted_balanced_accuracy,current_q,current_tier
Kather2020,KIRP,SETD2,AUROC 0.847 [0.800–0.923],FDR q=3.56e-7,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,KIRP,not_eligible_or_not_tested,,,,,,,
Kather2020,LIHC,CTNNB1,AUROC 0.682 [0.635–0.688],FDR q=0.00000335,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LIHC,tested_not_supported,364,93,271,0.642780621354601,0.285561242709201,0.07,C
Kather2020,LIHC,RB1,AUROC 0.705 [0.616–0.828],FDR q=0.00123,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LIHC,not_eligible_or_not_tested,,,,,,,
Kather2020,LIHC,TP53,AUROC 0.606 [0.572–0.656],FDR q=0.0121,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LIHC,tested_not_supported,364,107,257,0.593894323429943,0.187788646859886,1,C
Kather2020,LUAD,EGFR,AUROC 0.624 [0.598–0.670],FDR q=0.00358,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LUAD,tested_not_supported,468,59,409,0.597778790767063,0.195557581534126,1,C
Kather2020,LUAD,STK11,AUROC 0.632 [0.547–0.679],FDR q=0.00101,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LUAD,tested_not_supported,468,67,401,0.523523281348867,0.0470465626977332,1,C
Kather2020,LUAD,TP53,AUROC 0.720 [0.700–0.746],FDR q=1.43e-15,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LUAD,tested_not_supported,468,234,234,0.709401709401709,0.418803418803419,0.15,C
Kather2020,LUSC,PIK3R1,AUROC 0.776 [0.547–0.962],FDR q=0.00280,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,LUSC,not_eligible_or_not_tested,,,,,,,
Kather2020,PAAD,KRAS,AUROC 0.670 [0.570–0.712],FDR q=0.00158,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,PAAD,tested_not_supported,183,116,67,0.545805455481215,0.0916109109624292,1,C
Kather2020,PRAD,FOXA1,AUROC 0.762 [0.695–0.880],FDR q=0.0000288,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,PRAD,tested_not_supported,402,25,377,0.521432360742706,0.0428647214854112,1,C
Kather2020,PRAD,TP53,AUROC 0.657 [0.599–0.749],FDR q=0.000485,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,PRAD,tested_not_supported,402,46,356,0.561309233023938,0.122618466047875,1,C
Kather2020,SKCM01,TP53,AUROC 0.654 [0.552–0.725],FDR q=0.00201,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,SKCM,not_eligible_or_not_tested,,,,,,,
Kather2020,SKCM06,PPP6C,AUROC 0.711 [0.500–0.882],FDR q=0.0129,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,metastatic_sample_type_excluded,,,,,,,
Kather2020,SKCM06,TP53,AUROC 0.726 [0.609–0.821],FDR q=0.00980,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,,metastatic_sample_type_excluded,,,,,,,
Kather2020,STAD,AMER1,AUROC 0.838 [0.729–0.940],FDR q=0.0443,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,not_eligible_or_not_tested,,,,,,,
Kather2020,STAD,BRCA2,AUROC 0.826 [0.685–0.914],FDR q=0.000468,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,not_eligible_or_not_tested,,,,,,,
Kather2020,STAD,FBXW7,AUROC 0.751 [0.676–0.807],FDR q=0.0000258,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,tested_not_supported,374,29,345,0.574462768615692,0.148925537231384,1,C
Kather2020,STAD,KDM6A,AUROC 0.767 [0.228–0.965],FDR q=0.0346,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,not_eligible_or_not_tested,,,,,,,
Kather2020,STAD,KMT2B,AUROC 0.764 [0.653–0.845],FDR q=0.0000242,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,not_eligible_or_not_tested,,,,,,,
Kather2020,STAD,KMT2D,AUROC 0.783 [0.707–0.809],FDR q=6.38e-7,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,not_eligible_or_not_tested,,,,,,,
