family,subfamily,tumor_type,endpoint,source,n,positive,negative,balanced_accuracy,adjusted_balanced_accuracy,p_permutation,permutations,permutation_exceedances,ncomp,seed,fastPLS_version,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier
driver_mutation,Bailey_tissue_specific_driver,STAD,TP53,TCGA_MC3_Bailey2018,374,179,195,0.65199828104856,0.303996562097121,0.01,99,0,5,20261205,0.99.20,99,FALSE,0.09,0.07,C
driver_mutation,Bailey_tissue_specific_driver,LIHC,CTNNB1,TCGA_MC3_Bailey2018,364,93,271,0.642780621354601,0.285561242709201,0.01,99,0,6,20261151,0.99.20,99,FALSE,0.07,0.07,C
driver_mutation,Bailey_tissue_specific_driver,BLCA,TP53,TCGA_MC3_Bailey2018,386,185,201,0.642086862982385,0.284173725964771,0.01,99,0,3,20261045,0.99.20,99,FALSE,0.15,0.07,C
driver_mutation,Bailey_tissue_specific_driver,HNSC,NSD1,TCGA_MC3_Bailey2018,450,51,399,0.639097744360902,0.278195488721805,0.01,99,0,9,20261119,0.99.20,99,FALSE,0.09,0.07,C
driver_mutation,Bailey_tissue_specific_driver,LGG,PTEN,TCGA_MC3_Bailey2018,490,23,467,0.637184619681594,0.274369239363188,0.01,99,0,5,20261142,0.99.20,99,FALSE,0.0216666666666667,0.07,B
driver_mutation,Bailey_tissue_specific_driver,UCEC,ARID1A,TCGA_MC3_Bailey2018,505,176,329,0.628091323570047,0.256182647140094,0.01,99,0,7,20261232,0.99.20,99,FALSE,0.0685714285714286,0.07,C
driver_mutation,Bailey_tissue_specific_driver,HNSC,TP53,TCGA_MC3_Bailey2018,450,320,130,0.625961538461539,0.251923076923077,0.01,99,0,3,20261110,0.99.20,99,FALSE,0.09,0.07,C
driver_mutation,Bailey_tissue_specific_driver,STAD,PIK3CA,TCGA_MC3_Bailey2018,374,58,316,0.625654735923178,0.251309471846355,0.01,99,0,4,20261212,0.99.20,99,FALSE,0.09,0.07,C
driver_mutation,Bailey_tissue_specific_driver,BRCA,CDH1,TCGA_MC3_Bailey2018,1054,96,958,0.622325156576201,0.244650313152401,0.01,99,0,7,20261074,0.99.20,99,FALSE,0.1,0.07,C
driver_mutation,Bailey_tissue_specific_driver,OV,TP53,TCGA_MC3_Bailey2018,106,22,84,0.617424242424242,0.234848484848485,0.08,99,7,2,20261186,0.99.20,99,FALSE,0.08,0.544,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,ATM,TCGA_MC3_Bailey2018,505,74,431,0.616369850128551,0.232739700257102,0.01,99,0,5,20261239,0.99.20,99,FALSE,0.0685714285714286,0.07,C
driver_mutation,Bailey_tissue_specific_driver,READ,KRAS,TCGA_MC3_Bailey2018,156,30,126,0.615873015873016,0.231746031746032,0.01,99,0,8,20261197,0.99.20,99,FALSE,0.01,0.07,B
driver_mutation,Bailey_tissue_specific_driver,UCEC,KMT2C,TCGA_MC3_Bailey2018,505,79,426,0.612245201164795,0.224490402329589,0.01,99,0,5,20261257,0.99.20,99,FALSE,0.0685714285714286,0.07,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,RPL22,TCGA_MC3_Bailey2018,505,44,461,0.61090021691974,0.221800433839479,0.01,99,0,3,20261264,0.99.20,99,FALSE,0.0685714285714286,0.07,C
driver_mutation,Bailey_tissue_specific_driver,CESC,TP53,TCGA_MC3_Bailey2018,269,21,248,0.604934715821813,0.209869431643625,0.01,99,0,4,20261088,0.99.20,99,FALSE,0.06,0.07,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,CHD3,TCGA_MC3_Bailey2018,505,71,434,0.600522489777374,0.201044979554748,0.01,99,0,4,20261249,0.99.20,99,FALSE,0.0685714285714286,0.07,C
driver_mutation,Bailey_tissue_specific_driver,LUAD,EGFR,TCGA_MC3_Bailey2018,468,59,409,0.597778790767063,0.195557581534126,1,0,,4,20261160,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,PAAD,TP53,TCGA_MC3_Bailey2018,183,106,77,0.596361185983828,0.192722371967655,1,0,,2,20261188,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,HNSC,CASP8,TCGA_MC3_Bailey2018,450,47,403,0.594688770392271,0.189377540784542,1,0,,2,20261118,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,STAD,ARID1A,TCGA_MC3_Bailey2018,374,91,283,0.594163786743292,0.188327573486584,1,0,,6,20261210,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LIHC,TP53,TCGA_MC3_Bailey2018,364,107,257,0.593894323429943,0.187788646859886,1,0,,4,20261149,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LGG,FUBP1,TCGA_MC3_Bailey2018,490,44,446,0.588972686506319,0.177945373012637,1,0,,6,20261138,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,SMC1A,TCGA_MC3_Bailey2018,505,43,462,0.588140541628914,0.176281083257827,1,0,,9,20261259,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,GBM,PTEN,TCGA_MC3_Bailey2018,384,53,331,0.586758251154307,0.173516502308613,1,0,,9,20261109,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LIHC,BAP1,TCGA_MC3_Bailey2018,364,20,344,0.584011627906977,0.168023255813954,1,0,,1,20261150,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,MSH6,TCGA_MC3_Bailey2018,505,50,455,0.583626373626374,0.167252747252747,1,0,,4,20261252,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LUAD,KEAP1,TCGA_MC3_Bailey2018,468,83,385,0.578454076044437,0.156908152088875,1,0,,7,20261161,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,STAD,CTNNB1,TCGA_MC3_Bailey2018,374,22,352,0.578125,0.15625,1,0,,10,20261213,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,BRCA,PIK3CA,TCGA_MC3_Bailey2018,1054,266,788,0.577525666959276,0.155051333918553,1,0,,10,20261073,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,MAP3K1,TCGA_MC3_Bailey2018,505,50,455,0.575824175824176,0.151648351648352,1,0,,8,20261256,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,STAD,FBXW7,TCGA_MC3_Bailey2018,374,29,345,0.574462768615692,0.148925537231384,1,0,,7,20261206,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,COAD,BRAF,TCGA_MC3_Bailey2018,433,44,389,0.572709745267586,0.145419490535172,1,0,,10,20261095,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,CTNNB1,TCGA_MC3_Bailey2018,505,97,408,0.569789771578735,0.139579543157469,1,0,,8,20261234,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,CTCF,TCGA_MC3_Bailey2018,505,96,409,0.566906071719641,0.133812143439283,1,0,,8,20261246,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LUAD,KRAS,TCGA_MC3_Bailey2018,468,140,328,0.566637630662021,0.133275261324042,1,0,,2,20261155,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,STAD,RNF43,TCGA_MC3_Bailey2018,374,30,344,0.564437984496124,0.128875968992248,1,0,,9,20261217,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,DICER1,TCGA_MC3_Bailey2018,505,51,454,0.564006219227779,0.128012438455559,1,0,,5,20261269,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,386,24,362,0.563996316758748,0.127992633517495,1,0,,8,20261066,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UVM,GNAQ,TCGA_MC3_Bailey2018,80,40,40,0.5625,0.125,1,0,,3,20261274,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LGG,NOTCH1,TCGA_MC3_Bailey2018,490,32,458,0.561749454148472,0.123498908296943,1,0,,6,20261139,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,PRAD,TP53,TCGA_MC3_Bailey2018,402,46,356,0.561309233023938,0.122618466047875,1,0,,10,20261191,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LGG,NF1,TCGA_MC3_Bailey2018,490,31,459,0.559947993534331,0.119895987068662,1,0,,4,20261143,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,KRAS,TCGA_MC3_Bailey2018,505,81,424,0.559850337759143,0.119700675518286,1,0,,10,20261241,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,STAD,CDH1,TCGA_MC3_Bailey2018,374,36,338,0.558760683760684,0.117521367521368,1,0,,6,20261207,0.99.20,,,1,1,C
