outcome_type,family,tumor_type,endpoint,n,n_sites,original_metric,site_grouped_metric,delta,retention_threshold,retained_effect,near_chance_or_worse,feasible,outer_site_overlap,seed,backend,svd_method,rsvd_oversample,rsvd_power,retention_definition
continuous,rna_pathway_activity,CESC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,267,29,0.220957004391333,0.177544458482738,-0.0434125459085952,0.2,FALSE,FALSE,TRUE,FALSE,20261292,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LGG,HALLMARK_ESTROGEN_RESPONSE_LATE,490,25,0.23889974447054,0.178590300953514,-0.0603094435170256,0.2,FALSE,FALSE,TRUE,FALSE,20261239,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,HNSC,IFN-gamma Response,437,26,0.267276594957964,0.179584418331348,-0.0876921766266163,0.2,FALSE,FALSE,TRUE,FALSE,20261508,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,KIRP,HALLMARK_IL2_STAT5_SIGNALING,272,31,0.2069228209695,0.179678777059542,-0.0272440439099583,0.2,FALSE,FALSE,TRUE,FALSE,20261344,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,microsatellite_instability,STAD,MANTIS score,371,22,0.210769611191346,0.179825145481626,-0.03094446570972,0.2,FALSE,FALSE,TRUE,FALSE,20260831,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,PAAD,HALLMARK_ANGIOGENESIS,176,26,0.254030050075936,0.181249788330629,-0.0727802617453074,0.2,FALSE,FALSE,TRUE,FALSE,20261205,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,KICH,HALLMARK_CHOLESTEROL_HOMEOSTASIS,65,4,0.210743775366543,0.181470107198586,-0.0292736681679572,0.2,FALSE,FALSE,TRUE,FALSE,20261329,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,LUSC,Th2 Cells,462,35,0.213769087626327,0.182047060890587,-0.03172202673574,0.2,FALSE,FALSE,TRUE,FALSE,20261567,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,THYM,HALLMARK_KRAS_SIGNALING_DN,117,19,0.262196467254906,0.182172781419205,-0.0800236858357011,0.2,FALSE,FALSE,TRUE,FALSE,20261185,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,HNSC,HALLMARK_G2M_CHECKPOINT,442,26,0.205543504274188,0.182517302131923,-0.0230262021422653,0.2,FALSE,FALSE,TRUE,FALSE,20261349,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,THYM,HALLMARK_INTERFERON_GAMMA_RESPONSE,117,19,0.233399852024561,0.183694821532828,-0.0497050304917328,0.2,FALSE,FALSE,TRUE,FALSE,20261255,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,LGG,HALLMARK_FATTY_ACID_METABOLISM,490,25,0.202121925657708,0.184258526039195,-0.0178633996185132,0.2,FALSE,FALSE,TRUE,FALSE,20261359,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,PCPG,HALLMARK_COAGULATION,176,17,0.240603111272756,0.184844905931509,-0.0557582053412467,0.2,FALSE,FALSE,TRUE,FALSE,20261234,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,UCEC,HALLMARK_WNT_BETA_CATENIN_SIGNALING,492,30,0.205126134645613,0.185462789654711,-0.0196633449909016,0.2,FALSE,FALSE,TRUE,FALSE,20261353,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,KIRP,HALLMARK_IL6_JAK_STAT3_SIGNALING,272,31,0.253813424940195,0.185753799727455,-0.0680596252127399,0.2,FALSE,FALSE,TRUE,FALSE,20261208,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,HNSC,HALLMARK_INTERFERON_ALPHA_RESPONSE,442,26,0.283011492232277,0.185952507868012,-0.0970589843642654,0.2,FALSE,FALSE,TRUE,FALSE,20261135,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,BRCA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1052,39,0.213747593176635,0.186229054940836,-0.0275185382357987,0.2,FALSE,FALSE,TRUE,FALSE,20261316,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,UCS,HALLMARK_MYOGENESIS,53,10,0.270413045752666,0.186448755489883,-0.0839642902627833,0.2,FALSE,FALSE,TRUE,FALSE,20261167,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V2,382,33,0.207105815459379,0.18658443878791,-0.020521376671469,0.2,FALSE,FALSE,TRUE,FALSE,20261343,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,BRCA,HALLMARK_NOTCH_SIGNALING,1052,39,0.264187309543399,0.187308947582654,-0.0768783619607451,0.2,FALSE,FALSE,TRUE,FALSE,20261181,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,HNSC,T Cells CD8,437,26,0.216061441490288,0.187721370270444,-0.0283400712198439,0.2,FALSE,FALSE,TRUE,FALSE,20261563,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,PRAD,HALLMARK_IL2_STAT5_SIGNALING,400,27,0.212115500749779,0.187855966218354,-0.0242595345314251,0.2,FALSE,FALSE,TRUE,FALSE,20261324,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,PRAD,HALLMARK_COMPLEMENT,400,27,0.21736711020007,0.187927538390959,-0.0294395718091111,0.2,FALSE,FALSE,TRUE,FALSE,20261303,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,THCA,Plasma Cells,498,22,0.227155876211028,0.188586438654979,-0.0385694375560488,0.2,FALSE,FALSE,TRUE,FALSE,20261551,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,thorsson,KIRC,Proliferation,492,18,0.307731596722332,0.188681851129942,-0.11904974559239,0.2,FALSE,FALSE,TRUE,FALSE,20261472,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,THCA,HALLMARK_NOTCH_SIGNALING,503,22,0.275829835386101,0.18921803088832,-0.0866118044977807,0.2,FALSE,FALSE,TRUE,FALSE,20261153,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,UCEC,HALLMARK_IL6_JAK_STAT3_SIGNALING,492,30,0.213546671576036,0.189808228135522,-0.0237384434405135,0.2,FALSE,FALSE,TRUE,FALSE,20261320,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
continuous,rna_pathway_activity,BRCA,HALLMARK_MYOGENESIS,1052,39,0.305590940986147,0.189913802188572,-0.115677138797575,0.2,FALSE,FALSE,TRUE,FALSE,20261087,cpu,rsvd,32,5,site-grouped Q2 >= 0.20
