stability_repeat,consensus_class,N,outcome_type,threshold,selected_tasks,proportion,mean_tasks,min_tasks,max_tasks,mean_proportion
3,all three,329,continuous,0.19,978,0.33640081799591,329.6,326,333,0.337014314928425
4,all three,329,continuous,0.19,978,0.33640081799591,329.6,326,333,0.337014314928425
5,all three,326,continuous,0.19,978,0.333333333333333,329.6,326,333,0.337014314928425
1,exactly two,151,continuous,0.19,978,0.15439672801636,151.6,144,160,0.155010224948875
2,representation specific,256,continuous,0.19,978,0.261758691206544,264.6,256,269,0.270552147239264
3,exactly two,153,continuous,0.19,978,0.156441717791411,151.6,144,160,0.155010224948875
4,exactly two,160,continuous,0.19,978,0.16359918200409,151.6,144,160,0.155010224948875
1,representation specific,266,continuous,0.19,978,0.2719836400818,264.6,256,269,0.270552147239264
3,representation specific,267,continuous,0.19,978,0.273006134969325,264.6,256,269,0.270552147239264
4,representation specific,269,continuous,0.19,978,0.275051124744376,264.6,256,269,0.270552147239264
5,representation specific,265,continuous,0.19,978,0.270961145194274,264.6,256,269,0.270552147239264
1,none,230,continuous,0.19,978,0.235173824130879,232.2,220,245,0.237423312883436
2,none,245,continuous,0.19,978,0.250511247443763,232.2,220,245,0.237423312883436
3,none,229,continuous,0.19,978,0.234151329243354,232.2,220,245,0.237423312883436
4,none,220,continuous,0.19,978,0.224948875255624,232.2,220,245,0.237423312883436
5,none,237,continuous,0.19,978,0.242331288343558,232.2,220,245,0.237423312883436
5,exactly two,150,continuous,0.19,978,0.153374233128834,151.6,144,160,0.155010224948875
2,exactly two,144,continuous,0.19,978,0.147239263803681,151.6,144,160,0.155010224948875
1,all three,303,continuous,0.2,978,0.309815950920245,300,292,306,0.306748466257669
2,all three,306,continuous,0.2,978,0.312883435582822,300,292,306,0.306748466257669
3,all three,292,continuous,0.2,978,0.298568507157464,300,292,306,0.306748466257669
4,all three,299,continuous,0.2,978,0.305725971370143,300,292,306,0.306748466257669
5,all three,300,continuous,0.2,978,0.306748466257669,300,292,306,0.306748466257669
1,representation specific,250,continuous,0.2,978,0.255623721881391,258,250,267,0.263803680981595
2,representation specific,257,continuous,0.2,978,0.26278118609407,258,250,267,0.263803680981595
3,representation specific,256,continuous,0.2,978,0.261758691206544,258,250,267,0.263803680981595
4,exactly two,150,continuous,0.2,978,0.153374233128834,144.8,135,155,0.148057259713701
5,exactly two,138,continuous,0.2,978,0.141104294478528,144.8,135,155,0.148057259713701
3,none,275,continuous,0.2,978,0.28118609406953,275.2,262,280,0.281390593047035
4,representation specific,267,continuous,0.2,978,0.273006134969325,258,250,267,0.263803680981595
5,representation specific,260,continuous,0.2,978,0.265848670756646,258,250,267,0.263803680981595
1,none,279,continuous,0.2,978,0.285276073619632,275.2,262,280,0.281390593047035
2,none,280,continuous,0.2,978,0.286298568507157,275.2,262,280,0.281390593047035
4,none,262,continuous,0.2,978,0.267893660531697,275.2,262,280,0.281390593047035
5,none,280,continuous,0.2,978,0.286298568507157,275.2,262,280,0.281390593047035
1,exactly two,146,continuous,0.2,978,0.149284253578732,144.8,135,155,0.148057259713701
2,exactly two,135,continuous,0.2,978,0.138036809815951,144.8,135,155,0.148057259713701
3,exactly two,155,continuous,0.2,978,0.158486707566462,144.8,135,155,0.148057259713701
1,all three,272,continuous,0.21,978,0.278118609406953,270.2,264,276,0.276278118609407
