family,tumor_type,endpoint,n,multi_slide_patients,mean_pool_q2,first_slide_q2,delta_first_minus_mean,seed,backend,svd_method,rsvd_oversample,rsvd_power
rna_pathway_activity,LUAD,HALLMARK_G2M_CHECKPOINT,462,20,0.565978642568748,0.563607873302266,-0.00237076926648239,20262259,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_PANCREAS_BETA_CELLS,149,63,0.561408585645471,0.565427688027234,0.0040191023817634,20263450,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_BILE_ACID_METABOLISM,358,8,0.559395952332576,0.556543471012056,-0.00285248132052052,20262141,cpu,rsvd,32,5
rna_pathway_activity,BRCA,HALLMARK_MTORC1_SIGNALING,1052,66,0.557526014853263,0.559435276251251,0.00190926139798786,20261105,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_NOTCH_SIGNALING,176,8,0.556071388395804,0.540834336984105,-0.0152370514116991,20262700,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_COMPLEMENT,252,98,0.553156043940458,0.558475017622575,0.00531897368211698,20263101,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_APOPTOSIS,503,12,0.549262152328155,0.546176754203311,-0.00308539812484387,20263526,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_HEDGEHOG_SIGNALING,149,63,0.54193454514337,0.516246465459503,-0.025688079683867,20263432,cpu,rsvd,32,5
rna_pathway_activity,BRCA,HALLMARK_E2F_TARGETS,1052,66,0.539801278445906,0.528192017335642,-0.0116092611102641,20261087,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_APICAL_SURFACE,149,63,0.539517820627103,0.493445888728003,-0.0460719318991005,20263418,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_IL6_JAK_STAT3_SIGNALING,503,12,0.539121029776814,0.537310083199267,-0.00181094657754688,20263543,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_IL6_JAK_STAT3_SIGNALING,252,98,0.527229514741177,0.510061249163187,-0.01716826557799,20263114,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_INFLAMMATORY_RESPONSE,503,12,0.524860267240189,0.516870056232542,-0.0079902110076473,20263544,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_MTORC1_SIGNALING,149,63,0.524391307710752,0.521257007116161,-0.00313430059459152,20263443,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_TGF_BETA_SIGNALING,149,63,0.521200127379941,0.556233348596514,0.0350332212165729,20263456,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_INFLAMMATORY_RESPONSE,252,98,0.51995328992439,0.521538687970705,0.00158539804631486,20263115,cpu,rsvd,32,5
rna_pathway_activity,KIRP,HALLMARK_ADIPOGENESIS,272,11,0.506220227060312,0.490139339987648,-0.0160808870726635,20261923,cpu,rsvd,32,5
rna_pathway_activity,BRCA,HALLMARK_G2M_CHECKPOINT,1052,66,0.506137488267604,0.502463978123289,-0.00367351014431461,20261092,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_COAGULATION,149,63,0.503489421422285,0.497496936563822,-0.00599248485846315,20263422,cpu,rsvd,32,5
