outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,screen_tier,repeat_id,seed,pls_sensitivity,pls_specificity,pls_balanced_accuracy,pls_auc,ridge_sensitivity,ridge_specificity,ridge_balanced_accuracy,ridge_auc,median_pls_ncomp,median_pls_threshold,median_ridge_lambda,median_ridge_threshold,median_inner_pls_balanced_accuracy,median_inner_ridge_balanced_accuracy,outer_folds_identical,inner_folds_identical,threshold_selection
binary,driver_mutation,STAD,DMD,medium,moderate,C,2,20280840,0.604166666666667,0.557275541795666,0.580721104231166,0.605134158926729,0.645833333333333,0.495356037151703,0.570594685242518,0.591911764705882,2,-2.33153298365901,2.08044570095755,0.114862705388454,0.6765605875153,0.67032967032967,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,STAD,DMD,medium,moderate,C,3,20290840,0.791666666666667,0.486068111455108,0.638867389060887,0.637899896800826,0.604166666666667,0.544891640866873,0.57452915376677,0.637770897832817,2,-2.61946510769265,2.73096359085322,0.118009527520482,0.682272541819665,0.663152163152163,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,STAD,DMD,medium,moderate,C,4,20300840,0.75,0.572755417956656,0.661377708978328,0.678212074303406,0.854166666666667,0.476780185758514,0.66547342621259,0.692917956656347,3,-2.52239244278872,2.45493516106416,0.102235185721733,0.683496532027744,0.665646674826601,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,STAD,DMD,medium,moderate,C,5,20310840,0.6875,0.547987616099071,0.617743808049536,0.638351393188855,0.708333333333333,0.513931888544892,0.611132610939113,0.629966460268318,3,-2.68731152191764,1.76689035498299,0.111024179033531,0.687704187704188,0.68655650754794,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,KIRC,MTOR,small,high,C,1,20270841,0.555555555555556,0.325153374233129,0.440354464894342,0.458077709611452,0.555555555555556,0.392638036809816,0.474096796182686,0.497102931152011,2,-3.29223375641523,38.4604589628726,0.0720421659609616,0.605625217694183,0.613574165298303,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,KIRC,MTOR,small,high,C,2,20280841,0.518518518518519,0.358895705521472,0.438707112019995,0.397523290161327,0.666666666666667,0.328220858895706,0.497443762781186,0.441490570324926,4,-5.41918636056412,2.35340338309636,0.055393172529444,0.616509926854755,0.592650644374782,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,KIRC,MTOR,small,high,C,3,20290841,0.518518518518519,0.43558282208589,0.477050670302204,0.467280163599182,0.481481481481482,0.530674846625767,0.506078164053624,0.434560327198364,5,-4.24657021804567,11.0767600916602,0.0767793119199651,0.606868131868132,0.597974822112753,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,KIRC,MTOR,small,high,C,4,20300841,0.851851851851852,0.352760736196319,0.602306294024085,0.528402635764599,0.777777777777778,0.423312883435583,0.60054533060668,0.54180867984549,6,-4.71134821778312,1.09830869454123,0.0580026945493224,0.613462208289795,0.599529780564263,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,KIRC,MTOR,small,high,C,5,20310841,0.481481481481482,0.352760736196319,0.4171211088389,0.445694160418087,0.814814814814815,0.190184049079755,0.502499431947285,0.468870711202,4,-4.60028844538777,8.3293033412299,0.060206293824817,0.588644688644689,0.60423197492163,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,OV,TP53,small,low,B,1,20270842,0.590909090909091,0.78,0.685454545454546,0.728181818181818,0.5,0.76,0.63,0.666363636363636,5,-0.889244387737938,15.1955635401981,0.309145622532752,0.736111111111111,0.726388888888889,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
