source,tumor_type,cohort_patients,covered_patients,missing_patients,covered_primary_aliquots,patients_with_multiple_primary_aliquots,maximum_primary_aliquots,aggregation_rule
Taylor2018_TableS2,LUAD,468,449,19,449,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,LUSC,477,459,18,459,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,MESO,75,69,6,69,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,OV,106,96,10,96,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,PAAD,183,163,20,163,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,PCPG,176,157,19,157,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,PRAD,402,382,20,382,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,READ,156,143,13,143,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,SARC,254,238,16,238,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,SKCM,292,98,194,98,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,STAD,374,360,14,360,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,TGCT,149,148,1,148,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,THCA,505,462,43,462,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,THYM,121,103,18,103,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,UCEC,505,477,28,477,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,UCS,53,52,1,52,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,UVM,80,80,0,80,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Thorsson2018_PanImmune_MS,,9,0,9,0,0,0,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,ACC,56,55,1,55,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,BLCA,386,386,0,386,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,BRCA,1054,1043,11,1043,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,CESC,269,268,1,268,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,CHOL,39,36,3,36,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,COAD,433,421,12,421,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,DLBC,44,44,0,44,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,ESCA,156,156,0,156,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,GBM,384,382,2,382,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,HNSC,450,446,4,446,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,KICH,108,65,43,65,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,KIRC,513,494,19,494,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,KIRP,273,268,5,268,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,LGG,490,488,2,488,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,LIHC,364,363,1,363,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,LUAD,468,462,6,462,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,LUSC,477,465,12,465,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,MESO,75,75,0,75,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,OV,106,106,0,106,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,PAAD,183,182,1,182,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,PCPG,176,175,1,175,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,PRAD,402,399,3,399,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,READ,156,146,10,146,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,SARC,254,250,4,250,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,SKCM,292,292,0,292,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,STAD,374,373,1,373,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,TGCT,149,148,1,148,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,THCA,505,501,4,501,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,THYM,121,121,0,121,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,UCEC,505,492,13,492,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,UCS,53,53,0,53,0,1,one participant-level row; endpoint-specific missing values retained
Thorsson2018_PanImmune_MS,UVM,80,80,0,80,0,1,one participant-level row; endpoint-specific missing values retained
cBioPortal_TCGA_PanCancer,,9,0,9,0,0,0,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,ACC,56,55,1,55,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,BLCA,386,385,1,385,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,BRCA,1054,1032,22,1032,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,CESC,269,261,8,261,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,CHOL,39,36,3,36,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
