outcome_type,family,subfamily,tumor_type,endpoint,source,foundation_model,selection_reason,primary_union_positive,primary_near_threshold,alternative_partitions,crossing_count,crossing_proportion,mean_effect,sd_effect,median_effect,min_effect,max_effect,mean_q2,mean_balanced_accuracy,mean_auc,mean_pr_auc,mean_ppv,mean_npv,mean_prevalence,selected_components_median,component_ceiling_fraction,primary_q2,primary_balanced_accuracy,primary_auc,primary_effect,primary_crossing_statistic,primary_crossing,primary_repeat_crossing_agreement_proportion
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_MYC_TARGETS_V1,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,near-threshold only,FALSE,TRUE,5,0,0,0.12406453007835,0.0231363279965928,0.115897604633316,0.0983185844477634,0.159653748653618,0.12406453007835,,,,,,,2,0,0.144684509042722,,,0.144684509042722,0.144684509042722,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_MYC_TARGETS_V1,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,near-threshold only,FALSE,TRUE,5,0,0,0.12576120723865,0.0166200022924819,0.12311006164562,0.108388696557511,0.14386072825149,0.12576120723865,,,,,,,2,0,0.123709710730142,,,0.123709710730142,0.123709710730142,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_MYC_TARGETS_V1,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,near-threshold only,FALSE,TRUE,5,2,0.4,0.181999354843601,0.0375647928478775,0.196659650226461,0.128973115585728,0.223561143200268,0.181999354843601,,,,,,,2,0,0.190496891715417,,,0.190496891715417,0.190496891715417,FALSE,0.6
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_MYC_TARGETS_V2,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,union-positive and near-threshold,TRUE,TRUE,5,0,0,0.159322656742106,0.0191085185911127,0.156584088336414,0.139317069583547,0.187315764902553,0.159322656742106,,,,,,,2,0,0.196697442731578,,,0.196697442731578,0.196697442731578,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_MYC_TARGETS_V2,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,union-positive and near-threshold,TRUE,TRUE,5,2,0.4,0.191848592946938,0.0228513608745549,0.183234179366952,0.165449909566546,0.217742231937047,0.191848592946938,,,,,,,2,0,0.202067439437403,,,0.202067439437403,0.202067439437403,TRUE,0.4
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_MYC_TARGETS_V2,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,union-positive and near-threshold,TRUE,TRUE,5,5,1,0.263057720227743,0.00724671393487654,0.264600733279436,0.252588938600609,0.272582710267739,0.263057720227743,,,,,,,2,0,0.222324281020925,,,0.222324281020925,0.222324281020925,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,near-threshold only,FALSE,TRUE,5,0,0,0.136888635860303,0.0266968053107639,0.137257290003417,0.100529952052498,0.162844806647492,0.136888635860303,,,,,,,1,0,0.0550189507042637,,,0.0550189507042637,0.0550189507042637,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,near-threshold only,FALSE,TRUE,5,1,0.2,0.183918416625136,0.0192664620816918,0.185561901254401,0.160267769681542,0.208863820185756,0.183918416625136,,,,,,,1,0,0.16379721567596,,,0.16379721567596,0.16379721567596,FALSE,0.8
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,near-threshold only,FALSE,TRUE,5,1,0.2,0.17507347068603,0.0162791815639072,0.172992956691368,0.155552880170069,0.200385248232143,0.17507347068603,,,,,,,1,0,0.167542811743602,,,0.167542811743602,0.167542811743602,FALSE,0.8
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,union-positive,TRUE,FALSE,5,5,1,0.288212807273355,0.0112382772577354,0.289285454853089,0.275154752625463,0.304722155178327,0.288212807273355,,,,,,,2,0,0.29430763091797,,,0.29430763091797,0.29430763091797,TRUE,1
