foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n_primary,positive_primary,negative_primary,metric_primary,screen_positive_primary,n_exact,positive_exact,negative_exact,metric_exact,screen_positive_exact,delta_exact_minus_primary,threshold_change
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,FBXW7,TCGA_MC3_Bailey2018,251,29,222,0.531531531531532,FALSE,251,29,222,0.531531531531532,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2C,TCGA_MC3_Bailey2018,251,47,204,0.447017104714226,FALSE,251,47,204,0.447017104714226,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2D,TCGA_MC3_Bailey2018,251,38,213,0.333086236718557,FALSE,251,38,213,0.333086236718557,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,PIK3CA,TCGA_MC3_Bailey2018,251,70,181,0.580426203630624,FALSE,251,70,181,0.580426203630624,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,TP53,TCGA_MC3_Bailey2018,251,21,230,0.566666666666667,FALSE,251,21,230,0.566666666666667,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ACVR2A,TCGA_MC3_Bailey2018,382,21,361,0.730510486743174,TRUE,382,21,361,0.730510486743174,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,AMER1,TCGA_MC3_Bailey2018,382,37,345,0.599686643164904,FALSE,382,37,345,0.599686643164904,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,APC,TCGA_MC3_Bailey2018,382,196,186,0.794574281325433,TRUE,382,196,186,0.794574281325433,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ARID1A,TCGA_MC3_Bailey2018,382,34,348,0.578177822853279,FALSE,382,34,348,0.578177822853279,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,BRAF,TCGA_MC3_Bailey2018,382,44,338,0.740048413125336,TRUE,382,44,338,0.740048413125336,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,CTNNB1,TCGA_MC3_Bailey2018,382,21,361,0.702018203403245,TRUE,382,21,361,0.702018203403245,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,FBXW7,TCGA_MC3_Bailey2018,382,43,339,0.617822597242231,TRUE,382,43,339,0.617822597242231,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,KRAS,TCGA_MC3_Bailey2018,382,126,256,0.693142361111111,TRUE,382,126,256,0.693142361111111,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,PIK3CA,TCGA_MC3_Bailey2018,382,83,299,0.698069871459081,TRUE,382,83,299,0.698069871459081,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,SMAD4,TCGA_MC3_Bailey2018,382,36,346,0.695809248554913,TRUE,382,36,346,0.695809248554913,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,SOX9,TCGA_MC3_Bailey2018,382,42,340,0.640686274509804,TRUE,382,42,340,0.640686274509804,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,TCF7L2,TCGA_MC3_Bailey2018,382,32,350,0.528125,FALSE,382,32,350,0.528125,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,TP53,TCGA_MC3_Bailey2018,382,161,221,0.786149911469605,TRUE,382,161,221,0.786149911469605,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,GBM,EGFR,TCGA_MC3_Bailey2018,240,40,200,0.598625,FALSE,240,40,200,0.598625,FALSE,0,retained negative
