truth,predicted,Freq
BLCA,LUSC,0
BRCA,LUSC,1
CESC,LUSC,4
CHOL,LUSC,0
COAD,LUSC,0
DLBC,LUSC,0
ESCA,LUSC,1
GBM,LUSC,0
HNSC,LUSC,4
KICH,LUSC,0
KIRC,LUSC,0
KIRP,LUSC,0
LGG,LUSC,0
LIHC,LUSC,0
LUAD,LUSC,17
LUSC,LUSC,428
MESO,LUSC,0
OV,LUSC,0
PAAD,LUSC,0
PCPG,LUSC,0
PRAD,LUSC,0
READ,LUSC,0
SARC,LUSC,0
SKCM,LUSC,0
STAD,LUSC,0
TGCT,LUSC,0
THCA,LUSC,0
THYM,LUSC,1
UCEC,LUSC,0
UCS,LUSC,0
UVM,LUSC,0
ACC,MESO,0
BLCA,MESO,3
BRCA,MESO,5
CESC,MESO,2
CHOL,MESO,0
COAD,MESO,0
DLBC,MESO,0
ESCA,MESO,0
GBM,MESO,0
HNSC,MESO,1
KICH,MESO,0
KIRC,MESO,1
KIRP,MESO,1
LGG,MESO,0
LIHC,MESO,1
LUAD,MESO,1
LUSC,MESO,3
MESO,MESO,54
OV,MESO,1
PAAD,MESO,0
PCPG,MESO,0
PRAD,MESO,0
READ,MESO,0
SARC,MESO,0
SKCM,MESO,5
STAD,MESO,0
TGCT,MESO,0
THCA,MESO,0
THYM,MESO,4
UCEC,MESO,1
UCS,MESO,0
UVM,MESO,0
ACC,OV,0
BLCA,OV,0
BRCA,OV,3
CESC,OV,2
CHOL,OV,0
COAD,OV,0
DLBC,OV,0
ESCA,OV,0
GBM,OV,0
HNSC,OV,0
KICH,OV,0
KIRC,OV,0
KIRP,OV,1
LGG,OV,0
LIHC,OV,0
LUAD,OV,0
LUSC,OV,1
MESO,OV,3
OV,OV,100
PAAD,OV,0
PCPG,OV,0
PRAD,OV,0
READ,OV,0
SARC,OV,0
SKCM,OV,0
STAD,OV,0
TGCT,OV,0
THCA,OV,0
THYM,OV,0
UCEC,OV,16
UCS,OV,1
UVM,OV,0
ACC,PAAD,0
BLCA,PAAD,1
BRCA,PAAD,1
CESC,PAAD,0
CHOL,PAAD,2
COAD,PAAD,4
DLBC,PAAD,3
ESCA,PAAD,1
GBM,PAAD,0
HNSC,PAAD,0
KICH,PAAD,0
KIRC,PAAD,0
KIRP,PAAD,0
LGG,PAAD,0
LIHC,PAAD,0
LUAD,PAAD,1
LUSC,PAAD,1
MESO,PAAD,0
OV,PAAD,0
PAAD,PAAD,141
PCPG,PAAD,0
PRAD,PAAD,0
READ,PAAD,1
SARC,PAAD,3
SKCM,PAAD,1
STAD,PAAD,13
TGCT,PAAD,1
THCA,PAAD,0
THYM,PAAD,0
UCEC,PAAD,0
UCS,PAAD,0
UVM,PAAD,0
ACC,PCPG,1
BLCA,PCPG,0
BRCA,PCPG,0
CESC,PCPG,0
CHOL,PCPG,0
COAD,PCPG,0
DLBC,PCPG,0
ESCA,PCPG,0
GBM,PCPG,0
HNSC,PCPG,0
KICH,PCPG,0
KIRC,PCPG,1
KIRP,PCPG,1
LGG,PCPG,0
LIHC,PCPG,1
LUAD,PCPG,0
LUSC,PCPG,0
MESO,PCPG,1
OV,PCPG,0
PAAD,PCPG,8
PCPG,PCPG,169
PRAD,PCPG,0
READ,PCPG,0
SARC,PCPG,0
SKCM,PCPG,0
STAD,PCPG,1
TGCT,PCPG,0
THCA,PCPG,0
THYM,PCPG,0
UCEC,PCPG,0
UCS,PCPG,0
UVM,PCPG,0
ACC,PRAD,0
BLCA,PRAD,4
BRCA,PRAD,0
CESC,PRAD,0
CHOL,PRAD,0
COAD,PRAD,1
DLBC,PRAD,0
ESCA,PRAD,0
GBM,PRAD,0
HNSC,PRAD,0
KICH,PRAD,0
KIRC,PRAD,0
KIRP,PRAD,0
LGG,PRAD,0
LIHC,PRAD,0
LUAD,PRAD,0
LUSC,PRAD,0
MESO,PRAD,0
OV,PRAD,0
PAAD,PRAD,0
PCPG,PRAD,0
PRAD,PRAD,401
READ,PRAD,0
SARC,PRAD,0
SKCM,PRAD,0
STAD,PRAD,1
TGCT,PRAD,0
THCA,PRAD,0
THYM,PRAD,0
UCEC,PRAD,0
UCS,PRAD,0
UVM,PRAD,0
ACC,READ,0
BLCA,READ,0
BRCA,READ,0
CESC,READ,0
CHOL,READ,0
COAD,READ,5
DLBC,READ,0
ESCA,READ,1
GBM,READ,0
HNSC,READ,0
KICH,READ,0
KIRC,READ,0
KIRP,READ,0
LGG,READ,0
LIHC,READ,0
LUAD,READ,0
LUSC,READ,0
MESO,READ,0
OV,READ,0
PAAD,READ,0
PCPG,READ,0
PRAD,READ,0
READ,READ,6
SARC,READ,0
SKCM,READ,0
STAD,READ,1
TGCT,READ,0
THCA,READ,0
THYM,READ,0
UCEC,READ,0
UCS,READ,0
UVM,READ,0
ACC,SARC,2
BLCA,SARC,8
BRCA,SARC,2
CESC,SARC,0
CHOL,SARC,0
COAD,SARC,0
DLBC,SARC,3
ESCA,SARC,1
GBM,SARC,3
HNSC,SARC,1
KICH,SARC,0
KIRC,SARC,2
KIRP,SARC,0
LGG,SARC,0
LIHC,SARC,0
LUAD,SARC,0
LUSC,SARC,0
MESO,SARC,1
OV,SARC,0
PAAD,SARC,1
PCPG,SARC,0
PRAD,SARC,0
READ,SARC,0
SARC,SARC,221
SKCM,SARC,6
STAD,SARC,4
TGCT,SARC,11
THCA,SARC,0
THYM,SARC,0
UCEC,SARC,0
UCS,SARC,3
UVM,SARC,0
ACC,SKCM,1
BLCA,SKCM,1
BRCA,SKCM,1
CESC,SKCM,1
CHOL,SKCM,0
COAD,SKCM,1
DLBC,SKCM,0
ESCA,SKCM,0
GBM,SKCM,1
HNSC,SKCM,0
KICH,SKCM,0
KIRC,SKCM,1
KIRP,SKCM,0
LGG,SKCM,0
LIHC,SKCM,3
LUAD,SKCM,2
LUSC,SKCM,0
MESO,SKCM,4
OV,SKCM,0
PAAD,SKCM,0
PCPG,SKCM,1
PRAD,SKCM,0
READ,SKCM,0
SARC,SKCM,5
SKCM,SKCM,266
STAD,SKCM,0
TGCT,SKCM,1
THCA,SKCM,0
THYM,SKCM,0
