tumor_type,repeat,patients,sites,macro_balanced_accuracy,macro_f1,accuracy,chance_macro_balanced_accuracy,normalized_macro_balanced_accuracy,selected_components_median,seed,backend,svd_method,rsvd_oversample,rsvd_power
KIRP,3,184,10,0.615665880402907,0.614782853881199,0.668478260869565,0.1,0.572962089336563,19,20760830,cpu,rsvd,32,5
KIRP,4,184,10,0.605928937238545,0.604799030117083,0.66304347826087,0.1,0.562143263598383,17,20760831,cpu,rsvd,32,5
KIRP,5,184,10,0.656787900038251,0.658343108060254,0.711956521739131,0.1,0.618653222264723,17,20760832,cpu,rsvd,32,5
LGG,1,451,13,0.641110437093245,0.646510865167828,0.716186252771619,0.0769230769230769,0.611202973517682,20,20760829,cpu,rsvd,32,5
LGG,2,451,13,0.677423930101784,0.678327240154289,0.742793791574279,0.0769230769230769,0.6505425909436,20,20760830,cpu,rsvd,32,5
LGG,3,451,13,0.650009638331087,0.653752947447765,0.713968957871397,0.0769230769230769,0.620843774858678,19,20760831,cpu,rsvd,32,5
LGG,4,451,13,0.676824139199696,0.676502655761599,0.733924611973392,0.0769230769230769,0.649892817466337,20,20760832,cpu,rsvd,32,5
LGG,5,451,13,0.659350222040217,0.661122734988434,0.71840354767184,0.0769230769230769,0.630962740543568,19,20760833,cpu,rsvd,32,5
LIHC,1,280,7,0.745927519101482,0.748948792397102,0.835714285714286,0.142857142857143,0.703582105618396,18,20760830,cpu,rsvd,32,5
LIHC,2,280,7,0.774430920462026,0.773285338589313,0.853571428571429,0.142857142857143,0.736836073872364,20,20760831,cpu,rsvd,32,5
LIHC,3,280,7,0.77647692361402,0.796215637992588,0.860714285714286,0.142857142857143,0.73922307754969,18,20760832,cpu,rsvd,32,5
LIHC,4,280,7,0.786606793743891,0.787458902211408,0.853571428571429,0.142857142857143,0.751041259367872,19,20760833,cpu,rsvd,32,5
LIHC,5,280,7,0.777639570490953,0.793382734523626,0.867857142857143,0.142857142857143,0.740579498906112,18,20760834,cpu,rsvd,32,5
LUAD,1,392,15,0.624324384578639,0.637568450618748,0.716836734693878,0.0666666666666667,0.597490412048542,20,20760831,cpu,rsvd,32,5
LUAD,2,392,15,0.654305084706398,0.664999272876285,0.727040816326531,0.0666666666666667,0.629612590756855,20,20760832,cpu,rsvd,32,5
LUAD,3,392,15,0.631111199063356,0.6391431047924,0.721938775510204,0.0666666666666667,0.604761998996453,20,20760833,cpu,rsvd,32,5
LUAD,4,392,15,0.647037144915648,0.656124244568129,0.721938775510204,0.0666666666666667,0.621825512409622,20,20760834,cpu,rsvd,32,5
LUAD,5,392,15,0.613738346700422,0.618457921448601,0.696428571428571,0.0666666666666667,0.586148228607594,20,20760835,cpu,rsvd,32,5
LUSC,1,405,16,0.65669825469859,0.670733780880065,0.708641975308642,0.0625,0.633811471678496,20,20760832,cpu,rsvd,32,5
LUSC,2,405,16,0.6697713742757,0.679597171115493,0.718518518518519,0.0625,0.647756132560746,20,20760833,cpu,rsvd,32,5
LUSC,3,405,16,0.696266479392577,0.70038124363403,0.735802469135803,0.0625,0.676017578018749,20,20760834,cpu,rsvd,32,5
LUSC,4,405,16,0.662659848160702,0.669677966137566,0.703703703703704,0.0625,0.640170504704749,20,20760835,cpu,rsvd,32,5
LUSC,5,405,16,0.66993559458115,0.679168352656336,0.718518518518519,0.0625,0.64793130088656,20,20760836,cpu,rsvd,32,5
OV,1,83,2,0.975616921269095,0.975616921269095,0.975903614457831,0.5,0.951233842538191,8,20760834,cpu,rsvd,32,5
OV,2,83,2,0.975616921269095,0.975616921269095,0.975903614457831,0.5,0.951233842538191,8,20760835,cpu,rsvd,32,5
OV,3,83,2,0.972972972972973,0.975472813238771,0.975903614457831,0.5,0.945945945945946,6,20760836,cpu,rsvd,32,5
OV,4,83,2,0.964747356051704,0.963516483516484,0.963855421686747,0.5,0.929494712103408,3,20760837,cpu,rsvd,32,5
OV,5,83,2,0.962103407755582,0.963323022536456,0.963855421686747,0.5,0.924206815511163,6,20760838,cpu,rsvd,32,5
PAAD,1,120,5,0.91604826546003,0.919143284432417,0.925,0.2,0.895060331825038,15,20760835,cpu,rsvd,32,5
