family,tumor_type,endpoint,n,positive,negative,tier,balanced_accuracy,adjusted_balanced_accuracy,q_value,repeated_sensitivity_mean,repeated_specificity_mean,repeated_balanced_accuracy_mean,repeated_auc_mean,repeated_pr_auc_mean,repeated_pr_auc_sd,repeated_pr_auc_minimum,repeated_pr_auc_maximum,ppv_tcga_prevalence_mean,ppv_tcga_prevalence_sd,npv_tcga_prevalence_mean,npv_tcga_prevalence_sd,observed_tcga_prevalence,minimum_outer_training_positive,minimum_outer_training_negative,minimum_outer_test_positive,minimum_outer_test_negative,maximum_outer_test_positive,maximum_outer_test_negative,selected_components_median,selected_components_q1,selected_components_q3,selected_components_minimum,selected_components_maximum,selected_components_unique,minimum_inner_training_positive,minimum_inner_training_negative,minimum_inner_validation_positive,minimum_inner_validation_negative,repeat_score_spearman_mean,repeat_score_spearman_minimum,repeat_class_agreement_mean,patients_same_class_all_repeats,median_patient_score_z_sd,minimum_class_n,eligible_at_50_per_class,model_evidence_tier,default_inference,limited_evidence_reason,pr_auc_definition,predictive_value_scope
aneuploidy,BRCA,Genome doubling,998,438,560,A,0.71249184605349,0.42498369210698,0.001,0.628310502283105,0.762857142857143,0.695583822570124,0.767027071102414,0.696200369000616,0.00989791590062929,0.685176668770576,0.711957894932324,0.6744623995689,0.00615277945982453,0.724110884593736,0.0071540619093629,0.438877755511022,350,448,87,112,88,112,5,3,6,2,7,6,280,358,70,89,0.909386040854997,0.884832770773157,0.892384769539078,0.781563126252505,0.254078439225718,438,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,CESC,Genome doubling,259,85,174,B,0.605172413793103,0.210344827586207,0.005,0.367058823529412,0.791954022988506,0.579506423258959,0.616822177146721,0.421530031160107,0.0163531992282684,0.395377057550652,0.436308138992741,0.464373318824786,0.0321517180804515,0.719392571131896,0.0122890271793832,0.328185328185328,68,139,17,34,17,35,5,4,5,1,19,8,54,111,13,27,0.654005567028823,0.536449534123953,0.807722007722008,0.606177606177606,0.51259209807462,85,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,COAD,Genome doubling,408,165,243,B,0.665282454171343,0.330564908342686,0.001,0.633939393939394,0.739094650205761,0.686517022072578,0.735433345803716,0.64375352124752,0.0241359788399544,0.620096026665346,0.684630450943403,0.62275240530995,0.0118008499381598,0.748588694587147,0.0125349581306439,0.404411764705882,132,194,33,48,33,49,8,7,11,2,16,12,105,155,26,38,0.759722421976125,0.697785694118212,0.828921568627451,0.642156862745098,0.370692361638233,165,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,HNSC,Genome doubling,435,176,259,B,0.601351351351351,0.202702702702703,0.001,0.511363636363637,0.745945945945946,0.628654791154791,0.658709196209196,0.555699119846611,0.0211209875159769,0.537658861036275,0.584121543490135,0.577818851457785,0.0122279163144323,0.692080860846613,0.00795614074287736,0.404597701149425,140,207,35,51,36,52,4,4,6,2,19,8,112,165,28,41,0.715585891998828,0.68351393786893,0.831264367816092,0.659770114942529,0.447744305861698,176,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,LUAD,Genome doubling,449,264,185,B,0.653675266175266,0.307350532350532,0.001,0.787121212121212,0.517837837837838,0.652479524979525,0.710184275184275,0.757463930159841,0.0151511420805184,0.73743151347961,0.777399603568555,0.699673056725505,0.0163878390147568,0.630750308705993,0.035627759813635,0.587973273942094,211,148,52,37,53,37,2,2,4,1,8,7,168,118,42,29,0.839145415738679,0.763444161629017,0.853006681514477,0.692650334075724,0.325091211171896,185,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,LUSC,Genome doubling,459,249,210,B,0.612191623637407,0.224383247274814,0.001,0.706827309236948,0.547619047619048,0.627223178427998,0.678749282845668,0.697372594643782,0.00965829910965757,0.688058937778867,0.709680225919711,0.649356213872609,0.00984484439174458,0.612240359626997,0.0211965209729216,0.542483660130719,199,168,49,42,50,42,3,2,4,1,8,6,159,134,39,33,0.827080403201088,0.767658413279874,0.851851851851852,0.690631808278867,0.344771322468176,210,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,SARC,Genome doubling,238,112,126,B,0.628968253968254,0.257936507936508,0.001,0.657142857142857,0.660317460317461,0.658730158730159,0.719416099773243,0.687772972650612,0.0166828056100041,0.66096079765569,0.704640849027884,0.63315419540587,0.023040486002166,0.684093137985338,0.0115081139679313,0.470588235294118,89,100,22,25,23,26,4,3,6,1,14,9,71,80,17,20,0.748511308553928,0.692738999100514,0.822689075630252,0.638655462184874,0.442823115106051,112,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,STAD,Genome doubling,360,154,206,B,0.684623628798386,0.369247257596772,0.001,0.614285714285714,0.76504854368932,0.689667128987517,0.762255705459589,0.695262569059908,0.0209368786105784,0.671106705003394,0.72641118525302,0.661672708431577,0.0155699836621196,0.726309059193709,0.010123190355024,0.427777777777778,123,164,30,41,31,42,5,3,6,2,11,7,98,131,24,32,0.822873916208201,0.773733850827038,0.859444444444445,0.705555555555556,0.344568491937056,154,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,UCEC,Genome doubling,477,97,380,A,0.714202387411829,0.428404774823657,0.001,0.54639175257732,0.904736842105263,0.725564297341291,0.835729788388497,0.567823897373825,0.01569184942195,0.550611667883869,0.585482990343927,0.593828584281612,0.0165785865451642,0.886622702368391,0.0088302933190849,0.20335429769392,77,304,19,76,20,76,3,2,6,2,16,9,61,243,15,60,0.738914455811534,0.68475088780282,0.918238993710692,0.830188679245283,0.380146060102987,97,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,BLCA,FGFR3,384,54,330,B,0.686026936026936,0.372053872053872,0.015,0.455555555555556,0.938787878787879,0.697171717171717,0.80016835016835,0.432642697467596,0.042035427348005,0.364636474011253,0.471100437108039,0.549157627380042,0.0415240756869377,0.913346938737115,0.00641030418788061,0.140625,43,264,10,66,11,66,5,2,6,1,10,8,34,211,8,52,0.668347885795667,0.61395976738666,0.942708333333333,0.880208333333333,0.411021824698518,54,TRUE,standard_internal_evidence,TRUE,"","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
