family,subfamily,tumor_type,endpoint,source,n,q2,rmse,spearman,p_permutation,permutations,permutation_exceedances,ncomp,seed,fastPLS_version,backend,svd_method,rsvd_oversample,rsvd_power,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier
aneuploidy,aneuploidy,LUSC,Amplified arm count,Taylor2018_TableS2,459,-0.046314655367993,4.94393824613883,0.139628303092294,1,0,,2,20261623,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,READ,Deleted arm count,Taylor2018_TableS2,143,-0.0464258733179477,6.64365873409557,0.070345854137745,1,0,,1,20261944,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,PCPG,Amplified arm count,Taylor2018_TableS2,157,-0.049530282137755,3.79712959482381,0.030774419503564,1,0,,1,20261834,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,TGCT,Aneuploidy score,Taylor2018_TableS2,148,-0.0553107183363477,5.06141083837239,0.0541190708455876,1,0,,1,20262164,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,OV,Aneuploidy score,Taylor2018_TableS2,96,-0.055603997944589,7.48796932561112,0.296384239682338,1,0,,1,20261725,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,ESCA,Deleted arm count,Taylor2018_TableS2,136,-0.0560858929831105,5.54121447338991,0.00894182135677218,1,0,,1,20261137,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,ESCA,Aneuploidy score,Taylor2018_TableS2,136,-0.0654484438816423,6.93971888833881,0.0421384276606174,1,0,,1,20261136,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,PAAD,Deleted arm count,Taylor2018_TableS2,163,-0.0904447757075053,5.13346770288755,0.135812469458228,1,0,,1,20261782,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,MESO,Amplified arm count,Taylor2018_TableS2,69,-0.0980249117239058,4.89862138734406,-0.157376618643654,1,0,,1,20261674,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,OV,Deleted arm count,Taylor2018_TableS2,96,-0.11302759287516,5.54362767196584,0.165359595252023,1,0,,1,20261726,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,UCS,Aneuploidy score,Taylor2018_TableS2,52,-0.124528898479857,6.64049483533736,0.0215087490170268,1,0,,1,20262374,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,PCPG,Aneuploidy score,Taylor2018_TableS2,157,-0.143950522008164,5.52530408356349,0.0381978565920447,1,0,,2,20261832,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,ACC,Deleted arm count,Taylor2018_TableS2,54,-0.164882051464701,8.80634674201813,0.157286590696996,1,0,,1,20260859,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,SKCM,Amplified arm count,Taylor2018_TableS2,98,-0.170532380242998,5.57037720532747,0.0962384121735627,1,0,,1,20262056,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,UCS,Deleted arm count,Taylor2018_TableS2,52,-0.180639328804332,5.37155658124707,-0.102669687384993,1,0,,1,20262375,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,UVM,Aneuploidy score,Taylor2018_TableS2,80,-0.181686189497459,5.45635821684391,0.292349184100042,1,0,,1,20262424,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,SKCM,Aneuploidy score,Taylor2018_TableS2,98,-0.182734641066059,7.94515225069313,0.0396751865783968,1,0,,1,20262054,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,SKCM,Deleted arm count,Taylor2018_TableS2,98,-0.202687523203468,5.31092531518133,0.00341774588340079,1,0,,1,20262055,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,KICH,Amplified arm count,Taylor2018_TableS2,65,-0.223792401497589,8.24079940542215,-0.0922104445780355,1,0,,1,20261294,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,MESO,Deleted arm count,Taylor2018_TableS2,69,-0.287517924278665,5.73429527416426,-0.109767234260764,1,0,,1,20261673,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,UCS,Amplified arm count,Taylor2018_TableS2,52,-0.305187423363563,5.44695898519065,0.0351653188897749,1,0,,2,20262376,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,UVM,Amplified arm count,Taylor2018_TableS2,80,-0.382439963728592,4.83513927724536,0.0258722297861854,1,0,,1,20262426,0.99.20,cpu,rsvd,10,2,,,1,1,C
aneuploidy,aneuploidy,KICH,Aneuploidy score,Taylor2018_TableS2,65,-0.467739798723381,9.52488014984072,-0.00309151204283164,1,0,,1,20261292,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,UCEC,Fusion burden,Gao2018_TableS1,153,0.374689104142275,0.909145183155186,0.633927907862024,0.001,999,0,2,20262330,0.99.20,cpu,rsvd,10,2,999,FALSE,0.001,0.01,B
fusion,fusion,BRCA,Fusion burden,Gao2018_TableS1,1051,0.266885082246313,0.816145738944664,0.526915050846969,0.001,999,0,3,20260973,0.99.20,cpu,rsvd,10,2,999,FALSE,0.001,0.01,B
fusion,fusion,LGG,Fusion burden,Gao2018_TableS1,487,0.226028796862907,0.63912948067728,0.493743619971857,0.001,999,0,1,20261457,0.99.20,cpu,rsvd,10,2,999,FALSE,0.001,0.01,B
fusion,fusion,SARC,Fusion burden,Gao2018_TableS1,252,0.154580695140123,0.999795992388432,0.461116712994966,1,0,,3,20262001,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,BLCA,Fusion burden,Gao2018_TableS1,381,0.126248322632573,0.777515162625027,0.367328112656501,1,0,,2,20260917,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,LUAD,Fusion burden,Gao2018_TableS1,461,0.0921289326684117,0.730419249815615,0.31464690070992,1,0,,1,20261568,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,PRAD,Fusion burden,Gao2018_TableS1,400,0.0796639321783571,0.716585592061917,0.297714778989094,1,0,,1,20261890,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,STAD,Fusion burden,Gao2018_TableS1,280,0.0786523421067783,0.847130674105735,0.30303874225792,1,0,,1,20262112,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,THCA,Fusion burden,Gao2018_TableS1,502,0.0456782889064822,0.380410463078478,0.27652964313097,1,0,,3,20262222,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,LUSC,Fusion burden,Gao2018_TableS1,475,0.0455736614476558,0.695289171112267,0.238174569770323,1,0,,1,20261624,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,HNSC,Fusion burden,Gao2018_TableS1,435,0.0382010224659221,0.625055186474173,0.205041677252855,1,0,,1,20261246,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,KIRC,Fusion burden,Gao2018_TableS1,507,0.0304341945295124,0.470499436615076,0.134240164062183,1,0,,1,20261350,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,COAD,Fusion burden,Gao2018_TableS1,258,0.0249056915765051,0.620614775548319,0.202692489732635,1,0,,1,20261085,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,KIRP,Fusion burden,Gao2018_TableS1,265,0.00366590434887559,0.549117318932063,0.205760820540099,1,0,,1,20261405,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,ESCA,Fusion burden,Gao2018_TableS1,154,-0.0102030541344766,0.843731023214394,0.133761416386714,1,0,,1,20261139,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,UVM,Fusion burden,Gao2018_TableS1,80,-0.012593953685538,0.407480504553022,0.0779966122295126,1,0,,1,20262427,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,PCPG,Fusion burden,Gao2018_TableS1,176,-0.0305676307160632,0.601229299681183,0.0985890208105301,1,0,,1,20261835,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,LIHC,Fusion burden,Gao2018_TableS1,357,-0.0334726183138929,0.820505603706533,0.184831739563409,1,0,,1,20261512,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,ACC,Fusion burden,Gao2018_TableS1,55,-0.0372294926570949,0.944949946857076,0.240673212604813,1,0,,1,20260861,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,CESC,Fusion burden,Gao2018_TableS1,266,-0.0523328965986663,0.691850174049795,0.0516104231937329,1,0,,1,20261029,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,PAAD,Fusion burden,Gao2018_TableS1,176,-0.0679286389851586,0.634594740650548,0.115279804427369,1,0,,2,20261784,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,SKCM,Fusion burden,Gao2018_TableS1,97,-0.071666900723609,0.848097430549817,0.231678632418266,1,0,,2,20262057,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,TGCT,Fusion burden,Gao2018_TableS1,149,-0.10055622323638,0.477932178620835,0.0887462378268225,1,0,,2,20262167,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,OV,Fusion burden,Gao2018_TableS1,83,-0.12062244840471,0.715692185623637,-0.0115308612301058,1,0,,1,20261728,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,READ,Fusion burden,Gao2018_TableS1,81,-0.178103377094376,0.631906523332799,-0.0769924974205506,1,0,,1,20261946,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,KICH,Fusion burden,Gao2018_TableS1,65,-0.209260923389516,0.517922107750256,0.298914779285821,1,0,,2,20261295,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,THYM,Fusion burden,Gao2018_TableS1,117,-0.225105080699187,0.513315900069898,-0.00302171699766865,1,0,,1,20262274,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,UCS,Fusion burden,Gao2018_TableS1,53,-0.226813124050202,0.918774651822356,0.137076787856588,1,0,,1,20262377,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,GBM,Fusion burden,Gao2018_TableS1,91,-0.340107854911457,0.792676758568008,-0.248348678554887,1,0,,1,20261191,0.99.20,cpu,rsvd,10,2,,,1,1,C
fusion,fusion,MESO,Fusion burden,Gao2018_TableS1,75,-0.379610786216112,0.81415595935446,-0.0508418777761931,1,0,,1,20261675,0.99.20,cpu,rsvd,10,2,,,1,1,C
microsatellite_instability,microsatellite_instability,COAD,MSIsensor score,cBioPortal_TCGA_PanCancer,411,0.254303684169828,9.48584034160527,0.271296822104603,0.001,999,0,3,20261087,0.99.20,cpu,rsvd,10,2,999,FALSE,0.001,0.03,B
microsatellite_instability,microsatellite_instability,COAD,MANTIS score,cBioPortal_TCGA_PanCancer,391,0.217011828363093,0.204311238381443,0.402288285833639,0.001,999,0,3,20261086,0.99.20,cpu,rsvd,10,2,999,FALSE,0.001,0.03,B
microsatellite_instability,microsatellite_instability,TGCT,MSIsensor score,cBioPortal_TCGA_PanCancer,148,0.199436724271098,0.275767003919972,0.508745367583684,1,0,,1,20262169,0.99.20,cpu,rsvd,10,2,,,1,1,C
microsatellite_instability,microsatellite_instability,PRAD,MANTIS score,cBioPortal_TCGA_PanCancer,398,0.150929626870147,0.0272909259231962,0.279871832306368,1,0,,2,20261891,0.99.20,cpu,rsvd,10,2,,,1,1,C
microsatellite_instability,microsatellite_instability,STAD,MSIsensor score,cBioPortal_TCGA_PanCancer,372,0.145352884362167,8.89540114611119,0.307471219276875,1,0,,2,20262114,0.99.20,cpu,rsvd,10,2,,,1,1,C
microsatellite_instability,microsatellite_instability,STAD,MANTIS score,cBioPortal_TCGA_PanCancer,371,0.13681931639329,0.219736491625639,0.261271304788358,1,0,,3,20262113,0.99.20,cpu,rsvd,10,2,,,1,1,C
microsatellite_instability,microsatellite_instability,UCEC,MANTIS score,cBioPortal_TCGA_PanCancer,487,0.0938229452582181,0.221194799520927,0.330339219484142,1,0,,2,20262331,0.99.20,cpu,rsvd,10,2,,,1,1,C
microsatellite_instability,microsatellite_instability,UCEC,MSIsensor score,cBioPortal_TCGA_PanCancer,489,0.0575056854211881,9.77883147566958,0.285485518861039,1,0,,2,20262332,0.99.20,cpu,rsvd,10,2,,,1,1,C
microsatellite_instability,microsatellite_instability,CESC,MANTIS score,cBioPortal_TCGA_PanCancer,261,0.0386944876711113,0.0589770066484074,0.39010158773157,1,0,,1,20261030,0.99.20,cpu,rsvd,10,2,,,1,1,C
microsatellite_instability,microsatellite_instability,TGCT,MANTIS score,cBioPortal_TCGA_PanCancer,148,0.0355624337613166,0.0101325825579301,0.267114476678079,1,0,,1,20262168,0.99.20,cpu,rsvd,10,2,,,1,1,C
