outcome_type,family,tumor_type,endpoint,p_permutation,q_value,q_value_global,q_value_outcome_wide,q_value_atlas_wide,tier
continuous,fusion,UCS,Fusion burden,1,1,1,1,1,C
continuous,fusion,READ,Fusion burden,1,1,1,1,1,C
continuous,fusion,MESO,Fusion burden,1,1,1,1,1,C
continuous,fusion,GBM,Fusion burden,1,1,1,1,1,C
continuous,microsatellite_instability,COAD,MANTIS score,0.001,0.001,0.015,0.00417631578947368,0.00428925619834711,B
continuous,microsatellite_instability,TGCT,MSIsensor score,0.001,0.002,0.015,0.00417631578947368,0.00428925619834711,B
continuous,microsatellite_instability,COAD,MSIsensor score,0.001,0.001,0.015,0.00417631578947368,0.00428925619834711,B
continuous,microsatellite_instability,STAD,MANTIS score,0.001,0.002,0.015,0.00417631578947368,0.00428925619834711,B
continuous,microsatellite_instability,STAD,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,TGCT,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,UCEC,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,OV,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,PRAD,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,SARC,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,UCEC,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,SKCM,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,BRCA,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,BRCA,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,LUAD,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,LUAD,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,UVM,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,PCPG,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,CESC,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,KIRP,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,BLCA,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,READ,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,LGG,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,PRAD,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,KIRC,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,LUSC,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,UVM,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,BLCA,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,LGG,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,SARC,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,CESC,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,THCA,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,LUSC,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,ACC,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,GBM,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,SKCM,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,LIHC,MANTIS score,1,1,1,1,1,C
