tumor_type,family,subfamily,endpoint,source,n,mean,sd,cohort_patients,missing_from_embedding_cohort
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_MYC_TARGETS_V2,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-1.79654271257525e-16,0.387292480925071,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_MYOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-7.15336880639163e-17,0.180628349658822,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-6.50111277942435e-16,0.226157842203833,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-2.88847228963556e-16,0.369252042073258,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-4.54182146437564e-17,0.164999536142745,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_PANCREAS_BETA_CELLS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-6.72946546971657e-16,0.234596789044041,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-5.85390322075083e-17,0.172682139470714,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,5.03637535716321e-16,0.173915753101566,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_PROTEIN_SECRETION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,3.68392185443802e-16,0.27114360633462,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,5.57130099630079e-16,0.204386544742753,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,6.45947941600091e-17,0.161726372402007,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_TGF_BETA_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,7.065055611251e-18,0.264012294154312,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,5.95483258662584e-17,0.344738266507325,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,1.23638473196892e-16,0.19221103325651,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_UV_RESPONSE_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-1.84700739551276e-16,0.228685629406137,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_UV_RESPONSE_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,1.36759290760644e-16,0.13400904134383,56,1
