family,tumor_type,endpoint,repeat,q2,rmse,spearman
thorsson,BLCA,Th2 Cells,5,-0.265953888749858,639.66458601117,-0.0276263152974395
thorsson,BLCA,Wound Healing,1,-0.371735416899478,0.198463358592475,-0.0410045867033299
thorsson,BLCA,Wound Healing,2,-0.265023372511986,0.19058750974421,0.0321441965385001
thorsson,BLCA,Wound Healing,3,-0.133979236142413,0.180446188036532,0.0557853166779736
thorsson,BLCA,Wound Healing,4,-0.352525529494839,0.197068811035421,-0.0625671980347259
thorsson,BLCA,Wound Healing,5,-0.157049343700152,0.182272479266626,-0.0282800629272075
thorsson,BRCA,Aneuploidy Score,1,-0.376473891722866,8.00838238888283,-0.0323263040113307
thorsson,BRCA,Aneuploidy Score,2,-0.204595795016029,7.49171908102534,0.0278860821605982
thorsson,BRCA,Aneuploidy Score,3,-0.42849204888508,8.15830103581245,-0.0398602266525993
thorsson,BRCA,Aneuploidy Score,4,-0.636555833966023,8.73225131103978,-0.0404241022397748
thorsson,BRCA,Aneuploidy Score,5,-0.319213217364905,7.84004056389845,-0.00105040202351497
thorsson,BRCA,Fraction Altered,1,-0.293070073412918,0.331301281645462,-0.0387955062155096
thorsson,BRCA,Fraction Altered,2,-0.375941884786494,0.341752839171755,-0.0372497477647354
thorsson,BRCA,Fraction Altered,3,-0.367261103664584,0.340673078599968,-0.047375281628555
thorsson,BRCA,Fraction Altered,4,-0.274660515703914,0.328934443796371,-0.0562115177197078
thorsson,BRCA,Fraction Altered,5,-0.119746548339712,0.308298883446021,0.0101675001566008
thorsson,BRCA,Homologous Recombination Defects,1,-0.0643153356614268,20.6350757668147,0.0234647024725853
thorsson,BRCA,Homologous Recombination Defects,2,-0.24817498130096,22.3464553719923,0.0293655005842074
thorsson,BRCA,Homologous Recombination Defects,3,-0.12129261179222,21.1802161637226,-0.00686257135723791
thorsson,BRCA,Homologous Recombination Defects,4,-0.119659399496844,21.1647855819132,0.0492486590840931
thorsson,BRCA,Homologous Recombination Defects,5,-0.0694842769935067,20.6851231086269,-0.0684165736229127
thorsson,BRCA,Leukocyte Fraction,1,-0.202189071014348,0.158266191357991,-0.0144117347935835
thorsson,BRCA,Leukocyte Fraction,2,-0.113584030641309,0.152322220007534,-0.0087803987197617
thorsson,BRCA,Leukocyte Fraction,3,-0.286788375192243,0.163740204306257,-0.0102433864951146
thorsson,BRCA,Leukocyte Fraction,4,-0.232007285395732,0.160216928446063,0.0263600144907313
thorsson,BRCA,Leukocyte Fraction,5,-0.170701157932931,0.156179773075785,-0.00453821157512721
thorsson,BRCA,Lymphocyte Infiltration Signature Score,1,-0.299639971333345,1.31941294892158,-0.0590595709592186
thorsson,BRCA,Lymphocyte Infiltration Signature Score,2,-0.406967383873079,1.3728125063115,-0.0394300639322369
thorsson,BRCA,Lymphocyte Infiltration Signature Score,3,-0.424498220581465,1.38133866270585,-0.0176806756715506
thorsson,BRCA,Lymphocyte Infiltration Signature Score,4,-0.446373969512077,1.39190472988148,0.0118053379752306
thorsson,BRCA,Lymphocyte Infiltration Signature Score,5,-0.178678790172016,1.25651288476051,0.0169567813615402
thorsson,BRCA,Macrophage Regulation,1,-0.301936852053858,0.688084267504674,0.0251528145004674
thorsson,BRCA,Macrophage Regulation,2,-0.415976186146144,0.717587133047379,-0.0055133320116803
thorsson,BRCA,Macrophage Regulation,3,-0.266933957695924,0.678771589751562,-0.00280391157838965
thorsson,BRCA,Macrophage Regulation,4,-0.369155358310452,0.705623495531378,0.0150508227950938
thorsson,BRCA,Macrophage Regulation,5,-0.177645145593577,0.654415973212432,0.0271804840790208
thorsson,BRCA,Number of Segments,1,-0.246237089925658,0.792250633037364,0.04754951060688
thorsson,BRCA,Number of Segments,2,-0.433100113003126,0.849572651846574,-0.0596510936221543
thorsson,BRCA,Number of Segments,3,-0.30606084644446,0.811043155908985,-0.00744210634519901
thorsson,BRCA,Number of Segments,4,-0.181238923785005,0.771313856268575,0.000891793758470745
thorsson,BRCA,Number of Segments,5,-0.349767992309568,0.824502204817432,0.00781747574418931
thorsson,BRCA,Proliferation,1,-0.141098655331625,0.676305795447539,-0.0352167175034894
thorsson,BRCA,Proliferation,2,-0.397918905882711,0.748552907305055,-0.00132369775265994
thorsson,BRCA,Proliferation,3,-0.378468150323043,0.743326952501414,0.00347639194401152
thorsson,BRCA,Proliferation,4,-0.408021259735498,0.751252825412509,-0.00261260625283966
thorsson,BRCA,Proliferation,5,-0.129449949886337,0.672844965937409,0.0190950901776038
thorsson,BRCA,Stromal Fraction,1,-0.139376928587261,0.198065531801443,-0.0410865150882479
thorsson,BRCA,Stromal Fraction,2,-0.348692026454459,0.215492216771166,-0.00791145629516364
thorsson,BRCA,Stromal Fraction,3,-0.0635247514646458,0.191359044885881,-0.016232323757625
thorsson,BRCA,Stromal Fraction,4,-0.232924586277638,0.206036161537934,-0.0303691255592683
thorsson,BRCA,Stromal Fraction,5,-0.202657100623203,0.203491420605468,-0.0146342172385471
thorsson,BRCA,TCR Shannon,1,-0.0911063286018337,1.29356679865645,0.051729151734369
thorsson,BRCA,TCR Shannon,2,-0.18841837430895,1.35001937622173,0.065033905248318
thorsson,BRCA,TCR Shannon,3,-0.119756816377327,1.31044011824853,0.0276144059604602
thorsson,BRCA,TCR Shannon,4,-0.139475296591738,1.32192793431236,0.00690412129666688
thorsson,BRCA,TCR Shannon,5,-0.198611489244128,1.35579660159474,-0.0361832134978998
thorsson,BRCA,TGF-beta Response,1,-0.585223664951243,0.410745206703261,0.019536756734652
thorsson,BRCA,TGF-beta Response,2,-0.372633840838237,0.382212231680727,0.000303472362306088
