outcome_type,family,tumor_type,endpoint,outer_fold,test_patients,test_sites,test_site_ids,test_positive,test_negative,training_patients,training_sites,training_positive,training_negative,inner_folds,minimum_sites_per_inner_fold,maximum_inner_folds_per_site,inner_site_overlap,outer_seed,inner_seed
binary,driver_mutation,LGG,EGFR,4,143,4,DH;DU;FG;R8,16,127,342,21,18,324,5,3,1,FALSE,20260849,20261853
binary,driver_mutation,LGG,EGFR,5,25,4,IK;P5;RY;VV,0,25,460,21,34,426,5,3,1,FALSE,20260849,20261854
binary,driver_mutation,LGG,FUBP1,1,153,6,DU;EZ;FG;FN;TM;VM,12,141,332,19,32,300,5,3,1,FALSE,20260854,20261855
binary,driver_mutation,LGG,FUBP1,2,74,5,F6;KT;QH;S9;W9,9,65,411,20,35,376,5,3,1,FALSE,20260854,20261856
binary,driver_mutation,LGG,FUBP1,3,143,5,DH;HT;TQ;VV;WY,11,132,342,20,33,309,5,3,1,FALSE,20260854,20261857
binary,driver_mutation,LGG,FUBP1,4,82,5,CS;DB;E1;IK;RY,10,72,403,20,34,369,5,3,1,FALSE,20260854,20261858
binary,driver_mutation,LGG,FUBP1,5,33,4,HW;P5;R8;WH,2,31,452,21,42,410,5,4,1,FALSE,20260854,20261859
binary,driver_mutation,LGG,IDH1,1,168,6,CS;HT;HW;P5;TQ;WH,129,39,317,19,246,71,5,3,1,FALSE,20260834,20261835
binary,driver_mutation,LGG,IDH1,2,165,5,DB;DU;E1;QH;RY,123,42,320,20,252,68,5,3,1,FALSE,20260834,20261836
binary,driver_mutation,LGG,IDH1,3,29,5,DH;FN;IK;R8;WY,26,3,456,20,349,107,5,3,1,FALSE,20260834,20261837
binary,driver_mutation,LGG,IDH1,4,73,5,F6;KT;S9;TM;VV,59,14,412,20,316,96,5,3,1,FALSE,20260834,20261838
binary,driver_mutation,LGG,IDH1,5,50,4,EZ;FG;VM;W9,38,12,435,21,337,98,5,3,1,FALSE,20260834,20261839
binary,driver_mutation,LGG,PTEN,1,100,5,DB;DH;FN;S9;VV,4,96,385,20,19,366,5,4,1,FALSE,20260857,20261858
binary,driver_mutation,LGG,PTEN,2,141,5,HT;HW;IK;KT;QH,6,135,344,20,17,327,5,4,1,FALSE,20260857,20261859
binary,driver_mutation,LGG,PTEN,3,49,5,R8;TM;TQ;VM;W9,3,46,436,20,20,416,5,4,1,FALSE,20260857,20261860
binary,driver_mutation,LGG,PTEN,4,42,5,E1;EZ;P5;WH;WY,0,42,443,20,23,420,5,4,1,FALSE,20260857,20261861
binary,driver_mutation,LGG,PTEN,5,153,5,CS;DU;F6;FG;RY,10,143,332,20,13,319,5,4,1,FALSE,20260857,20261862
binary,driver_mutation,LGG,TP53,1,138,6,DU;E1;HW;TM;W9;WH,72,66,347,19,160,187,5,3,1,FALSE,20260830,20261831
binary,driver_mutation,LGG,TP53,2,34,6,EZ;F6;IK;P5;VM;WY,17,17,451,19,215,236,5,3,1,FALSE,20260830,20261832
binary,driver_mutation,LGG,TP53,3,111,5,CS;DH;QH;RY;S9,46,65,374,20,186,188,5,4,1,FALSE,20260830,20261833
binary,driver_mutation,LGG,TP53,4,57,4,DB;R8;TQ;VV,28,29,428,21,204,224,5,4,1,FALSE,20260830,20261834
binary,driver_mutation,LGG,TP53,5,145,4,FG;FN;HT;KT,69,76,340,21,163,177,5,4,1,FALSE,20260830,20261835
binary,driver_mutation,LIHC,BAP1,1,66,8,5C;5R;BC;CC;RG;UB;WQ;WX,4,62,284,26,16,268,5,5,1,FALSE,20260865,20261866
binary,driver_mutation,LIHC,BAP1,2,36,7,FV;MR;O8;RC;T1;XR;ZP,0,36,314,27,20,294,5,5,1,FALSE,20260865,20261867
binary,driver_mutation,LIHC,BAP1,3,49,7,2Y;ED;EP;HP;LG;WJ;YA,6,43,301,27,14,287,5,5,1,FALSE,20260865,20261868
binary,driver_mutation,LIHC,BAP1,4,181,6,BW;DD;G3;NI;PD;QA,9,172,169,28,11,158,5,5,1,FALSE,20260865,20261869
binary,driver_mutation,LIHC,BAP1,5,18,6,2V;4R;GJ;K7;MI;ZS,1,17,332,28,19,313,5,5,1,FALSE,20260865,20261870
binary,driver_mutation,LIHC,CTNNB1,1,31,7,2V;2Y;LG;O8;RG;WJ;ZS,7,24,319,27,86,233,5,5,1,FALSE,20260851,20261852
binary,driver_mutation,LIHC,CTNNB1,2,32,7,4R;BC;EP;GJ;WQ;WX;YA,10,22,318,27,83,235,5,5,1,FALSE,20260851,20261853
binary,driver_mutation,LIHC,CTNNB1,3,24,7,5C;HP;K7;NI;QA;XR;ZP,6,18,326,27,87,239,5,5,1,FALSE,20260851,20261854
binary,driver_mutation,LIHC,CTNNB1,4,233,7,5R;CC;DD;ED;G3;MR;UB,64,169,117,27,29,88,5,5,1,FALSE,20260851,20261855
binary,driver_mutation,LIHC,CTNNB1,5,30,6,BW;FV;MI;PD;RC;T1,6,24,320,28,87,233,5,5,1,FALSE,20260851,20261856
binary,driver_mutation,LIHC,TP53,1,28,8,BW;K7;O8;RC;RG;XR;YA;ZS,11,17,322,26,96,226,5,5,1,FALSE,20260861,20261862
binary,driver_mutation,LIHC,TP53,2,47,7,4R;5R;BC;ED;MI;WJ;ZP,16,31,303,27,91,212,5,5,1,FALSE,20260861,20261863
