outcome_type,family,subfamily,tumor_type,endpoint,source,primary_best_foundation_model,alternative_partitions,primary_winner_repeat_count,primary_winner_repeat_proportion,modal_repeat_winner,modal_repeat_winner_count,modal_repeat_winner_proportion,modal_repeat_winner_tied
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ARID1A,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,BRAF,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,CTNNB1,TCGA_MC3_Bailey2018,TITAN,5,2,0.4,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,FBXW7,TCGA_MC3_Bailey2018,TITAN,5,2,0.4,GigaSSL,2,0.4,TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,KRAS,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,PIK3CA,TCGA_MC3_Bailey2018,GigaSSL,5,4,0.8,GigaSSL,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,SMAD4,TCGA_MC3_Bailey2018,ProvGigaPath,5,2,0.4,GigaSSL,2,0.4,TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,SOX9,TCGA_MC3_Bailey2018,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,TCF7L2,TCGA_MC3_Bailey2018,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,TP53,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,GBM,EGFR,TCGA_MC3_Bailey2018,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,GBM,PIK3CA,TCGA_MC3_Bailey2018,ProvGigaPath,5,5,1,ProvGigaPath,5,1,FALSE
