outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model
binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,352,28,324,0.62907848324515,0.562830687830688,0.609457671957672,TRUE,FALSE,TRUE,,,,,,,,,,0.65652557319224,0.540123456790123,0.564153439153439,0.62907848324515,0.562830687830688,0.609457671957672,0.161047581576082,0.113612209003488,0.165731661959629,0.714285714285714,0.5,0.535714285714286,0.598765432098765,0.580246913580247,0.592592592592593,0.133333333333333,0.0933333333333333,0.102040816326531,0.96039603960396,0.930693069306931,0.936585365853659,0.0795454545454545,0.0795454545454545,0.0795454545454545,0.0795454545454545,0.0795454545454545,0.0795454545454545,2,TITAN+GigaSSL,GigaSSL
binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,142,72,70,0.70218253968254,0.626190476190476,0.582936507936508,TRUE,TRUE,FALSE,,,,,,,,,,0.620238095238095,0.611706349206349,0.516468253968254,0.70218253968254,0.626190476190476,0.582936507936508,0.681643584842889,0.627091035719189,0.576967305708908,0.583333333333333,0.680555555555556,0.347222222222222,0.657142857142857,0.542857142857143,0.685714285714286,0.636363636363636,0.604938271604938,0.531914893617021,0.605263157894737,0.622950819672131,0.505263157894737,0.507042253521127,0.507042253521127,0.507042253521127,0.507042253521127,0.507042253521127,0.507042253521127,2,GigaSSL+ProvGigaPath,GigaSSL
binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,238,112,126,0.727820294784581,0.611961451247166,0.719033446712018,TRUE,TRUE,TRUE,,,,,,,,,,0.674603174603175,0.623511904761905,0.661210317460317,0.727820294784581,0.611961451247166,0.719033446712018,0.717302802618168,0.566428257896996,0.678233167712806,0.642857142857143,0.651785714285714,0.758928571428571,0.706349206349206,0.595238095238095,0.563492063492063,0.660550458715596,0.588709677419355,0.607142857142857,0.689922480620155,0.657894736842105,0.724489795918367,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,3,TITAN+GigaSSL+ProvGigaPath,GigaSSL
binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,98,35,63,0.568253968253968,0.645351473922903,0.653968253968254,FALSE,TRUE,TRUE,,,,,,,,,,0.612698412698413,0.536507936507937,0.611111111111111,0.568253968253968,0.645351473922903,0.653968253968254,0.424341407394155,0.514852388528073,0.545025532085569,0.685714285714286,0.485714285714286,0.714285714285714,0.53968253968254,0.587301587301587,0.507936507936508,0.452830188679245,0.395348837209302,0.446428571428571,0.755555555555556,0.672727272727273,0.761904761904762,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,2,TITAN+ProvGigaPath,TITAN
binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,354,152,202,0.742509119332986,0.782927305888484,0.782406201146431,TRUE,TRUE,TRUE,,,,,,,,,,0.66808884835852,0.699289994788953,0.68362428348098,0.742509119332986,0.782927305888484,0.782406201146431,0.671435661382633,0.710540447780995,0.724456304202131,0.638157894736842,0.730263157894737,0.723684210526316,0.698019801980198,0.668316831683168,0.643564356435644,0.613924050632912,0.623595505617978,0.604395604395604,0.719387755102041,0.767045454545455,0.755813953488372,0.429378531073446,0.429378531073446,0.429378531073446,0.429378531073446,0.429378531073446,0.429378531073446,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath
binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,476,97,379,0.761227320947692,0.714413948807225,0.856594946005495,TRUE,TRUE,TRUE,,,,,,,,,,0.729728259391236,0.684750972445122,0.770992574055436,0.761227320947692,0.714413948807225,0.856594946005495,0.46478071350502,0.407436691418273,0.565575363659478,0.762886597938144,0.77319587628866,0.731958762886598,0.696569920844327,0.596306068601583,0.810026385224274,0.391534391534392,0.328947368421053,0.496503496503497,0.9198606271777,0.911290322580645,0.921921921921922,0.203781512605042,0.203781512605042,0.203781512605042,0.203781512605042,0.203781512605042,0.203781512605042,3,TITAN+GigaSSL+ProvGigaPath,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ARID1A,TCGA_MC3_Bailey2018,384,98,286,0.554516911659769,0.534215784215784,0.553660625089197,FALSE,FALSE,FALSE,,,,,,,,,,0.474953617810761,0.530184101612673,0.569501926644784,0.554516911659769,0.534215784215784,0.553660625089197,0.320763846239523,0.267281824820833,0.304302121759168,0.540816326530612,0.591836734693878,0.530612244897959,0.409090909090909,0.468531468531469,0.608391608391608,0.238738738738739,0.276190476190476,0.317073170731707,0.722222222222222,0.770114942528736,0.790909090909091,0.255208333333333,0.255208333333333,0.255208333333333,0.255208333333333,0.255208333333333,0.255208333333333,0,None,GigaSSL
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ASXL2,TCGA_MC3_Bailey2018,384,35,349,0.48857961522718,0.46516577977896,0.524355300859599,FALSE,FALSE,FALSE,,,,,,,,,,0.495947605403193,0.460499386000819,0.483422022103971,0.48857961522718,0.46516577977896,0.524355300859599,0.104022192086163,0.0906296357816654,0.107268031331521,0.828571428571429,0.571428571428571,0.571428571428571,0.163323782234957,0.349570200573066,0.39541547277937,0.0903426791277258,0.0809716599190283,0.0865800865800866,0.904761904761905,0.89051094890511,0.901960784313725,0.0911458333333333,0.0911458333333333,0.0911458333333333,0.0911458333333333,0.0911458333333333,0.0911458333333333,0,None,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,384,53,331,0.589921906173403,0.586672746964601,0.622698512227099,FALSE,FALSE,TRUE,,,,,,,,,,0.617539759448213,0.513766174542553,0.571852020749017,0.589921906173403,0.586672746964601,0.622698512227099,0.17132695674554,0.184462002675339,0.203219560872465,0.754716981132076,0.547169811320755,0.735849056603774,0.48036253776435,0.48036253776435,0.40785498489426,0.188679245283019,0.144278606965174,0.165957446808511,0.924418604651163,0.868852459016394,0.906040268456376,0.138020833333333,0.138020833333333,0.138020833333333,0.138020833333333,0.138020833333333,0.138020833333333,1,TITAN,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN1A,TCGA_MC3_Bailey2018,384,37,347,0.482358439130773,0.505335306488044,0.546148453929434,FALSE,FALSE,FALSE,,,,,,,,,,0.467637666484929,0.48640859880053,0.490341926941351,0.482358439130773,0.505335306488044,0.546148453929434,0.095943697106168,0.0964212289349133,0.141189349292388,0.324324324324324,0.540540540540541,0.378378378378378,0.610951008645533,0.432276657060519,0.602305475504323,0.0816326530612245,0.0921658986175115,0.0921052631578947,0.894514767932489,0.898203592814371,0.900862068965517,0.0963541666666667,0.0963541666666667,0.0963541666666667,0.0963541666666667,0.0963541666666667,0.0963541666666667,0,None,TITAN
