outcome_type,family,subfamily,tumor_type,endpoint,source,foundation_model,feasible,error,grouped_q2,grouped_rmse,grouped_spearman,grouped_sensitivity,grouped_specificity,grouped_ppv,grouped_npv,grouped_balanced_accuracy,grouped_auc,grouped_pr_auc,grouped_prevalence,grouped_no_skill_pr_auc,matched_random_q2,matched_random_balanced_accuracy,matched_random_auc,matched_random_pr_auc,matched_random_ppv,matched_random_npv,grouped_effect,matched_random_effect,grouped_crossing,selected_components_grouped_median,selected_components_matched_median,selected_components_grouped_at_ceiling,grouped_degenerate_inner_fold_events,matched_degenerate_inner_fold_events,grouped_constant_fallback_outer_fits,matched_constant_fallback_outer_fits,grouped_informative_component_selections,matched_informative_component_selections,grouped_estimable_outer_fits,matched_estimable_outer_fits,grouped_minimum_inner_training_positive,grouped_minimum_inner_training_negative,primary_crossing,n,positive,negative,supported_by_n,primary_consensus_class,primary_effect,primary_operating_metric,seed,fastPLS_version,fastPLS_remote_sha,retained_primary_crossing,grouped_minus_matched_effect,grouped_job_id,n_codes,requested_outer_folds,realized_outer_folds,outer_test_n_min,outer_test_n_max,outer_training_n_min,outer_test_codes_min,outer_training_codes_min,outer_test_positive_min,outer_test_negative_min,outer_training_positive_min,outer_training_negative_min,single_class_outer_test_folds,any_single_class_outer_test_fold,inner_folds_realized_min,inner_folds_realized_max,inner_validation_n_min,inner_training_n_min,inner_validation_codes_min,inner_training_codes_min,inner_validation_positive_min,inner_validation_negative_min,inner_training_positive_min,inner_training_negative_min,single_class_inner_validation_folds,any_single_class_inner_validation_fold,grouped_fold_adequacy_flag,any_single_class_inner_training_fold,grouped_fold_adequacy_reasons,adequacy_flag_definition,metric_construction
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,TRUE,,0.0582990730764659,0.303220336734304,0.403690361306457,,,,,,,,,,0.290833572302755,,,,,,0.0582990730764659,0.290833572302755,FALSE,2,3,0,,,,,,,,,,,TRUE,354,,,3,all three,0.318251535935754,0.318251535935754,20961297,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.232534499226289,482,33,5,5,33,166,188,6,26,,,,,,,5,5,8,105,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_NOTCH_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,TRUE,,0.185533579512393,0.281993058895828,0.43376102391465,,,,,,,,,,0.230262145181497,,,,,,0.185533579512393,0.230262145181497,FALSE,2,2,0,,,,,,,,,,,TRUE,354,,,3,all three,0.23668972432044,0.23668972432044,20961297,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.044728565669104,482,33,5,5,33,166,188,6,26,,,,,,,5,5,8,105,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,TRUE,,0.0648573470835373,0.398136378765242,0.315914268923668,,,,,,,,,,0.0608173097398271,,,,,,0.0648573470835373,0.0608173097398271,FALSE,1,1,0,,,,,,,,,,,FALSE,354,,,1,representation specific,0.0861396966228426,0.0861396966228426,20961298,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,0.00404003734371017,483,33,5,5,18,161,193,6,26,,,,,,,5,5,6,98,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,TRUE,,-0.113392806476323,0.434427325405656,0.328312584490474,,,,,,,,,,0.0955915232821123,,,,,,-0.113392806476323,0.0955915232821123,FALSE,2,1,0,,,,,,,,,,,FALSE,354,,,1,representation specific,0.139222188427955,0.139222188427955,20961298,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.208984329758436,483,33,5,5,18,161,193,6,26,,,,,,,5,5,6,98,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,TRUE,,0.160694888569868,0.377183653572817,0.376136745570653,,,,,,,,,,0.217876360812019,,,,,,0.160694888569868,0.217876360812019,FALSE,1,2,0,,,,,,,,,,,TRUE,354,,,1,representation specific,0.212375196804507,0.212375196804507,20961298,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0571814722421502,483,33,5,5,18,161,193,6,26,,,,,,,5,5,6,98,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,TRUE,,0.141013665948378,0.190601474557191,0.393574564977612,,,,,,,,,,0.17085277734244,,,,,,0.141013665948378,0.17085277734244,FALSE,2,2,0,,,,,,,,,,,TRUE,354,,,3,all three,0.226246061558557,0.226246061558557,20961299,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0298391113940617,484,33,5,5,18,188,166,6,26,,,,,,,5,5,8,88,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,TRUE,,0.151764304317545,0.189404983287817,0.441301885350611,,,,,,,,,,0.184886727607944,,,,,,0.151764304317545,0.184886727607944,FALSE,2,2,0,,,,,,,,,,,TRUE,354,,,3,all three,0.209553312787966,0.209553312787966,20961299,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0331224232903987,484,33,5,5,18,188,166,6,26,,,,,,,5,5,8,88,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,TRUE,,0.217233231063465,0.181948851664372,0.474695158032267,,,,,,,,,,0.275366074235418,,,,,,0.217233231063465,0.275366074235418,TRUE,3,2,0,,,,,,,,,,,TRUE,354,,,3,all three,0.245223430589288,0.245223430589288,20961299,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,TRUE,-0.0581328431719532,484,33,5,5,18,188,166,6,26,,,,,,,5,5,8,88,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,TRUE,,0.133098591939981,0.20737098518405,0.368343232680763,,,,,,,,,,0.181892680219453,,,,,,0.133098591939981,0.181892680219453,FALSE,1,2,0,,,,,,,,,,,FALSE,354,,,2,exactly two,0.159582492786375,0.159582492786375,20961300,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0487940882794729,485,33,5,5,28,156,198,6,26,,,,,,,5,5,5,94,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,TRUE,,0.144240509314733,0.206034049714726,0.403143130159456,,,,,,,,,,0.261661756592818,,,,,,0.144240509314733,0.261661756592818,FALSE,1,2,0,,,,,,,,,,,TRUE,354,,,2,exactly two,0.237201594269643,0.237201594269643,20961300,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.117421247278086,485,33,5,5,28,156,198,6,26,,,,,,,5,5,5,94,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,TRUE,,0.366831832561625,0.177224056537865,0.532726005043561,,,,,,,,,,0.39522553316603,,,,,,0.366831832561625,0.39522553316603,TRUE,1,1,0,,,,,,,,,,,TRUE,354,,,2,exactly two,0.403847009059883,0.403847009059883,20961300,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,TRUE,-0.0283937006044045,485,33,5,5,28,156,198,6,26,,,,,,,5,5,5,94,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,TRUE,,0.126629005609102,0.207975574236813,0.34385200143097,,,,,,,,,,0.176181188006146,,,,,,0.126629005609102,0.176181188006146,FALSE,3,3,0,,,,,,,,,,,TRUE,354,,,2,exactly two,0.23043212433089,0.23043212433089,20961301,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0495521823970437,486,33,5,5,27,149,205,6,26,,,,,,,5,5,16,100,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,TRUE,,0.150744120179197,0.20508421328157,0.387334290469373,,,,,,,,,,0.22683295651198,,,,,,0.150744120179197,0.22683295651198,FALSE,2,2,0,,,,,,,,,,,FALSE,354,,,2,exactly two,0.197355459561135,0.197355459561135,20961301,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0760888363327832,486,33,5,5,27,149,205,6,26,,,,,,,5,5,16,100,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
continuous,rna_pathway_activity,MSigDB Hallmark,LIHC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,TRUE,,0.171625950445469,0.202547176041982,0.41931336422047,,,,,,,,,,0.23492944649385,,,,,,0.171625950445469,0.23492944649385,FALSE,3,2,0,,,,,,,,,,,TRUE,354,,,2,exactly two,0.283596024579723,0.283596024579723,20961301,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,FALSE,-0.0633034960483812,486,33,5,5,27,149,205,6,26,,,,,,,5,5,16,100,5,20,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
