outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model,effect_range,discordance_rank
continuous,rna_pathway_activity,MSigDB Hallmark,READ,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,146,,,0.0615656858576026,0.235786602236774,-0.0357923139591192,FALSE,TRUE,FALSE,0.0615656858576026,0.235786602236774,-0.0357923139591192,0.569397199210141,0.513831483009862,0.598204573207556,0.366434982117552,0.48677084437932,0.260509191867583,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ProvGigaPath,ProvGigaPath,0.271578916195893,295
continuous,rna_pathway_activity,MSigDB Hallmark,MESO,HALLMARK_MYOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,75,,,-0.295750592516198,-0.313328092889274,-0.042634506609994,FALSE,FALSE,FALSE,-0.295750592516198,-0.313328092889274,-0.042634506609994,0.32427141405736,0.326463456460333,0.29088009567152,0.125206258890469,0.034850640113798,0.268790896159317,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.27069358627928,296
continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD8,Thorsson2018_PanImmune_MS,262,,,-0.0566501124079004,-0.212313303970067,0.0582134611991853,FALSE,FALSE,FALSE,-0.0566501124079004,-0.212313303970067,0.0582134611991853,0.0940813695772017,0.100773296337608,0.0888207157404313,0.203976501038109,0.0598119909562025,0.340364294629204,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.270526765169252,297
continuous,rna_pathway_activity,MSigDB Hallmark,CESC,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,266,,,0.209032980957652,0.273496156257344,0.478737742684,TRUE,TRUE,TRUE,0.209032980957652,0.273496156257344,0.478737742684,0.193301186123473,0.185256856093364,0.156921868811304,0.447992463669243,0.498448899437485,0.617385205647147,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,TITAN+GigaSSL+ProvGigaPath,TITAN,0.269704761726348,298
continuous,thorsson,immune_inflammatory_and_genomic_context,OV,IFN-gamma Response,Thorsson2018_PanImmune_MS,59,,,-0.0164475909127033,-0.173317694228516,-0.285920585471954,FALSE,FALSE,FALSE,-0.0164475909127033,-0.173317694228516,-0.285920585471954,0.948418558670882,1.01897929211402,1.06675484148652,0.297895967270602,0.0605493863237873,0.0839859731151374,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,GigaSSL,0.269472994559251,299
continuous,thorsson,immune_inflammatory_and_genomic_context,KIRP,Neutrophils,Thorsson2018_PanImmune_MS,261,,,-0.0718290405284532,-0.323409307995155,-0.0539543755341165,FALSE,FALSE,FALSE,-0.0718290405284532,-0.323409307995155,-0.0539543755341165,0.0164423928515307,0.0182704545779371,0.0163047132803268,0.1168696434025,0.207829723986532,0.189457175426148,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.269454932461038,300
continuous,aneuploidy,aneuploidy,UCS,Deleted arm count,Taylor2018_TableS2,52,,,-0.403079730252716,-0.603724928575015,-0.671639039517659,FALSE,FALSE,FALSE,-0.403079730252716,-0.603724928575015,-0.671639039517659,5.85575242558818,6.26046326690019,6.39164703867702,-0.316858415963058,-0.437012020823236,-0.528512620877644,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,GigaSSL,0.268559309264943,301
continuous,thorsson,immune_inflammatory_and_genomic_context,UCS,CTA Score,Thorsson2018_PanImmune_MS,52,,,-0.584861209307053,-0.316361014549725,-0.558668135007632,FALSE,FALSE,FALSE,-0.584861209307053,-0.316361014549725,-0.558668135007632,1.36712159363717,1.24594545718141,1.35577728556601,-0.168189191496628,0.0917783659182105,-0.0788867070776061,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,ProvGigaPath,0.268500194757328,302
continuous,rna_pathway_activity,MSigDB Hallmark,KICH,HALLMARK_ANDROGEN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,65,,,-0.201303140848277,-0.469708641989687,-0.270260751209139,FALSE,FALSE,FALSE,-0.201303140848277,-0.469708641989687,-0.270260751209139,0.279472350751157,0.309120755112426,0.287381615208451,0.137893356643357,0.0482954545454545,0.0487762237762238,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,GigaSSL,0.26840550114141,303
continuous,rna_pathway_activity,MSigDB Hallmark,PAAD,HALLMARK_ESTROGEN_RESPONSE_LATE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,176,,,0.193520723314722,0.330411220980476,0.461074684252288,FALSE,TRUE,TRUE,0.193520723314722,0.330411220980476,0.461074684252288,0.193863803735412,0.176646162466292,0.158476333902898,0.168179616993176,0.154177856042263,0.297340964120625,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,TITAN+ProvGigaPath,TITAN,0.267553960937566,304
