study,cancer,gene,prior_metric,prior_evidence,current_status,n,positive,current_balanced_accuracy,current_q,current_tier,source_url
Kather2020,LUAD,EGFR,AUROC 0.624 [0.598–0.670],FDR q=0.00358,tested_not_supported,463,59,0.581137774794429,1,C,https://www.nature.com/articles/s43018-020-0087-6
Coudray2018,LUAD,KRAS,AUROC 0.733–0.856 across six reported genes,held-out cohort,tested_not_supported,463,140,0.536278195488722,1,C,https://pubmed.ncbi.nlm.nih.gov/30224757/
Coudray2018,LUAD,STK11,AUROC 0.733–0.856 across six reported genes,held-out cohort,tested_not_supported,463,67,0.492895371626715,1,C,https://pubmed.ncbi.nlm.nih.gov/30224757/
Kather2020,LUAD,STK11,AUROC 0.632 [0.547–0.679],FDR q=0.00101,tested_not_supported,463,67,0.492895371626715,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,PAAD,KRAS,AUROC 0.670 [0.570–0.712],FDR q=0.00158,tested_not_supported,175,116,0.591466978375219,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,PRAD,FOXA1,AUROC 0.762 [0.695–0.880],FDR q=0.0000288,tested_not_supported,399,25,0.538609625668449,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,PRAD,TP53,AUROC 0.657 [0.599–0.749],FDR q=0.000485,tested_not_supported,399,46,0.594562138194359,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,READ,KRAS,AUROC 0.616 [0.584–0.654],FDR q=0.0000481,tested_not_supported,135,30,0.595238095238095,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,STAD,FBXW7,AUROC 0.751 [0.676–0.807],FDR q=0.0000258,tested_not_supported,371,29,0.591449889090542,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,STAD,PTEN,AUROC 0.661 [0.436–0.761],FDR q=0.0178,tested_not_supported,371,24,0.493455811719501,1,C,https://www.nature.com/articles/s43018-020-0087-6
Kather2020,STAD,RNF43,AUROC 0.638 [0.566–0.743],FDR q=0.0153,tested_not_supported,371,30,0.558406647116325,1,C,https://www.nature.com/articles/s43018-020-0087-6
Loeffler2022,UCEC,KRAS,AUROC 0.653,p<0.001,tested_not_supported,487,81,0.579167426868576,1,C,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full
