outcome_type,family,tumor_type,endpoint,n,positive,negative,standard_evidence,evidence_maturity
continuous,rna_pathway_activity,TGCT,HALLMARK_MYOGENESIS,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_ALLOGRAFT_REJECTION,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_WNT_BETA_CATENIN_SIGNALING,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_E2F_TARGETS,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_G2M_CHECKPOINT,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_PANCREAS_BETA_CELLS,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_BILE_ACID_METABOLISM,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_MTORC1_SIGNALING,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_NOTCH_SIGNALING,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_COMPLEMENT,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_APOPTOSIS,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_HEDGEHOG_SIGNALING,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_E2F_TARGETS,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_APICAL_SURFACE,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_IL6_JAK_STAT3_SIGNALING,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_IL6_JAK_STAT3_SIGNALING,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_INFLAMMATORY_RESPONSE,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_MTORC1_SIGNALING,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_TGF_BETA_SIGNALING,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_INFLAMMATORY_RESPONSE,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_ADIPOGENESIS,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_G2M_CHECKPOINT,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_COAGULATION,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,CESC,HALLMARK_P53_PATHWAY,267,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_KRAS_SIGNALING_DN,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_IL2_STAT5_SIGNALING,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_XENOBIOTIC_METABOLISM,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_MYC_TARGETS_V1,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_G2M_CHECKPOINT,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_MYC_TARGETS_V2,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_UV_RESPONSE_UP,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_COMPLEMENT,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_ADIPOGENESIS,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_ESTROGEN_RESPONSE_EARLY,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_ESTROGEN_RESPONSE_LATE,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_XENOBIOTIC_METABOLISM,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_APOPTOSIS,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_INTERFERON_GAMMA_RESPONSE,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_E2F_TARGETS,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_ALLOGRAFT_REJECTION,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_ALLOGRAFT_REJECTION,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_UV_RESPONSE_DN,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,OV,HALLMARK_CHOLESTEROL_HOMEOSTASIS,69,,,FALSE,limited_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_P53_PATHWAY,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_APICAL_JUNCTION,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,STAD,HALLMARK_G2M_CHECKPOINT,354,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_IL2_STAT5_SIGNALING,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_COAGULATION,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_ESTROGEN_RESPONSE_EARLY,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_MYC_TARGETS_V2,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_FATTY_ACID_METABOLISM,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_FATTY_ACID_METABOLISM,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,STAD,HALLMARK_E2F_TARGETS,354,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_MYC_TARGETS_V1,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_NOTCH_SIGNALING,117,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_G2M_CHECKPOINT,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_KRAS_SIGNALING_UP,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_COAGULATION,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_ALLOGRAFT_REJECTION,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,OV,HALLMARK_ESTROGEN_RESPONSE_LATE,69,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_E2F_TARGETS,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_INFLAMMATORY_RESPONSE,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_COMPLEMENT,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_IL6_JAK_STAT3_SIGNALING,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_INFLAMMATORY_RESPONSE,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_IL6_JAK_STAT3_SIGNALING,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,STAD,HALLMARK_MTORC1_SIGNALING,354,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_MTORC1_SIGNALING,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_BILE_ACID_METABOLISM,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,UVM,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,80,,,FALSE,limited_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_INFLAMMATORY_RESPONSE,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,HNSC,HALLMARK_SPERMATOGENESIS,442,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_INFLAMMATORY_RESPONSE,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_G2M_CHECKPOINT,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_E2F_TARGETS,117,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_ESTROGEN_RESPONSE_LATE,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_ALLOGRAFT_REJECTION,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LGG,HALLMARK_ANGIOGENESIS,490,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_IL2_STAT5_SIGNALING,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_COMPLEMENT,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_APICAL_JUNCTION,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_E2F_TARGETS,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_COMPLEMENT,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,STAD,HALLMARK_MYOGENESIS,354,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_IL6_JAK_STAT3_SIGNALING,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_PEROXISOME,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_APOPTOSIS,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_APOPTOSIS,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_XENOBIOTIC_METABOLISM,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_INTERFERON_GAMMA_RESPONSE,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,OV,HALLMARK_MTORC1_SIGNALING,69,,,FALSE,limited_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_INFLAMMATORY_RESPONSE,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_TNFA_SIGNALING_VIA_NFKB,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KICH,HALLMARK_E2F_TARGETS,65,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_ALLOGRAFT_REJECTION,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_INTERFERON_GAMMA_RESPONSE,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUSC,HALLMARK_E2F_TARGETS,475,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_P53_PATHWAY,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_TNFA_SIGNALING_VIA_NFKB,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_APOPTOSIS,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_P53_PATHWAY,117,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_P53_PATHWAY,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_ADIPOGENESIS,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_XENOBIOTIC_METABOLISM,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_INTERFERON_GAMMA_RESPONSE,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_E2F_TARGETS,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,UVM,HALLMARK_IL6_JAK_STAT3_SIGNALING,80,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_ALLOGRAFT_REJECTION,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_ADIPOGENESIS,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_INFLAMMATORY_RESPONSE,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LGG,HALLMARK_COAGULATION,490,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_INTERFERON_GAMMA_RESPONSE,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_MTORC1_SIGNALING,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_IL2_STAT5_SIGNALING,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,OV,HALLMARK_ADIPOGENESIS,69,,,FALSE,limited_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_APICAL_SURFACE,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_IL2_STAT5_SIGNALING,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LGG,HALLMARK_ALLOGRAFT_REJECTION,490,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_ALLOGRAFT_REJECTION,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_IL2_STAT5_SIGNALING,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_SPERMATOGENESIS,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_G2M_CHECKPOINT,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_IL6_JAK_STAT3_SIGNALING,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_APICAL_JUNCTION,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_ANGIOGENESIS,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,OV,HALLMARK_ESTROGEN_RESPONSE_EARLY,69,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LGG,HALLMARK_PI3K_AKT_MTOR_SIGNALING,490,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_IL6_JAK_STAT3_SIGNALING,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LGG,HALLMARK_COMPLEMENT,490,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LGG,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,490,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_APOPTOSIS,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_APOPTOSIS,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_ANGIOGENESIS,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_IL6_JAK_STAT3_SIGNALING,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_MYC_TARGETS_V2,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_COMPLEMENT,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_ADIPOGENESIS,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_CHOLESTEROL_HOMEOSTASIS,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_COAGULATION,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LGG,HALLMARK_GLYCOLYSIS,490,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_INTERFERON_ALPHA_RESPONSE,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_TGF_BETA_SIGNALING,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,STAD,HALLMARK_MYC_TARGETS_V2,354,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_ANGIOGENESIS,117,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_GLYCOLYSIS,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PCPG,HALLMARK_NOTCH_SIGNALING,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_BILE_ACID_METABOLISM,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_PEROXISOME,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_IL2_STAT5_SIGNALING,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_NOTCH_SIGNALING,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_KRAS_SIGNALING_UP,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_APICAL_SURFACE,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_HYPOXIA,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_IL6_JAK_STAT3_SIGNALING,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,GBM,HALLMARK_ALLOGRAFT_REJECTION,96,,,FALSE,limited_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_BILE_ACID_METABOLISM,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LGG,HALLMARK_APOPTOSIS,490,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_PEROXISOME,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_IL6_JAK_STAT3_SIGNALING,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_MYC_TARGETS_V1,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,CESC,HALLMARK_INTERFERON_GAMMA_RESPONSE,267,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_MTORC1_SIGNALING,117,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_FATTY_ACID_METABOLISM,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_MYC_TARGETS_V1,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PCPG,HALLMARK_HYPOXIA,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_WNT_BETA_CATENIN_SIGNALING,117,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,510,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_IL6_JAK_STAT3_SIGNALING,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_ESTROGEN_RESPONSE_EARLY,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_APICAL_JUNCTION,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_INFLAMMATORY_RESPONSE,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,STAD,HALLMARK_MYC_TARGETS_V1,354,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,GOBP_VITAMIN_B6_METABOLIC_PROCESS,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,UVM,HALLMARK_GLYCOLYSIS,80,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LUAD,HALLMARK_INTERFERON_ALPHA_RESPONSE,462,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_E2F_TARGETS,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_KRAS_SIGNALING_UP,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_ANDROGEN_RESPONSE,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KICH,HALLMARK_G2M_CHECKPOINT,65,,,FALSE,limited_evidence
continuous,rna_pathway_activity,LUSC,HALLMARK_G2M_CHECKPOINT,475,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_MYC_TARGETS_V1,117,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THCA,HALLMARK_ESTROGEN_RESPONSE_EARLY,503,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_G2M_CHECKPOINT,117,,,TRUE,standard_evidence
continuous,rna_pathway_activity,ACC,HALLMARK_COAGULATION,55,,,FALSE,limited_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_FATTY_ACID_METABOLISM,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_MYC_TARGETS_V2,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,CESC,HALLMARK_ALLOGRAFT_REJECTION,267,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_IL2_STAT5_SIGNALING,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_G2M_CHECKPOINT,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,KIRP,HALLMARK_MTORC1_SIGNALING,272,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BRCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1052,,,TRUE,standard_evidence
continuous,rna_pathway_activity,TGCT,HALLMARK_G2M_CHECKPOINT,149,,,TRUE,standard_evidence
continuous,rna_pathway_activity,LIHC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,358,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PRAD,HALLMARK_G2M_CHECKPOINT,400,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PAAD,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,176,,,TRUE,standard_evidence
continuous,rna_pathway_activity,UCEC,HALLMARK_MYC_TARGETS_V2,492,,,TRUE,standard_evidence
continuous,rna_pathway_activity,BLCA,HALLMARK_APICAL_JUNCTION,382,,,TRUE,standard_evidence
continuous,rna_pathway_activity,SARC,HALLMARK_MYC_TARGETS_V1,252,,,TRUE,standard_evidence
continuous,rna_pathway_activity,PRAD,HALLMARK_E2F_TARGETS,400,,,TRUE,standard_evidence
continuous,rna_pathway_activity,THYM,HALLMARK_TGF_BETA_SIGNALING,117,,,TRUE,standard_evidence
