family,tumor_type,endpoint,n,mean_pool_q2,median_pool_q2,delta_median_minus_mean,seed
rna_pathway_activity,SARC,HALLMARK_MYC_TARGETS_V2,252,0.326654104480324,0.32669281757457,3.87130942459124e-05,20263123
rna_pathway_activity,CESC,HALLMARK_ALLOGRAFT_REJECTION,267,0.32484314741082,0.325154014523372,0.000310867112552016,20261184
rna_pathway_activity,BRCA,HALLMARK_IL2_STAT5_SIGNALING,1052,0.324335707493655,0.32345840034294,-0.000877307150715156,20261097
rna_pathway_activity,SARC,HALLMARK_G2M_CHECKPOINT,252,0.323764053804143,0.321513559937549,-0.00225049386659387,20263108
rna_pathway_activity,KIRP,HALLMARK_MTORC1_SIGNALING,272,0.323643829293206,0.319443802175411,-0.00420002711779488,20261953
rna_pathway_activity,BRCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1052,0.323492322188638,0.326137374044756,0.00264505185611841,20261088
rna_pathway_activity,TGCT,HALLMARK_G2M_CHECKPOINT,149,0.322156878024845,0.334386485658201,0.0122296076333558,20263430
rna_pathway_activity,LIHC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,358,0.320990825612333,0.320990825612333,-4.9960036108132e-16,20262147
rna_pathway_activity,PRAD,HALLMARK_G2M_CHECKPOINT,400,0.320301909826735,0.321306999554746,0.0010050897280105,20262893
rna_pathway_activity,PAAD,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,176,0.320040099495371,0.319930887960921,-0.00010921153445026,20262679
rna_pathway_activity,UCEC,HALLMARK_MYC_TARGETS_V2,492,0.319328354811244,0.317493553453268,-0.00183480135797642,20263764
rna_pathway_activity,BLCA,HALLMARK_APICAL_JUNCTION,382,0.3186637313962,0.318496716413755,-0.000167014982445257,20260971
rna_pathway_activity,SARC,HALLMARK_MYC_TARGETS_V1,252,0.317910757548065,0.301839089206721,-0.0160716683413438,20263122
rna_pathway_activity,PRAD,HALLMARK_E2F_TARGETS,400,0.317554763480155,0.319028228647751,0.00147346516759617,20262888
rna_pathway_activity,THYM,HALLMARK_TGF_BETA_SIGNALING,117,0.317534292524906,0.317886356766737,0.000352064241830929,20263667
rna_pathway_activity,GBM,HALLMARK_ANGIOGENESIS,96,0.317324516957937,0.312273883378706,-0.0050506335792308,20261504
rna_pathway_activity,SARC,HALLMARK_TNFA_SIGNALING_VIA_NFKB,252,0.316577520547215,0.314781317619436,-0.00179620292777882,20263135
rna_pathway_activity,UCS,HALLMARK_ESTROGEN_RESPONSE_LATE,53,0.315434170110255,0.317627424123165,0.00219325401291037,20263846
rna_pathway_activity,MESO,HALLMARK_MTORC1_SIGNALING,75,0.314246612300439,0.315014834625632,0.000768222325192858,20262483
rna_pathway_activity,BRCA,HALLMARK_PI3K_AKT_MTOR_SIGNALING,1052,0.313728572190647,0.313498644159638,-0.000229928031009075,20261114
rna_pathway_activity,BRCA,HALLMARK_INFLAMMATORY_RESPONSE,1052,0.312232427678024,0.311217162778054,-0.00101526489997034,20261099
rna_pathway_activity,BLCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,382,0.311877442142659,0.31205629326871,0.000178851126051316,20261011
