layer,foundation_model,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,saved_current_balanced_accuracy,recomputed_primary_balanced_accuracy,primary_sensitivity,primary_specificity,primary_auc,primary_pr_auc,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_auc,equal_prior_pr_auc,optimized_balanced_accuracy,optimized_sensitivity,optimized_specificity,optimized_auc,optimized_pr_auc,current_crossing,current_candidate,recomputed_primary_crossing,equal_prior_crossing,optimized_crossing,median_primary_component,median_equal_component,median_optimized_component,median_optimized_threshold,primary_components_at_ceiling,equal_components_at_ceiling,optimized_components_at_ceiling,equal_prior_delta_ba,optimized_delta_ba,primary_reproduction_delta,near_threshold,baseline_crossing,union_positive,optimized_membership_change,equal_prior_membership_change
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,COAD,FBXW7,TCGA_MC3_Bailey2018,382,43,339,20261099,0.547472045002401,0.547472045002401,0.162790697674419,0.932153392330384,0.617410989915621,0.179305962701212,0.635213006791521,0.465116279069768,0.805309734513274,0.698223228373465,0.265779625665424,0.629759209713933,0.604651162790698,0.654867256637168,0.675859230294299,0.253017171071544,FALSE,FALSE,FALSE,TRUE,TRUE,8,2,2,-2.54595408629954,0,0,0,0.0877409617891198,0.0822871647115317,1.11022302462516e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,COAD,PIK3CA,TCGA_MC3_Bailey2018,382,83,299,20261101,0.544566224765282,0.544566224765282,0.253012048192771,0.836120401337793,0.576701454648024,0.267924263796442,0.602893178063424,0.650602409638554,0.555183946488294,0.632066728452271,0.285884012915618,0.602913325542975,0.710843373493976,0.494983277591973,0.615465205302817,0.301994625710363,FALSE,FALSE,FALSE,TRUE,TRUE,7,1,3,-1.798063311829,0,0,0,0.0583269532981424,0.0583471007776928,-2.22044604925031e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,COAD,SMAD4,TCGA_MC3_Bailey2018,382,36,346,20261102,0.534762363519589,0.534762363519589,0.138888888888889,0.930635838150289,0.5834938985228,0.128649949214755,0.604608220937701,0.472222222222222,0.736994219653179,0.677745664739884,0.171274253354785,0.581567116249197,0.611111111111111,0.552023121387283,0.659039820166988,0.175417337298113,FALSE,FALSE,FALSE,TRUE,FALSE,8,3,1,-2.81062594417771,1,0,0,0.0698458574181118,0.0468047527296083,0,FALSE,FALSE,TRUE,FALSE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,COAD,SOX9,TCGA_MC3_Bailey2018,382,42,340,20261103,0.488655462184874,0.488655462184874,0.0714285714285714,0.905882352941176,0.521428571428571,0.120488579652523,0.675350140056023,0.80952380952381,0.541176470588235,0.677801120448179,0.180921950079578,0.661974789915966,0.785714285714286,0.538235294117647,0.677801120448179,0.180921950079578,FALSE,FALSE,FALSE,TRUE,TRUE,8,1,1,-2.05848262386514,0,0,0,0.186694677871148,0.173319327731092,0,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,GBM,EGFR,TCGA_MC3_Bailey2018,241,40,201,20261106,0.55273631840796,0.55273631840796,0.2,0.90547263681592,0.656840796019901,0.269876150096791,0.605721393034826,0.5,0.711442786069652,0.61952736318408,0.254841181555261,0.605783582089552,0.525,0.686567164179104,0.650124378109453,0.26614355939391,FALSE,FALSE,FALSE,TRUE,TRUE,5,4,6,-1.47990258764438,0,0,0,0.0529850746268656,0.0530472636815921,2.22044604925031e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,GBM,TP53,TCGA_MC3_Bailey2018,241,52,189,20261109,0.59539072039072,0.59539072039072,0.365384615384615,0.825396825396825,0.624135124135124,0.298359115763568,0.681420431420431,0.653846153846154,0.708994708994709,0.712047212047212,0.353508933881735,0.700396825396825,0.75,0.650793650793651,0.782051282051282,0.457943900717818,FALSE,FALSE,FALSE,TRUE,TRUE,2,1,2,-2.1343710362162,1,0,0,0.086029711029711,0.105006105006105,3.33066907387547e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,HNSC,AJUBA,TCGA_MC3_Bailey2018,431,28,403,20261110,0.477667493796526,0.477667493796526,0,0.955334987593052,0.567440623892237,0.0752173083626949,0.623936547323644,0.535714285714286,0.712158808933002,0.59863523573201,0.090930936587386,0.578518255937611,0.571428571428571,0.58560794044665,0.567883729174052,0.0865191941123197,FALSE,FALSE,FALSE,TRUE,FALSE,9,1,10,-6.6471150019331,0,0,0,0.146269053527118,0.100850762141085,5.55111512312578e-17,FALSE,FALSE,TRUE,FALSE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,HNSC,CASP8,TCGA_MC3_Bailey2018,431,47,384,20261111,0.572528812056738,0.572528812056738,0.212765957446809,0.932291666666667,0.65802304964539,0.222391504815992,0.700216090425532,0.595744680851064,0.8046875,0.736757535460993,0.282203290995368,0.635111923758865,0.595744680851064,0.674479166666667,0.71448359929078,0.278453210022183,FALSE,FALSE,FALSE,TRUE,TRUE,7,3,3,-2.80653961062039,0,0,0,0.127687278368794,0.0625831117021276,-4.44089209850063e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,HNSC,HRAS,TCGA_MC3_Bailey2018,431,27,404,20261118,0.539466446644665,0.539466446644665,0.111111111111111,0.967821782178218,0.695727906123946,0.149108121573122,0.708425009167583,0.592592592592593,0.824257425742574,0.766409974330767,0.165253594624911,0.693344334433443,0.777777777777778,0.608910891089109,0.766318298496516,0.168062815908348,FALSE,FALSE,FALSE,TRUE,TRUE,6,3,3,-4.06630842002477,0,0,0,0.168958562522919,0.153877887788779,-5.55111512312578e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,HNSC,KEAP1,TCGA_MC3_Bailey2018,431,20,411,20261120,0.505535279805353,0.505535279805353,0.05,0.961070559610706,0.491605839416058,0.0548587313265063,0.639963503649635,0.55,0.72992700729927,0.680778588807786,0.0953452365132684,0.564416058394161,0.45,0.678832116788321,0.652554744525547,0.136332581805324,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,1,-3.22495222050589,0,0,0,0.134428223844282,0.0588807785888077,-1.11022302462516e-16,FALSE,FALSE,TRUE,FALSE,TRUE
