outcome_type,family,tumor_type,endpoint,repeat_id,pls_primary,ridge_primary,pls_secondary,ridge_secondary,delta_ridge_minus_pls,delta_secondary_ridge_minus_pls
binary,driver_mutation,THYM,GTF2I,5,0.88941372603501,0.919699916643512,0.818282856348986,0.842595165323701,0.0302861906085025,0.0243123089747151
binary,fusion,UCEC,Any called fusion,1,0.84486301369863,0.81763698630137,0.76986301369863,0.785958904109589,-0.0272260273972603,0.0160958904109588
binary,fusion,UCEC,Any called fusion,2,0.859589041095891,0.83236301369863,0.80111301369863,0.791609589041096,-0.0272260273972603,-0.00950342465753429
binary,fusion,UCEC,Any called fusion,3,0.852739726027397,0.855479452054795,0.75111301369863,0.795462328767123,0.00273972602739725,0.0443493150684932
binary,fusion,UCEC,Any called fusion,4,0.854794520547945,0.851027397260274,0.799657534246575,0.785958904109589,-0.00376712328767126,-0.0136986301369862
binary,fusion,UCEC,Any called fusion,5,0.826369863013699,0.84777397260274,0.772260273972603,0.785359589041096,0.021404109589041,0.013099315068493
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),1,0.907244451823565,0.898776910731086,0.820798051912115,0.812219824007969,-0.00846754109247883,-0.00857822790414531
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),2,0.885881897171952,0.910343682550224,0.800985112623831,0.835187337428745,0.0244617853782722,0.0342022248049144
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),3,0.923183352703525,0.91200398472522,0.823952626044607,0.828186396590846,-0.0111793679783053,0.00423377054623941
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),4,0.915435275886878,0.910952460014389,0.805716973822569,0.835187337428745,-0.00448281587248889,0.0294703636061763
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),5,0.923017322486026,0.924677624661022,0.813409707233383,0.836764624494992,0.00166030217499591,0.0233549172616083
binary,oncogenic_pathway,LGG,HIPPO,1,0.890061565523307,0.901831444979047,0.814501526204149,0.831845930984531,0.01176987945574,0.0173444047803817
binary,oncogenic_pathway,LGG,HIPPO,2,0.887345439495059,0.894329763567696,0.838067152982565,0.822792177557039,0.00698432407263694,-0.0152749754255265
binary,oncogenic_pathway,LGG,HIPPO,3,0.891018676599928,0.897821925604015,0.838261161984583,0.838067152982565,0.00680324900408713,-0.000194009002017714
binary,oncogenic_pathway,LGG,HIPPO,4,0.882378809043406,0.902659216720989,0.824680531843344,0.826374877127632,0.0202804076775829,0.00169434528428791
binary,oncogenic_pathway,LGG,HIPPO,5,0.908582958249263,0.895959439184645,0.82770707227482,0.82788814734337,-0.0126235190646179,0.000181075068549919
binary,oncogenic_pathway,LGG,TP53,1,0.884639346531912,0.888585075453413,0.834556278554617,0.826232174996539,0.0039457289215008,-0.00832410355807833
