family,tumor_type,endpoint,n,positive,multi_slide_patients,mean_pool_balanced_accuracy,first_slide_balanced_accuracy,delta_first_minus_mean,seed,backend,svd_method,rsvd_oversample,rsvd_power
oncogenic_pathway,GBM,TP53,71,38,28,0.734051036682616,0.675438596491228,-0.0586124401913879,20260955,cpu,rsvd,32,5
oncogenic_pathway,TGCT,RTK RAS,143,54,63,0.711714523512276,0.659488139825219,-0.0522263836870576,20260938,cpu,rsvd,32,5
oncogenic_pathway,PCPG,Cell Cycle,155,23,17,0.711627140974967,0.693675889328063,-0.0179512516469038,20260857,cpu,rsvd,32,5
oncogenic_pathway,LGG,RTK RAS,481,135,108,0.701273817169771,0.684831941768358,-0.0164418754014131,20260952,cpu,rsvd,32,5
oncogenic_pathway,PCPG,RTK RAS,158,52,18,0.698476052249637,0.669992743105951,-0.0284833091436864,20260954,cpu,rsvd,32,5
oncogenic_pathway,THCA,WNT,478,62,11,0.69661135235732,0.689748759305211,-0.00686259305210901,20261000,cpu,rsvd,32,5
oncogenic_pathway,COAD,TP53,323,208,5,0.693102006688963,0.687374581939799,-0.00572742474916377,20260966,cpu,rsvd,32,5
oncogenic_pathway,LGG,WNT,481,131,108,0.690970556161396,0.710054525627045,0.0190839694656487,20261002,cpu,rsvd,32,5
oncogenic_pathway,KIRP,Cell Cycle,243,31,7,0.688451004260499,0.688451004260499,1.11022302462516e-16,20260844,cpu,rsvd,32,5
oncogenic_pathway,LUAD,TP53,451,274,20,0.664171718421378,0.644098725720648,-0.0200729927007297,20260956,cpu,rsvd,32,5
oncogenic_pathway,STAD,NOTCH,327,125,24,0.660990099009901,0.644613861386139,-0.0163762376237624,20260899,cpu,rsvd,32,5
oncogenic_pathway,HNSC,TP53,412,312,17,0.659102564102564,0.6175,-0.041602564102564,20260968,cpu,rsvd,32,5
oncogenic_pathway,SARC,TP53,222,146,93,0.652577505407354,0.652307137707282,-0.000270367700072161,20260964,cpu,rsvd,32,5
oncogenic_pathway,STAD,TP53,327,184,24,0.64075326847066,0.641912435390696,0.00115916692003615,20260967,cpu,rsvd,32,5
oncogenic_pathway,ACC,WNT,53,20,43,0.638636363636364,0.653787878787879,0.0151515151515148,20261003,cpu,rsvd,32,5
oncogenic_pathway,LIHC,Cell Cycle,337,232,8,0.635796387520526,0.631486042692939,-0.00431034482758685,20260845,cpu,rsvd,32,5
oncogenic_pathway,LGG,TGF-Beta,481,130,108,0.635327635327635,0.629059829059829,-0.00626780626780599,20260985,cpu,rsvd,32,5
oncogenic_pathway,LIHC,WNT,337,147,8,0.634622269960616,0.625832438238453,-0.00878983172216275,20260993,cpu,rsvd,32,5
oncogenic_pathway,BLCA,TP53,373,232,24,0.63351369528002,0.619818415260455,-0.0136952800195651,20260960,cpu,rsvd,32,5
oncogenic_pathway,UCEC,WNT,468,230,39,0.626287906466935,0.636426744610888,0.0101388381439528,20260989,cpu,rsvd,32,5
oncogenic_pathway,SARC,RTK RAS,222,86,93,0.62594049247606,0.624401504787962,-0.00153898768809824,20260944,cpu,rsvd,32,5
oncogenic_pathway,LIHC,TP53,337,127,8,0.621297337832771,0.608661417322835,-0.0126359205099363,20260962,cpu,rsvd,32,5
oncogenic_pathway,LGG,Cell Cycle,476,195,108,0.621078565562551,0.629975362715576,0.00889679715302516,20260856,cpu,rsvd,32,5
oncogenic_pathway,LUSC,NRF2,443,109,10,0.619307257045542,0.586276987309784,-0.033030269735758,20260906,cpu,rsvd,32,5
oncogenic_pathway,STAD,PI3K,327,133,24,0.617859080691419,0.593481125494148,-0.0243779551972714,20260927,cpu,rsvd,32,5
oncogenic_pathway,COAD,MYC,323,79,5,0.615739780037352,0.603263125129695,-0.012476654907657,20260882,cpu,rsvd,32,5
oncogenic_pathway,STAD,HIPPO,327,70,24,0.609199555308505,0.630628126737076,0.0214285714285711,20260870,cpu,rsvd,32,5
oncogenic_pathway,STAD,RTK RAS,327,192,24,0.608622685185185,0.596701388888889,-0.0119212962962962,20260947,cpu,rsvd,32,5
