family,tumor_type,endpoint,repeat,sensitivity,specificity,balanced_accuracy,auc
aneuploidy,LUSC,Genome doubling,3,0.686746987951807,0.561904761904762,0.624325874928285,0.669917766303309
aneuploidy,LUSC,Genome doubling,4,0.730923694779117,0.528571428571429,0.629747561675273,0.673321858864028
aneuploidy,LUSC,Genome doubling,5,0.682730923694779,0.538095238095238,0.610413080895009,0.679804934021802
aneuploidy,CESC,Genome doubling,1,0.4,0.741379310344828,0.570689655172414,0.619810682893847
aneuploidy,CESC,Genome doubling,2,0.341176470588235,0.781609195402299,0.561392832995267,0.604056795131846
aneuploidy,CESC,Genome doubling,3,0.317647058823529,0.839080459770115,0.578363759296822,0.565449628127113
aneuploidy,CESC,Genome doubling,4,0.341176470588235,0.810344827586207,0.575760649087221,0.634617985125085
aneuploidy,CESC,Genome doubling,5,0.435294117647059,0.787356321839081,0.61132521974307,0.660175794455713
aneuploidy,PCPG,Genome doubling,1,0.375,0.887218045112782,0.631109022556391,0.68734335839599
aneuploidy,PCPG,Genome doubling,2,0.416666666666667,0.887218045112782,0.651942355889724,0.714912280701754
aneuploidy,PCPG,Genome doubling,3,0.375,0.887218045112782,0.631109022556391,0.710213032581454
aneuploidy,PCPG,Genome doubling,4,0.291666666666667,0.887218045112782,0.589442355889724,0.69016290726817
aneuploidy,PCPG,Genome doubling,5,0.375,0.894736842105263,0.634868421052632,0.667293233082707
aneuploidy,HNSC,Genome doubling,1,0.494318181818182,0.745173745173745,0.619745963495963,0.652663215163215
aneuploidy,HNSC,Genome doubling,2,0.482954545454546,0.756756756756757,0.619855651105651,0.654725342225342
aneuploidy,HNSC,Genome doubling,3,0.511363636363636,0.764478764478765,0.637921200421201,0.675346612846613
aneuploidy,HNSC,Genome doubling,4,0.534090909090909,0.722007722007722,0.628049315549316,0.660451035451036
aneuploidy,HNSC,Genome doubling,5,0.534090909090909,0.741312741312741,0.637701825201825,0.650359775359775
driver_mutation,THYM,GTF2I,1,0.898305084745763,0.852459016393443,0.875382050569603,0.910252848013337
driver_mutation,THYM,GTF2I,2,0.88135593220339,0.868852459016394,0.875104195609892,0.898582939705474
driver_mutation,THYM,GTF2I,3,0.864406779661017,0.786885245901639,0.825646012781328,0.872742428452348
driver_mutation,THYM,GTF2I,4,0.864406779661017,0.836065573770492,0.850236176715755,0.917199222006113
driver_mutation,THYM,GTF2I,5,0.949152542372881,0.836065573770492,0.892609058071687,0.909697138093915
driver_mutation,READ,APC,1,0.907692307692308,0.814285714285714,0.860989010989011,0.906593406593407
driver_mutation,READ,APC,2,0.923076923076923,0.757142857142857,0.84010989010989,0.900659340659341
driver_mutation,READ,APC,3,0.923076923076923,0.771428571428571,0.847252747252747,0.88989010989011
driver_mutation,READ,APC,4,0.907692307692308,0.757142857142857,0.832417582417582,0.883516483516484
driver_mutation,READ,APC,5,0.969230769230769,0.757142857142857,0.863186813186813,0.901318681318681
driver_mutation,LGG,TP53,1,0.806034482758621,0.869565217391304,0.837799850074963,0.911561264822134
driver_mutation,LGG,TP53,2,0.827586206896552,0.889328063241107,0.858457135068829,0.910436827041025
driver_mutation,LGG,TP53,3,0.849137931034483,0.853754940711463,0.851446435872973,0.903025759847349
driver_mutation,LGG,TP53,4,0.84051724137931,0.885375494071146,0.862946367725228,0.908119803734497
driver_mutation,LGG,TP53,5,0.836206896551724,0.877470355731225,0.856838626141475,0.895648766525828
driver_mutation,THCA,BRAF,1,0.927335640138408,0.761194029850746,0.844264834994577,0.895505173096455
driver_mutation,THCA,BRAF,2,0.934256055363322,0.73134328358209,0.832799669472706,0.891666236292586
driver_mutation,THCA,BRAF,3,0.910034602076125,0.741293532338308,0.825664067207216,0.882490660882439
driver_mutation,THCA,BRAF,4,0.923875432525952,0.756218905472637,0.840047168999294,0.90089345659247
driver_mutation,THCA,BRAF,5,0.927335640138408,0.736318407960199,0.831827024049304,0.896934015045878
driver_mutation,READ,TP53,1,0.878787878787879,0.811594202898551,0.845191040843215,0.922046552481335
driver_mutation,READ,TP53,2,0.924242424242424,0.782608695652174,0.853425559947299,0.921607378129117
driver_mutation,READ,TP53,3,0.954545454545455,0.797101449275362,0.875823451910408,0.924462011418533
driver_mutation,READ,TP53,4,0.939393939393939,0.782608695652174,0.861001317523057,0.930390865173474
driver_mutation,READ,TP53,5,0.909090909090909,0.797101449275362,0.853096179183136,0.937637241985068
driver_mutation,LGG,CIC,1,0.647619047619048,0.894736842105263,0.771177944862155,0.866390977443609
driver_mutation,LGG,CIC,2,0.619047619047619,0.889473684210526,0.754260651629073,0.878170426065163
driver_mutation,LGG,CIC,3,0.638095238095238,0.897368421052632,0.767731829573935,0.886065162907268
driver_mutation,LGG,CIC,4,0.619047619047619,0.892105263157895,0.755576441102757,0.884461152882206
driver_mutation,LGG,CIC,5,0.628571428571429,0.873684210526316,0.751127819548872,0.855614035087719
driver_mutation,LGG,IDH1,1,0.936,0.609090909090909,0.772545454545455,0.847951515151515
driver_mutation,LGG,IDH1,2,0.917333333333333,0.636363636363636,0.776848484848485,0.839612121212121
driver_mutation,LGG,IDH1,3,0.938666666666667,0.654545454545455,0.796606060606061,0.865551515151515
driver_mutation,LGG,IDH1,4,0.928,0.618181818181818,0.773090909090909,0.846981818181818
driver_mutation,LGG,IDH1,5,0.933333333333333,0.6,0.766666666666667,0.849793939393939
driver_mutation,COAD,APC,1,0.887755102040816,0.720430107526882,0.804092604783849,0.856155365371955
driver_mutation,COAD,APC,2,0.88265306122449,0.704301075268817,0.793477068246654,0.844003730524468
driver_mutation,COAD,APC,3,0.86734693877551,0.731182795698925,0.799264867237218,0.857334869431644
driver_mutation,COAD,APC,4,0.887755102040816,0.666666666666667,0.777210884353742,0.845622119815668
driver_mutation,COAD,APC,5,0.887755102040816,0.698924731182796,0.793339916611806,0.853851217906517
driver_mutation,LGG,ATRX,1,0.69060773480663,0.865131578947369,0.777869656876999,0.858370892701367
