tumor_type,block,endpoint,repeat_id,n,metric,pls1,pls2,median_ncomp_pls1,median_ncomp_pls2,delta_pls2_minus_pls1
BLCA,inferred_cell_fractions,Dendritic Cells Activated,3,373,Q2,0.0366727815512949,0.0640084836927162,1,5,0.0273357021414212
BLCA,inferred_cell_fractions,Dendritic Cells Resting,1,373,Q2,-0.0477114437650961,-0.0138635485191727,1,5,0.0338478952459234
BLCA,inferred_cell_fractions,Dendritic Cells Resting,2,373,Q2,-0.00305153000521385,-0.00812877168848525,1,5,-0.00507724168327139
BLCA,inferred_cell_fractions,Dendritic Cells Resting,3,373,Q2,0.00291076056055217,-0.00147587780711622,1,5,-0.00438663836766839
BLCA,inferred_cell_fractions,Eosinophils,1,373,Q2,-0.0488505489463733,-0.00214121528857381,1,5,0.0467093336577995
BLCA,inferred_cell_fractions,Eosinophils,2,373,Q2,-0.0646425128460131,-0.0211223638212368,1,5,0.0435201490247763
BLCA,inferred_cell_fractions,Eosinophils,3,373,Q2,-0.107056040757672,-0.0160703001318889,1,5,0.0909857406257828
BLCA,inferred_cell_fractions,Macrophages M0,1,373,Q2,0.0353104312950133,0.0304467225540427,1,5,-0.00486370874097064
BLCA,inferred_cell_fractions,Macrophages M0,2,373,Q2,0.0161482081664288,0.02560460984474,1,5,0.00945640167831119
BLCA,inferred_cell_fractions,Macrophages M0,3,373,Q2,0.0276675524993597,0.0217321513332368,1,5,-0.0059354011661229
BLCA,inferred_cell_fractions,Macrophages M1,1,373,Q2,0.132427449022637,0.138923325051935,3,5,0.00649587602929713
BLCA,inferred_cell_fractions,Macrophages M1,2,373,Q2,0.0883514625178146,0.11310559454331,3,5,0.0247541320254955
BLCA,inferred_cell_fractions,Macrophages M1,3,373,Q2,0.100573241516721,0.153117178450246,1,5,0.0525439369335252
BLCA,inferred_cell_fractions,Macrophages M2,1,373,Q2,0.00653210092082468,0.0151687633578991,1,5,0.00863666243707439
BLCA,inferred_cell_fractions,Macrophages M2,2,373,Q2,0.0669497863956878,0.0658374960249946,1,5,-0.00111229037069327
BLCA,inferred_cell_fractions,Macrophages M2,3,373,Q2,-0.0331517571347033,0.0851603576547668,1,5,0.11831211478947
BLCA,inferred_cell_fractions,Mast Cells Activated,1,373,Q2,0.00726792875550808,-0.0017007791495498,1,5,-0.00896870790505788
BLCA,inferred_cell_fractions,Mast Cells Activated,2,373,Q2,0.0177494972783491,0.000998576483238311,1,5,-0.0167509207951108
BLCA,inferred_cell_fractions,Mast Cells Activated,3,373,Q2,-0.0304377796673694,-0.0034978246505244,1,5,0.026939955016845
BLCA,inferred_cell_fractions,Mast Cells Resting,1,373,Q2,0.0362221219640269,0.0431492383834353,1,5,0.00692711641940846
BLCA,inferred_cell_fractions,Mast Cells Resting,2,373,Q2,0.0140361650868641,0.0218156346137904,1,5,0.00777946952692632
BLCA,inferred_cell_fractions,Mast Cells Resting,3,373,Q2,0.0466427953422695,0.0525777065394106,1,5,0.00593491119714118
BLCA,inferred_cell_fractions,Monocytes,1,373,Q2,-0.0179267266405778,-0.032879678167496,1,5,-0.0149529515269182
BLCA,inferred_cell_fractions,Monocytes,2,373,Q2,-0.0434198662770737,-0.0220709972500239,1,5,0.0213488690270498
BLCA,inferred_cell_fractions,Monocytes,3,373,Q2,-0.0151210144774516,-0.0255657773428344,1,5,-0.0104447628653828
BLCA,inferred_cell_fractions,NK Cells Activated,1,373,Q2,-0.0250533341679589,-0.00587544616602487,1,5,0.019177888001934
BLCA,inferred_cell_fractions,NK Cells Activated,2,373,Q2,-0.0414524047901177,-0.0187933785485377,1,5,0.02265902624158
BLCA,inferred_cell_fractions,NK Cells Activated,3,373,Q2,-0.0191927035863908,-0.00648051408175521,1,5,0.0127121895046356
BLCA,inferred_cell_fractions,NK Cells Resting,1,373,Q2,-0.0183726108757112,-0.0325373843067971,1,5,-0.0141647734310859
BLCA,inferred_cell_fractions,NK Cells Resting,2,373,Q2,-0.0708940273545788,-0.0235052962876454,1,5,0.0473887310669334
BLCA,inferred_cell_fractions,NK Cells Resting,3,373,Q2,-0.0015722858682885,-0.0131631059516451,1,5,-0.0115908200833565
BLCA,inferred_cell_fractions,Neutrophils,1,373,Q2,-0.0390093058182575,-0.018508602633694,1,5,0.0205007031845634
BLCA,inferred_cell_fractions,Neutrophils,2,373,Q2,-0.0809717888934851,-0.0310393495735084,1,5,0.0499324393199767
BLCA,inferred_cell_fractions,Neutrophils,3,373,Q2,-0.0310759280090731,-0.0286590769629669,1,5,0.00241685104610623
BLCA,inferred_cell_fractions,Plasma Cells,1,373,Q2,0.0303627619477969,0.0304370428909959,1,5,7.42809431990565e-05
BLCA,inferred_cell_fractions,Plasma Cells,2,373,Q2,0.0169491817471102,0.0173854642114233,1,5,0.000436282464313043
BLCA,inferred_cell_fractions,Plasma Cells,3,373,Q2,0.00102605085502216,0.0503050291458308,1,5,0.0492789782908086
BLCA,inferred_cell_fractions,T Cells CD4 Memory Activated,1,373,Q2,0.131449123448461,0.196686031730436,1,5,0.0652369082819747
BLCA,inferred_cell_fractions,T Cells CD4 Memory Activated,2,373,Q2,0.17526233929627,0.185025404655617,2,5,0.00976306535934734
BLCA,inferred_cell_fractions,T Cells CD4 Memory Activated,3,373,Q2,0.137836947372602,0.177898806315637,2,5,0.040061858943035
BLCA,inferred_cell_fractions,T Cells CD4 Memory Resting,1,373,Q2,-0.0433555856799497,0.00258087452238476,1,5,0.0459364602023344
BLCA,inferred_cell_fractions,T Cells CD4 Memory Resting,2,373,Q2,-0.0355504152281976,0.0216788920691742,1,5,0.0572293072973718
BLCA,inferred_cell_fractions,T Cells CD4 Memory Resting,3,373,Q2,-0.0361404078871741,-0.000892523941961265,1,5,0.0352478839452128
BLCA,inferred_cell_fractions,T Cells CD4 Naive,1,373,Q2,0.124548293201778,0.11837600075249,1,5,-0.00617229244928841
BLCA,inferred_cell_fractions,T Cells CD4 Naive,2,373,Q2,0.121930144335985,0.110746839708572,1,5,-0.0111833046274126
BLCA,inferred_cell_fractions,T Cells CD4 Naive,3,373,Q2,0.10203430435762,0.084672221538024,1,5,-0.0173620828195956
