stability_job_id,stability_repeat,seed,fold_assignment_sha256,outer_fold_n,outer_fold_positive,outer_fold_negative,identical_across_representations
11,5,20810826,cbf0feadd5f92b91fa2a4f96f7e5d392e2087142f993402d33bb816ce46d1b51,90;90;90;90;89,53;53;53;53;52,37;37;37;37;37,TRUE
12,1,20770827,e129b905a4775efd17320ecdb10be7bc794623582e9ab6a71a97849b449580a5,92;92;92;91;91,50;50;50;49;49,42;42;42;42;42,TRUE
12,2,20780827,6171f18fcf2b63fffb1c39900c7c6265bea8a52d269031ab1dff176482bfa52b,92;92;92;91;91,50;50;50;49;49,42;42;42;42;42,TRUE
12,3,20790827,61a796978fb257f5f879558de6e282640d7c331df360126aafeeb5183ddb032c,92;92;92;91;91,50;50;50;49;49,42;42;42;42;42,TRUE
12,4,20800827,d9126c9a528f863816580a9a287e3aa23040ca93f0c26047a1fe2ab105f0badd,92;92;92;91;91,50;50;50;49;49,42;42;42;42;42,TRUE
12,5,20810827,5028ae7e821b83c86c735dc3bb2fbac4678bea1b3b0dd3f77e89aed34db08036,92;92;92;91;91,50;50;50;49;49,42;42;42;42;42,TRUE
13,1,20770828,4e1dd5d63ec8883e7c842741aab5dfc735d7d355fb9fea106a681f9ee7cc4454,19;19;19;19;18,13;13;13;13;13,6;6;6;6;5,TRUE
13,2,20780828,54dd0f5bbd83f3e0fa1c0cd0d8be32182de8abe22c556e5b1589ca14f4499d0d,19;19;19;19;18,13;13;13;13;13,6;6;6;6;5,TRUE
13,3,20790828,1366d2b90402e0be1dc8ed826847dc410ebbb6787fd368deb7d1ed8a1e62ab44,19;19;19;19;18,13;13;13;13;13,6;6;6;6;5,TRUE
13,4,20800828,e8ad977a8876ca338e2eaf057b46d406502d2d08c851e896cd5b586de7a2de8b,19;19;19;19;18,13;13;13;13;13,6;6;6;6;5,TRUE
13,5,20810828,00f938a341aa32e828738c2286245b1bf7e1ce1c763b9a0ae55bce735544731b,19;19;19;19;18,13;13;13;13;13,6;6;6;6;5,TRUE
14,1,20770829,88ad1a1b751b12c11137ad485ab6b7d6338fd4e9e74095f65ec4edf9b6dd8596,33;33;33;32;32,8;8;8;8;8,25;25;25;24;24,TRUE
14,2,20780829,ea7aef09f21af225c7ed552eee5da91ed1d80a1cbe7df2567e0fda7c97812229,33;33;33;32;32,8;8;8;8;8,25;25;25;24;24,TRUE
14,3,20790829,9eedf23c9fdd7fdd4428b6c7b3397aad4e786a725a5fab3bfceeae8b117fcd64,33;33;33;32;32,8;8;8;8;8,25;25;25;24;24,TRUE
14,4,20800829,34fe684de2717bd8be265474e2e6dfc5eb5b208295810f5bcb52c41668305875,33;33;33;32;32,8;8;8;8;8,25;25;25;24;24,TRUE
14,5,20810829,02fa2d359b0244fee4424fa37a2d0c203672e1da7d62f71b10b9b6dd6eb532f4,33;33;33;32;32,8;8;8;8;8,25;25;25;24;24,TRUE
15,1,20770830,2198abce8e36422913f0dc0f912f73e80404f4f1e716c900b34ff4bbe0c1cd88,32;32;32;31;30,5;5;5;5;4,27;27;27;26;26,TRUE
15,2,20780830,a6c381bb3071e776312888ab44c6695eec65a4b5365b79687509ec24d15db566,32;32;32;31;30,5;5;5;5;4,27;27;27;26;26,TRUE
15,3,20790830,f69279ba1ce98584860af190d144bbc205f1c2821edf98b475dc16b71eebc0e3,32;32;32;31;30,5;5;5;5;4,27;27;27;26;26,TRUE
15,4,20800830,f28d996d24f69712ae0b960cf5c6656129c1bfa2829fc734ded77615c6d7d771,32;32;32;31;30,5;5;5;5;4,27;27;27;26;26,TRUE
