outcome_type,family,tumor_type,endpoint,n,n_codes,grouped_metric,matched_random_metric,grouped_minus_matched,paired_ci_low,paired_ci_high,bootstrap_resamples,code_only_metric,code_heterogeneity,code_heterogeneity_minimum5,minimum_prevalence_minimum5,maximum_prevalence_minimum5,codes_with_minimum5,minimum_code_n,maximum_code_n,heterogeneity_definition,exact_outer_test_sizes_matched,exact_outer_class_counts_matched,grouped_components_median,matched_components_median,seed
binary,driver_mutation,LUAD,TP53,463,33,0.676034785205091,0.682025155824283,-0.0059903706191915,-0.0478147869514848,0.0326616218236173,1000,0.484884111521666,1,0.603174603174603,0.111111111111111,0.714285714285714,22,1,91,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,3,20260843
binary,driver_mutation,OV,TP53,72,11,0.561818181818182,0.66,-0.0981818181818181,-0.233202611218569,0.0306434443216358,1000,0.848636363636364,1,0.916666666666667,0.0833333333333333,1,3,1,28,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,9,20260847
binary,driver_mutation,PAAD,TP53,175,25,0.643765381460213,0.63282745419743,0.0109379272627838,-0.0566963486307766,0.0809003936706908,1000,0.474569319114028,1,0.633333333333333,0.2,0.833333333333333,10,1,38,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,3,20260863
binary,driver_mutation,READ,APC,135,13,0.451648351648352,0.801648351648352,-0.35,-0.43189961821147,-0.268507635121559,1000,0.89989010989011,1,0.981481481481481,0.0185185185185185,1,7,1,54,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,5,20260829
binary,driver_mutation,READ,TP53,135,13,0.777009222661397,0.808959156785244,-0.0319499341238471,-0.111582946303041,0.0416790184453229,1000,0.874286341677646,0.962962962962963,0.962962962962963,0.037037037037037,1,7,1,54,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,11,1,20260832
binary,driver_mutation,SKCM,BRAF,98,15,0.653846153846154,0.661371237458194,-0.00752508361204007,-0.0992232744107744,0.0816751700680272,1000,0.470944816053512,1,0.457142857142857,0.142857142857143,0.6,5,1,45,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,2,20260855
binary,driver_mutation,STAD,ARID1A,371,22,0.574313186813187,0.58228021978022,-0.00796703296703305,-0.0581337852369614,0.0418288881198438,1000,0.478198587127159,1,0.528571428571429,0.0714285714285714,0.6,12,1,111,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,5,20260867
binary,driver_mutation,STAD,PIK3CA,371,22,0.633744629282803,0.612041423377768,0.0217032059050346,-0.040088750598071,0.0878658546351837,1000,0.440591605155889,1,0.4,0,0.4,12,1,111,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,5,7,20260862
binary,driver_mutation,STAD,TP53,371,22,0.64765188547486,0.672413291433892,-0.0247614059590316,-0.0642924826016908,0.0128256003256003,1000,0.539106145251397,1,0.6,0.2,0.8,12,1,111,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,3,20260845
binary,driver_mutation,THCA,BRAF,490,22,0.834314586238358,0.841562085764947,-0.00724749952658854,-0.0289710687232971,0.013989720526823,1000,0.603005732582761,1,0.777777777777778,0.222222222222222,1,16,1,93,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,4,20260831
binary,driver_mutation,THCA,NRAS,490,22,0.717607595656376,0.615526749673091,0.102080845983285,0.0256672801508636,0.182404540763674,1000,0.56529649212576,1,0.2,0,0.2,16,1,93,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,8,7,20260841
binary,driver_mutation,THYM,GTF2I,120,19,0.867463184217838,0.858155043067519,0.00930814115031964,-0.037190263394335,0.0583393762320473,1000,0.61183662128369,1,0.633333333333333,0.166666666666667,0.8,7,1,23,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,3,20260828
binary,driver_mutation,UCEC,ARID1A,487,30,0.595111078631979,0.625237503653902,-0.0301264250219235,-0.0736608758595729,0.0158926616125339,1000,0.575133367436422,1,0.495934959349594,0.170731707317073,0.666666666666667,15,1,75,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,8,20260853
binary,driver_mutation,UCEC,ATM,487,30,0.607290098815523,0.626546037562987,-0.0192559387474642,-0.0712807859188254,0.0297286272230483,1000,0.475672403638505,0.5,0.428571428571429,0,0.428571428571429,15,1,75,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,7,20260866
binary,driver_mutation,UCEC,CTNNB1,487,30,0.576486915146709,0.582791435368755,-0.00630452022204597,-0.0507168213589682,0.0381944140976746,1000,0.52416071900608,1,0.36,0,0.36,15,1,75,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,16,8,20260864
binary,driver_mutation,UCEC,PTEN,487,30,0.729003492354118,0.722663004780796,0.00634048757332251,-0.0326838731443995,0.0434995261470409,1000,0.669921676329977,1,0.63,0.25,0.88,15,1,75,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,4,20260839
