outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,n,foundation_model,ridge_q2,ridge_balanced_accuracy,ridge_auc,ridge_pr_auc,ridge_lambda_median,numerical_failures
binary,driver_mutation,LUAD,ARID1A,large,high,463,TITAN,,0.480319634703196,0.454703196347032,0.0539388899752317,11.5420925144723,0
binary,driver_mutation,LUAD,ARID1A,large,high,463,GigaSSL,,0.503150684931507,0.485205479452055,0.0578393619720844,0.413909665981382,0
binary,driver_mutation,LUAD,ARID1A,large,high,463,ProvGigaPath,,0.454429223744292,0.429315068493151,0.0474055825677685,35.6024710793009,0
binary,driver_mutation,PAAD,KRAS,small,low,175,TITAN,,0.548801870251315,0.567942723553478,0.691227334561795,115.626096203525,0
binary,driver_mutation,PAAD,KRAS,small,low,175,GigaSSL,,0.595046756282876,0.619082407948568,0.770443766700408,12.9089268471044,0
binary,driver_mutation,PAAD,KRAS,small,low,175,ProvGigaPath,,0.564874342489772,0.615429573348919,0.743981203458443,1.83573976606585,0
binary,driver_mutation,UCEC,ARID1A,large,low,487,TITAN,,0.672071658245292,0.742673403766651,0.575653129245988,1.65201777479579,0
binary,driver_mutation,UCEC,ARID1A,large,low,487,GigaSSL,,0.596692696371153,0.644281120808452,0.494942400376196,1.06888950450725,0
binary,driver_mutation,UCEC,ARID1A,large,low,487,ProvGigaPath,,0.617262287551677,0.672815801561782,0.543289276445252,1.0407810119527,0
binary,driver_mutation,UCEC,BCOR,large,moderate,487,TITAN,,0.617307692307692,0.643063186813187,0.248539553364031,0.767963302977111,0
binary,driver_mutation,UCEC,BCOR,large,moderate,487,GigaSSL,,0.496188186813187,0.488083791208791,0.163282024245485,1.25935221739003,0
binary,driver_mutation,UCEC,BCOR,large,moderate,487,ProvGigaPath,,0.568440934065934,0.60518543956044,0.206603703095833,0.574470218176055,0
binary,fusion,BLCA,Any called fusion,medium,moderate,381,TITAN,,0.640176971326165,0.674880525686977,0.843411439243586,4.11503883284062,0
binary,fusion,BLCA,Any called fusion,medium,moderate,381,GigaSSL,,0.598118279569893,0.636275388291517,0.839357323362281,1.93413527504336,0
binary,fusion,BLCA,Any called fusion,medium,moderate,381,ProvGigaPath,,0.592237903225807,0.644713261648746,0.831767331292683,5.68181391648689,0
binary,fusion,DLBC,Any called fusion,small,low,44,TITAN,,0.545454545454545,0.481404958677686,0.51199190916865,3.33023129815603,0
binary,fusion,DLBC,Any called fusion,small,low,44,GigaSSL,,0.704545454545455,0.636363636363636,0.633991197963698,5.72425915229911,0
binary,fusion,DLBC,Any called fusion,small,low,44,ProvGigaPath,,0.590909090909091,0.634297520661157,0.673916570995586,53.6342187662878,0
binary,fusion,HNSC,Any called fusion,medium,low,435,TITAN,,0.540581586416372,0.547440621421102,0.731736324293576,78.4270384545781,0
binary,fusion,HNSC,Any called fusion,medium,low,435,GigaSSL,,0.539473684210526,0.519643479559827,0.694831340063682,65.2712788101592,0
binary,fusion,HNSC,Any called fusion,medium,low,435,ProvGigaPath,,0.52195887068665,0.506896380022905,0.684733569758999,6.03553664287435,0
binary,fusion,KIRC,Any called fusion,large,low,507,TITAN,,0.539941466709191,0.554978143819297,0.357744570632931,75.9013382756736,0
binary,fusion,KIRC,Any called fusion,large,low,507,GigaSSL,,0.508855036301897,0.525598934393937,0.343983395526401,62.1276518967307,0
binary,fusion,KIRC,Any called fusion,large,low,507,ProvGigaPath,,0.484222276419714,0.484231656754779,0.297982405723823,1.05425582735539,0
binary,fusion,LUSC,Any called fusion,large,moderate,475,TITAN,,0.55120232172471,0.583886124930901,0.883419122827954,27.8887463477808,0
binary,fusion,LUSC,Any called fusion,large,moderate,475,GigaSSL,,0.470874792703151,0.454221945826424,0.825718208292232,5.04815236225967,0
binary,fusion,LUSC,Any called fusion,large,moderate,475,ProvGigaPath,,0.532441956882255,0.562430901050304,0.87168576502484,0.614988283154225,0
binary,fusion,THCA,Fusion pair: CCDC6--RET,large,high,502,TITAN,,0.796822033898305,0.843220338983051,0.248785522469875,1.61642914646801,0
binary,fusion,THCA,Fusion pair: CCDC6--RET,large,high,502,GigaSSL,,0.716737288135593,0.682838983050847,0.0707676011654908,0.428358844173951,0
binary,fusion,THCA,Fusion pair: CCDC6--RET,large,high,502,ProvGigaPath,,0.588983050847458,0.670338983050848,0.0940120988203016,0.329994680040201,0
binary,fusion,THYM,Any called fusion,small,moderate,117,TITAN,,0.549071618037135,0.581786030061892,0.306144323283231,2.09817769471403,0
binary,fusion,THYM,Any called fusion,small,moderate,117,GigaSSL,,0.566091954022989,0.602564102564103,0.323815305658727,1.65423352435936,0
binary,fusion,THYM,Any called fusion,small,moderate,117,ProvGigaPath,,0.60079575596817,0.586206896551724,0.298137623853822,1.91102234308369,0
binary,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),medium,moderate,391,TITAN,,0.763644613456636,0.852080722527117,0.643893323245983,1.62630209949484,0
binary,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),medium,moderate,391,GigaSSL,,0.746791409187157,0.823430275269003,0.618363922940106,1.55302301398939,0
binary,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),medium,moderate,391,ProvGigaPath,,0.759409705717125,0.821528888120652,0.637386975788889,1.30975382619795,0
binary,microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),large,low,487,TITAN,,0.700146184582399,0.762186921352695,0.592245885551746,1.98044352086168,0
