family,tumor_type,endpoint,repeat,outer_fold,n,positive,negative,training_patients,training_positive,training_negative,test_patients,test_positive,test_negative,limited_evidence
aneuploidy,HNSC,Genome doubling,5,3,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,5,4,435,176,259,348,141,207,87,35,52,FALSE
aneuploidy,HNSC,Genome doubling,5,5,435,176,259,349,141,208,86,35,51,FALSE
aneuploidy,LUAD,Genome doubling,1,1,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,1,2,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,1,3,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,1,4,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,1,5,449,264,185,360,212,148,89,52,37,FALSE
aneuploidy,LUAD,Genome doubling,2,1,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,2,2,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,2,3,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,2,4,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,2,5,449,264,185,360,212,148,89,52,37,FALSE
aneuploidy,LUAD,Genome doubling,3,1,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,3,2,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,3,3,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,3,4,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,3,5,449,264,185,360,212,148,89,52,37,FALSE
aneuploidy,LUAD,Genome doubling,4,1,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,4,2,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,4,3,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,4,4,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,4,5,449,264,185,360,212,148,89,52,37,FALSE
aneuploidy,LUAD,Genome doubling,5,1,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,5,2,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,5,3,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,5,4,449,264,185,359,211,148,90,53,37,FALSE
aneuploidy,LUAD,Genome doubling,5,5,449,264,185,360,212,148,89,52,37,FALSE
