foundation_model,outcome_type,family,endpoint,source,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
ProvGigaPath,binary,driver_mutation,CIC,TCGA_MC3_Bailey2018,1,1,100,LGG
TITAN,binary,driver_mutation,CIC,TCGA_MC3_Bailey2018,1,1,100,LGG
GigaSSL,binary,driver_mutation,CREBBP,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,CREBBP,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,CREBBP,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,CTCF,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,CTCF,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,CTCF,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,CTNNB1,TCGA_MC3_Bailey2018,4,3,75,COAD;STAD;UCEC
ProvGigaPath,binary,driver_mutation,CTNNB1,TCGA_MC3_Bailey2018,4,2,50,LIHC;STAD
TITAN,binary,driver_mutation,CTNNB1,TCGA_MC3_Bailey2018,4,4,100,COAD;LIHC;STAD;UCEC
GigaSSL,binary,driver_mutation,CTNND1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,CTNND1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,CTNND1,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,CUL3,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,CUL3,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,CUL3,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,DICER1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,DICER1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,DICER1,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,DMD,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,DMD,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,DMD,TCGA_MC3_Bailey2018,1,1,100,STAD
GigaSSL,binary,driver_mutation,EGFR,TCGA_MC3_Bailey2018,3,2,66.6666666666667,LGG;LUAD
ProvGigaPath,binary,driver_mutation,EGFR,TCGA_MC3_Bailey2018,3,2,66.6666666666667,LGG;LUAD
TITAN,binary,driver_mutation,EGFR,TCGA_MC3_Bailey2018,3,2,66.6666666666667,LGG;LUAD
