outcome_type,family,tumor_type,endpoint,p_permutation,permutations,permutation_exceedances,permutation_attempted,permutation_stopped_early,p_mc_lower_95,p_mc_upper_95,p_mc_status
continuous,aneuploidy,SKCM,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UCS,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UVM,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,SKCM,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,SKCM,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KICH,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,MESO,Deleted arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UCS,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,UVM,Amplified arm count,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,aneuploidy,KICH,Aneuploidy score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,UCEC,Fusion burden,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,fusion,BRCA,Fusion burden,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,fusion,LGG,Fusion burden,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,fusion,SARC,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,BLCA,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,LUAD,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,PRAD,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,STAD,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,THCA,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,LUSC,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,HNSC,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,KIRC,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,COAD,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,KIRP,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,ESCA,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,UVM,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,PCPG,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,LIHC,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,ACC,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,CESC,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,PAAD,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,SKCM,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,TGCT,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,OV,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,READ,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,KICH,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,THYM,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,UCS,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,GBM,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,fusion,MESO,Fusion burden,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,COAD,MSIsensor score,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,microsatellite_instability,COAD,MANTIS score,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,microsatellite_instability,TGCT,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,PRAD,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,STAD,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,STAD,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,UCEC,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,UCEC,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,CESC,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,TGCT,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,SARC,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,BRCA,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
