foundation_model,family,tumor_type,endpoint,n,positive,negative,prevalence,no_skill_pr_auc,rule,balanced_accuracy,sensitivity,specificity,ppv,npv,auroc,pr_auc,ba_crossing_sensitivity,empirical_balanced_accuracy,empirical_sensitivity,empirical_specificity,empirical_ppv,empirical_npv,balanced_accuracy_delta_vs_empirical,sensitivity_delta_vs_empirical,specificity_delta_vs_empirical,ppv_delta_vs_empirical,npv_delta_vs_empirical
GigaSSL,aneuploidy,LUAD,Genome doubling,449,264,185,0.587973273942094,0.587973273942094,empirical training priors,0.600644963144963,0.693181818181818,0.508108108108108,0.667883211678832,0.537142857142857,0.639004914004914,0.689518442351243,TRUE,0.600644963144963,0.693181818181818,0.508108108108108,0.667883211678832,0.537142857142857,0,0,0,0,0
ProvGigaPath,aneuploidy,LUAD,Genome doubling,449,264,185,0.587973273942094,0.587973273942094,empirical training priors,0.646099508599509,0.784090909090909,0.508108108108108,0.694630872483222,0.622516556291391,0.701576576576577,0.737105123822669,TRUE,0.646099508599509,0.784090909090909,0.508108108108108,0.694630872483222,0.622516556291391,0,0,0,0,0
TITAN,aneuploidy,LUAD,Genome doubling,449,264,185,0.587973273942094,0.587973273942094,empirical training priors,0.652334152334152,0.818181818181818,0.486486486486487,0.694533762057878,0.652173913043478,0.708701883701884,0.739806042229855,TRUE,0.652334152334152,0.818181818181818,0.486486486486487,0.694533762057878,0.652173913043478,0,0,0,0,0
GigaSSL,aneuploidy,LUSC,Genome doubling,458,248,210,0.541484716157205,0.541484716157205,empirical training priors,0.580280337941628,0.665322580645161,0.495238095238095,0.608856088560886,0.556149732620321,0.63097158218126,0.635363195288198,FALSE,0.580280337941628,0.665322580645161,0.495238095238095,0.608856088560886,0.556149732620321,0,0,0,0,0
ProvGigaPath,aneuploidy,LUSC,Genome doubling,458,248,210,0.541484716157205,0.541484716157205,empirical training priors,0.583563748079877,0.629032258064516,0.538095238095238,0.616600790513834,0.551219512195122,0.619546850998464,0.654752677503186,FALSE,0.583563748079877,0.629032258064516,0.538095238095238,0.616600790513834,0.551219512195122,0,0,0,0,0
TITAN,aneuploidy,LUSC,Genome doubling,458,248,210,0.541484716157205,0.541484716157205,empirical training priors,0.628648233486943,0.709677419354839,0.547619047619048,0.649446494464945,0.614973262032086,0.682507680491551,0.689871699762472,TRUE,0.628648233486943,0.709677419354839,0.547619047619048,0.649446494464945,0.614973262032086,0,0,0,0,0
GigaSSL,aneuploidy,OV,Genome doubling,94,65,29,0.691489361702128,0.691489361702128,empirical training priors,0.605039787798409,0.830769230769231,0.379310344827586,0.75,0.5,0.639257294429708,0.777419045366079,TRUE,0.605039787798409,0.830769230769231,0.379310344827586,0.75,0.5,0,0,0,0,0
ProvGigaPath,aneuploidy,OV,Genome doubling,94,65,29,0.691489361702128,0.691489361702128,empirical training priors,0.608753315649867,0.769230769230769,0.448275862068966,0.757575757575758,0.464285714285714,0.629177718832891,0.798232658136168,TRUE,0.608753315649867,0.769230769230769,0.448275862068966,0.757575757575758,0.464285714285714,0,0,0,0,0
TITAN,aneuploidy,OV,Genome doubling,94,65,29,0.691489361702128,0.691489361702128,empirical training priors,0.725729442970822,0.830769230769231,0.620689655172414,0.830769230769231,0.620689655172414,0.80106100795756,0.900177671421416,TRUE,0.725729442970822,0.830769230769231,0.620689655172414,0.830769230769231,0.620689655172414,0,0,0,0,0
GigaSSL,aneuploidy,PAAD,Genome doubling,163,40,123,0.245398773006135,0.245398773006135,empirical training priors,0.597764227642276,0.35,0.845528455284553,0.424242424242424,0.8,0.670121951219512,0.413264234714129,FALSE,0.597764227642276,0.35,0.845528455284553,0.424242424242424,0.8,0,0,0,0,0
ProvGigaPath,aneuploidy,PAAD,Genome doubling,163,40,123,0.245398773006135,0.245398773006135,empirical training priors,0.55619918699187,0.275,0.83739837398374,0.354838709677419,0.78030303030303,0.626829268292683,0.332803831920966,FALSE,0.55619918699187,0.275,0.83739837398374,0.354838709677419,0.78030303030303,0,0,0,0,0
TITAN,aneuploidy,PAAD,Genome doubling,163,40,123,0.245398773006135,0.245398773006135,empirical training priors,0.555894308943089,0.25,0.861788617886179,0.37037037037037,0.779411764705882,0.636178861788618,0.348757364620422,FALSE,0.555894308943089,0.25,0.861788617886179,0.37037037037037,0.779411764705882,0,0,0,0,0
GigaSSL,aneuploidy,PCPG,Genome doubling,157,24,133,0.152866242038217,0.152866242038217,empirical training priors,0.471961152882206,0.0416666666666667,0.902255639097744,0.0714285714285714,0.839160839160839,0.530388471177945,0.184062898402431,FALSE,0.471961152882206,0.0416666666666667,0.902255639097744,0.0714285714285714,0.839160839160839,0,0,0,0,0
ProvGigaPath,aneuploidy,PCPG,Genome doubling,157,24,133,0.152866242038217,0.152866242038217,empirical training priors,0.521146616541353,0.125,0.917293233082707,0.214285714285714,0.853146853146853,0.587406015037594,0.211446574875554,FALSE,0.521146616541353,0.125,0.917293233082707,0.214285714285714,0.853146853146853,0,0,0,0,0
TITAN,aneuploidy,PCPG,Genome doubling,157,24,133,0.152866242038217,0.152866242038217,empirical training priors,0.534461152882205,0.166666666666667,0.902255639097744,0.235294117647059,0.857142857142857,0.617481203007519,0.246511728111393,FALSE,0.534461152882205,0.166666666666667,0.902255639097744,0.235294117647059,0.857142857142857,0,0,0,0,0
GigaSSL,aneuploidy,PRAD,Genome doubling,352,28,324,0.0795454545454545,0.0795454545454545,empirical training priors,0.53968253968254,0.107142857142857,0.972222222222222,0.25,0.926470588235294,0.62907848324515,0.161047581576082,FALSE,0.53968253968254,0.107142857142857,0.972222222222222,0.25,0.926470588235294,0,0,0,0,0
ProvGigaPath,aneuploidy,PRAD,Genome doubling,352,28,324,0.0795454545454545,0.0795454545454545,empirical training priors,0.505511463844797,0.0357142857142857,0.975308641975309,0.111111111111111,0.921282798833819,0.562830687830688,0.113612209003488,FALSE,0.505511463844797,0.0357142857142857,0.975308641975309,0.111111111111111,0.921282798833819,0,0,0,0,0
TITAN,aneuploidy,PRAD,Genome doubling,352,28,324,0.0795454545454545,0.0795454545454545,empirical training priors,0.510141093474427,0.0357142857142857,0.984567901234568,0.166666666666667,0.921965317919075,0.609457671957672,0.165731661959629,FALSE,0.510141093474427,0.0357142857142857,0.984567901234568,0.166666666666667,0.921965317919075,0,0,0,0,0
GigaSSL,aneuploidy,READ,Genome doubling,142,72,70,0.507042253521127,0.507042253521127,empirical training priors,0.634126984126984,0.611111111111111,0.657142857142857,0.647058823529412,0.621621621621622,0.70218253968254,0.681643584842889,TRUE,0.634126984126984,0.611111111111111,0.657142857142857,0.647058823529412,0.621621621621622,0,0,0,0,0
