gene,positive,negative,n_profiled,tumor_type,eligibility
MYH9,17,414,431,HNSC,insufficient_positive
NFE2L2,26,405,431,HNSC,eligible
NOTCH1,77,354,431,HNSC,eligible
NSD1,51,380,431,HNSC,eligible
PIK3CA,74,357,431,HNSC,eligible
PTEN,10,421,431,HNSC,insufficient_positive
RAC1,11,420,431,HNSC,insufficient_positive
RASA1,16,415,431,HNSC,insufficient_positive
RB1,9,422,431,HNSC,insufficient_positive
RHOA,9,422,431,HNSC,insufficient_positive
TGFBR2,21,410,431,HNSC,eligible
TP53,320,111,431,HNSC,eligible
ZNF750,16,415,431,HNSC,insufficient_positive
PTEN,6,59,65,KICH,insufficient_positive
TP53,21,44,65,KICH,eligible
ATM,14,339,353,KIRC,insufficient_positive
BAP1,35,318,353,KIRC,eligible
KDM5C,19,334,353,KIRC,insufficient_positive
KIF1A,6,347,353,KIRC,insufficient_positive
MTOR,27,326,353,KIRC,eligible
PBRM1,144,209,353,KIRC,eligible
PIK3CA,6,347,353,KIRC,insufficient_positive
PTEN,14,339,353,KIRC,insufficient_positive
SETD2,47,306,353,KIRC,eligible
TCEB1,4,349,353,KIRC,insufficient_positive
TP53,11,342,353,KIRC,insufficient_positive
VHL,161,192,353,KIRC,eligible
BAP1,13,252,265,KIRP,insufficient_positive
CUL3,9,256,265,KIRP,insufficient_positive
KDM6A,10,255,265,KIRP,insufficient_positive
KRAS,5,260,265,KIRP,insufficient_positive
MET,18,247,265,KIRP,insufficient_positive
NF2,9,256,265,KIRP,insufficient_positive
PIK3CA,2,263,265,KIRP,insufficient_positive
SETD2,16,249,265,KIRP,insufficient_positive
SMARCB1,4,261,265,KIRP,insufficient_positive
ARID1A,19,466,485,LGG,insufficient_positive
ARID2,10,475,485,LGG,insufficient_positive
ATRX,181,304,485,LGG,eligible
CIC,105,380,485,LGG,eligible
EGFR,34,451,485,LGG,eligible
FUBP1,44,441,485,LGG,eligible
IDH1,375,110,485,LGG,eligible
IDH2,20,465,485,LGG,eligible
MAX,4,481,485,LGG,insufficient_positive
NF1,31,454,485,LGG,eligible
NIPBL,19,466,485,LGG,insufficient_positive
NOTCH1,32,453,485,LGG,eligible
NRAS,4,481,485,LGG,insufficient_positive
PIK3CA,40,445,485,LGG,eligible
PIK3R1,21,464,485,LGG,eligible
PLCG1,5,480,485,LGG,insufficient_positive
PTEN,23,462,485,LGG,eligible
PTPN11,8,477,485,LGG,insufficient_positive
SETD2,10,475,485,LGG,insufficient_positive
SMARCA4,25,460,485,LGG,eligible
TCF12,13,472,485,LGG,insufficient_positive
TP53,232,253,485,LGG,eligible
ZBTB20,19,466,485,LGG,insufficient_positive
ZCCHC12,6,479,485,LGG,insufficient_positive
ACVR2A,11,339,350,LIHC,insufficient_positive
ALB,45,305,350,LIHC,eligible
APOB,34,316,350,LIHC,eligible
ARID1A,26,324,350,LIHC,eligible
ARID2,18,332,350,LIHC,insufficient_positive
AXIN1,25,325,350,LIHC,eligible
BAP1,20,330,350,LIHC,eligible
BRD7,10,340,350,LIHC,insufficient_positive
CDKN1A,6,344,350,LIHC,insufficient_positive
CDKN2A,9,341,350,LIHC,insufficient_positive
CREB3L3,6,344,350,LIHC,insufficient_positive
CTNNB1,93,257,350,LIHC,eligible
DHX9,12,338,350,LIHC,insufficient_positive
EEF1A1,9,341,350,LIHC,insufficient_positive
GNAS,5,345,350,LIHC,insufficient_positive
HIST1H1E,4,346,350,LIHC,insufficient_positive
IDH1,8,342,350,LIHC,insufficient_positive
IL6ST,10,340,350,LIHC,insufficient_positive
KEAP1,18,332,350,LIHC,insufficient_positive
KRAS,5,345,350,LIHC,insufficient_positive
LZTR1,12,338,350,LIHC,insufficient_positive
NFE2L2,10,340,350,LIHC,insufficient_positive
NRAS,5,345,350,LIHC,insufficient_positive
NUP133,10,340,350,LIHC,insufficient_positive
PIK3CA,12,338,350,LIHC,insufficient_positive
RB1,19,331,350,LIHC,insufficient_positive
RPS6KA3,15,335,350,LIHC,insufficient_positive
SMARCA4,11,339,350,LIHC,insufficient_positive
TP53,107,243,350,LIHC,eligible
TSC2,13,337,350,LIHC,insufficient_positive
WHSC1,6,344,350,LIHC,insufficient_positive
XPO1,5,345,350,LIHC,insufficient_positive
ARID1A,25,438,463,LUAD,eligible
ATM,37,426,463,LUAD,eligible
BRAF,37,426,463,LUAD,eligible
CDKN2A,19,444,463,LUAD,insufficient_positive
CTNNB1,15,448,463,LUAD,insufficient_positive
EGFR,59,404,463,LUAD,eligible
KEAP1,83,380,463,LUAD,eligible
KRAS,140,323,463,LUAD,eligible
MET,17,446,463,LUAD,insufficient_positive
MGA,36,427,463,LUAD,eligible
NF1,57,406,463,LUAD,eligible
PIK3CA,26,437,463,LUAD,eligible
RB1,25,438,463,LUAD,eligible
RBM10,33,430,463,LUAD,eligible
RIT1,8,455,463,LUAD,insufficient_positive
SETD2,30,433,463,LUAD,eligible
SMARCA4,36,427,463,LUAD,eligible
STK11,67,396,463,LUAD,eligible
TP53,234,229,463,LUAD,eligible
U2AF1,11,452,463,LUAD,insufficient_positive
ARHGAP35,26,435,461,LUSC,eligible
ARID1A,31,430,461,LUSC,eligible
CDKN2A,68,393,461,LUSC,eligible
