"outcome_type","family","subfamily","tumor_type","endpoint","source","foundation_model","n","positive","negative","primary_effect","primary_operating_metric","alternative_partitions","repeat_effect_median","repeat_effect_q25","repeat_effect_q75","crossing_proportion","grouped_effect","matched_random_effect","grouped_minus_matched_effect","primary_best_foundation_model","primary_winner_repeat_proportion","modal_repeat_winner","modal_repeat_winner_proportion","sample_size_stratum","representation"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","RXRA","TCGA_MC3_Bailey2018","GigaSSL",384,21,363,0.561196379378198,0.561196379378198,5,0.551488915125279,0.50242686606323,0.590581136035682,0.2,,,,"GigaSSL",1,"GigaSSL",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","SF3B1","TCGA_MC3_Bailey2018","GigaSSL",384,22,362,0.531140130587644,0.531140130587644,5,0.567930688096434,0.541813159216474,0.595052737317931,0.2,,,,"ProvGigaPath",0.6,"ProvGigaPath",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","SPTAN1","TCGA_MC3_Bailey2018","GigaSSL",384,45,339,0.535299901671583,0.535299901671583,5,0.562700753851196,0.535889872173058,0.57037037037037,0,,,,"ProvGigaPath",0.6,"ProvGigaPath",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","STAG2","TCGA_MC3_Bailey2018","GigaSSL",384,53,331,0.636721199338768,0.636721199338768,5,0.64213646468677,0.62668870774668,0.64321951775637,1,0.679302285812005,0.583480590548937,0.0958216952630679,"ProvGigaPath",0.2,"GigaSSL",0.8,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","TP53","TCGA_MC3_Bailey2018","GigaSSL",384,185,199,0.622436506858617,0.622436506858617,5,0.63479559961972,0.624419394268641,0.641423332880619,1,0.587966861333696,0.608230340893658,-0.020263479559962,"TITAN",0.8,"TITAN",0.8,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","BLCA","ZFP36L1","TCGA_MC3_Bailey2018","GigaSSL",384,25,359,0.580724233983287,0.580724233983287,5,0.579387186629527,0.57025069637883,0.587186629526462,0,,,,"GigaSSL",1,"GigaSSL",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","CESC","EP300","TCGA_MC3_Bailey2018","GigaSSL",251,30,221,0.624132730015083,0.624132730015083,5,0.592458521870287,0.561538461538462,0.644947209653092,0.4,0.585067873303168,0.518401206636501,0.0666666666666667,"TITAN",1,"TITAN",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","CESC","KMT2C","TCGA_MC3_Bailey2018","GigaSSL",251,47,204,0.447017104714226,0.447017104714226,5,0.529203170629954,0.51063829787234,0.55110554860242,0,,,,"TITAN",1,"TITAN",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","CESC","KMT2D","TCGA_MC3_Bailey2018","GigaSSL",251,38,213,0.333086236718557,0.333086236718557,5,0.41611069928342,0.387818136891525,0.41882876204596,0,0.374722016308377,0.380899431677786,-0.00617741536940941,"TITAN",1,"TITAN",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","CESC","PIK3CA","TCGA_MC3_Bailey2018","GigaSSL",251,70,181,0.580426203630624,0.580426203630624,5,0.601183898973954,0.594001578531965,0.604183109707972,0.6,,,,"GigaSSL",0.6,"GigaSSL",0.6,"larger-sample","Giga-SSL"
