foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,q2,rmse,spearman,balanced_accuracy,auc,pr_auc,sensitivity,specificity,ppv,npv,prevalence,no_skill_pr_auc,operating_threshold_median,selected_components_median,selected_components_min,selected_components_max,selected_components_at_ceiling,selected_components_outer_fits,selected_components_ceiling_fraction,numerical_failure_or_fallback,seed,common_cohort,fastPLS_version,fastPLS_remote_sha
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Indel Neoantigens,Thorsson2018_PanImmune_MS,213,,,-0.00581713572756026,1.72109928404672,0.189905506357144,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262971,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Intratumor Heterogeneity,Thorsson2018_PanImmune_MS,258,,,-0.0397647160394601,0.134273899874759,0.161055288553354,,,,,,,,,,,1,1,3,0,5,0,FALSE,20262972,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Intratumor Heterogeneity,Thorsson2018_PanImmune_MS,258,,,-0.0237165193335371,0.133233648429732,0.193164434671962,,,,,,,,,,,1,1,4,0,5,0,FALSE,20262972,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Intratumor Heterogeneity,Thorsson2018_PanImmune_MS,258,,,-0.0419083101998756,0.134412239129766,0.230987484672302,,,,,,,,,,,1,1,5,0,5,0,FALSE,20262972,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Leukocyte Fraction,Thorsson2018_PanImmune_MS,267,,,0.149391594087054,0.136592067427699,0.444687099267538,,,,,,,,,,,2,2,3,0,5,0,FALSE,20262973,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Leukocyte Fraction,Thorsson2018_PanImmune_MS,267,,,0.245015771555028,0.128685490733815,0.550707432676946,,,,,,,,,,,4,3,4,0,5,0,FALSE,20262973,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Leukocyte Fraction,Thorsson2018_PanImmune_MS,267,,,0.154628378327947,0.13617095265437,0.50093244178701,,,,,,,,,,,4,3,7,0,5,0,FALSE,20262973,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Lymphocyte Infiltration Signature Score,Thorsson2018_PanImmune_MS,262,,,-0.0546542387419871,1.0338760865406,0.276347487882042,,,,,,,,,,,2,2,4,0,5,0,FALSE,20262974,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Lymphocyte Infiltration Signature Score,Thorsson2018_PanImmune_MS,262,,,0.0930175288150786,0.958766576891643,0.430268988804004,,,,,,,,,,,4,3,5,0,5,0,FALSE,20262974,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Lymphocyte Infiltration Signature Score,Thorsson2018_PanImmune_MS,262,,,0.23467689309024,0.880715930468984,0.508890839461122,,,,,,,,,,,4,3,4,0,5,0,FALSE,20262974,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophage Regulation,Thorsson2018_PanImmune_MS,262,,,0.023366467221568,0.646341887445703,0.334390690629596,,,,,,,,,,,2,1,4,0,5,0,FALSE,20262975,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophage Regulation,Thorsson2018_PanImmune_MS,262,,,0.060434916041884,0.633957174122772,0.441292315699245,,,,,,,,,,,4,3,5,0,5,0,FALSE,20262975,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophage Regulation,Thorsson2018_PanImmune_MS,262,,,0.331296728450109,0.534826860027527,0.595552827274247,,,,,,,,,,,4,3,5,0,5,0,FALSE,20262975,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M0,Thorsson2018_PanImmune_MS,262,,,-0.00890658093665442,0.0937108325021826,0.136683849694755,,,,,,,,,,,2,1,2,0,5,0,FALSE,20262976,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M0,Thorsson2018_PanImmune_MS,262,,,-0.158076211015241,0.100399809522161,0.171592588456107,,,,,,,,,,,2,1,4,0,5,0,FALSE,20262976,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M0,Thorsson2018_PanImmune_MS,262,,,0.127371752906881,0.0871523199185194,0.372787688218804,,,,,,,,,,,3,2,3,0,5,0,FALSE,20262976,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M1,Thorsson2018_PanImmune_MS,262,,,0.0675996021448071,0.0557715719449241,0.250060069211157,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262977,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M1,Thorsson2018_PanImmune_MS,262,,,0.0444379172148745,0.0564600312963393,0.230555726275223,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262977,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M1,Thorsson2018_PanImmune_MS,262,,,0.121923873180953,0.0541224870509076,0.361742576392743,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262977,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M2,Thorsson2018_PanImmune_MS,262,,,-0.054451724505201,0.0857592145661341,0.11430466397579,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262978,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M2,Thorsson2018_PanImmune_MS,262,,,-0.00714289755432884,0.0838133097969732,0.136132171419299,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262978,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Macrophages M2,Thorsson2018_PanImmune_MS,262,,,0.031428720715027,0.0821926982004815,0.207331962038569,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262978,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Mast Cells Activated,Thorsson2018_PanImmune_MS,262,,,0.0744064325553659,0.0538890246656815,0.284402428493439,,,,,,,,,,,2,1,2,0,5,0,FALSE,20262979,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Mast Cells Activated,Thorsson2018_PanImmune_MS,262,,,0.0477754035540856,0.0546587703466338,0.218117925376984,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262979,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Mast Cells Activated,Thorsson2018_PanImmune_MS,262,,,0.116895566994098,0.0526376136285601,0.303139333177486,,,,,,,,,,,2,1,3,0,5,0,FALSE,20262979,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Mast Cells Resting,Thorsson2018_PanImmune_MS,262,,,-0.0464951452205504,0.035490624049315,0.131257367190142,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262980,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Mast Cells Resting,Thorsson2018_PanImmune_MS,262,,,-0.088787175981788,0.0362006630686757,0.0958582527412747,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262980,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Mast Cells Resting,Thorsson2018_PanImmune_MS,262,,,-0.0322060028836007,0.0352474917100213,0.148358730007394,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262980,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Monocytes,Thorsson2018_PanImmune_MS,262,,,-0.0145141640189952,0.0198483789601374,0.0860815092817957,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262981,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Monocytes,Thorsson2018_PanImmune_MS,262,,,-0.0761751798107673,0.0204426631090765,0.0277990870619954,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262981,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Monocytes,Thorsson2018_PanImmune_MS,262,,,0.0276215298201442,0.0194318277923082,0.167228856985382,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262981,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,NK Cells Activated,Thorsson2018_PanImmune_MS,262,,,-0.023686405775067,0.0462776593928743,0.0941184277132145,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262982,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,NK Cells Activated,Thorsson2018_PanImmune_MS,262,,,-0.0414453241168558,0.0466773459711463,0.118555164006885,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262982,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,NK Cells Activated,Thorsson2018_PanImmune_MS,262,,,-0.0220544432892817,0.0462407567205657,0.14211014518317,,,,,,,,,,,2,1,2,0,5,0,FALSE,20262982,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,NK Cells Resting,Thorsson2018_PanImmune_MS,262,,,-0.0602949793734438,0.0263910480354784,0.101287021112366,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262983,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,NK Cells Resting,Thorsson2018_PanImmune_MS,262,,,-0.0970483638344297,0.0268445526889907,0.0268638779397981,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262983,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,NK Cells Resting,Thorsson2018_PanImmune_MS,262,,,-0.0704283686937408,0.0265168596427755,0.0428533906451116,,,,,,,,,,,2,1,3,0,5,0,FALSE,20262983,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Neutrophils,Thorsson2018_PanImmune_MS,262,,,-0.0195607460138341,0.0163599253099381,0.192304331496009,,,,,,,,,,,2,1,3,0,5,0,FALSE,20262984,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Neutrophils,Thorsson2018_PanImmune_MS,262,,,-0.0715298105588946,0.01677169254182,0.227709710739677,,,,,,,,,,,2,1,3,0,5,0,FALSE,20262984,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Neutrophils,Thorsson2018_PanImmune_MS,262,,,0.0525273670454064,0.0157709589264904,0.250638366835334,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262984,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Nonsilent Mutation Rate,Thorsson2018_PanImmune_MS,131,,,-0.125575750158301,0.866501366384437,-0.128324888648579,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262985,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Nonsilent Mutation Rate,Thorsson2018_PanImmune_MS,131,,,-0.0767055953053488,0.84748178550663,0.0667516965365062,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262985,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Nonsilent Mutation Rate,Thorsson2018_PanImmune_MS,131,,,-0.144096098596992,0.873601035726534,0.0518304462944697,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262985,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Number of Segments,Thorsson2018_PanImmune_MS,258,,,-0.00318757891178789,0.480604682208867,0.171662759178035,,,,,,,,,,,1,1,3,0,5,0,FALSE,20262986,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Number of Segments,Thorsson2018_PanImmune_MS,258,,,-0.0890322776723964,0.50074578274148,0.148136644065449,,,,,,,,,,,1,1,5,0,5,0,FALSE,20262986,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Number of Segments,Thorsson2018_PanImmune_MS,258,,,-0.0459528949916739,0.490741727705985,0.139182583619749,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262986,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Plasma Cells,Thorsson2018_PanImmune_MS,262,,,0.00878098387329684,0.0661451584265089,0.136845870864447,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262987,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Plasma Cells,Thorsson2018_PanImmune_MS,262,,,-0.0147501048712091,0.0669256812755386,0.0866932413477676,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262987,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Plasma Cells,Thorsson2018_PanImmune_MS,262,,,0.0417616330068272,0.0650354315192944,0.178293508802896,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262987,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Proliferation,Thorsson2018_PanImmune_MS,262,,,0.0358805076292988,0.244330130727977,0.255468597133657,,,,,,,,,,,1,1,3,0,5,0,FALSE,20262988,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Proliferation,Thorsson2018_PanImmune_MS,262,,,-0.0432158871529846,0.254155019774411,0.123391548602233,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262988,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Proliferation,Thorsson2018_PanImmune_MS,262,,,0.0909574602114747,0.237248622304405,0.328626769215258,,,,,,,,,,,2,1,2,0,5,0,FALSE,20262988,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,SNV Neoantigens,Thorsson2018_PanImmune_MS,245,,,-0.0374223858366893,0.972546764985594,0.0729420147892296,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262989,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,SNV Neoantigens,Thorsson2018_PanImmune_MS,245,,,-0.0104886718068271,0.959839040863177,0.148758879195465,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262989,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,SNV Neoantigens,Thorsson2018_PanImmune_MS,245,,,0.0059737454456823,0.951988306052998,0.227340822523606,,,,,,,,,,,2,1,3,0,5,0,FALSE,20262989,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Silent Mutation Rate,Thorsson2018_PanImmune_MS,131,,,-0.105069733703781,0.608355870978963,-0.0906572112879773,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262990,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Silent Mutation Rate,Thorsson2018_PanImmune_MS,131,,,-0.0952527396872604,0.605647648719966,-0.00493279921192794,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262990,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Silent Mutation Rate,Thorsson2018_PanImmune_MS,131,,,-0.153684369925148,0.621593358942629,0.0558979358449658,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262990,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
