family,subfamily,endpoint,tumor_type,source,n,positive,negative,prevalence
driver_mutation,Bailey_tissue_specific_driver,ERBB4,STAD,TCGA_MC3_Bailey2018,371,46,325,0.123989218328841
driver_mutation,Bailey_tissue_specific_driver,FBXW7,STAD,TCGA_MC3_Bailey2018,371,29,342,0.078167115902965
driver_mutation,Bailey_tissue_specific_driver,KRAS,STAD,TCGA_MC3_Bailey2018,371,30,341,0.0808625336927224
driver_mutation,Bailey_tissue_specific_driver,MUC6,STAD,TCGA_MC3_Bailey2018,371,39,332,0.105121293800539
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,STAD,TCGA_MC3_Bailey2018,371,58,313,0.15633423180593
driver_mutation,Bailey_tissue_specific_driver,PTEN,STAD,TCGA_MC3_Bailey2018,371,24,347,0.0646900269541779
driver_mutation,Bailey_tissue_specific_driver,RASA1,STAD,TCGA_MC3_Bailey2018,371,21,350,0.0566037735849057
driver_mutation,Bailey_tissue_specific_driver,RHOA,STAD,TCGA_MC3_Bailey2018,371,20,351,0.0539083557951483
driver_mutation,Bailey_tissue_specific_driver,RNF43,STAD,TCGA_MC3_Bailey2018,371,30,341,0.0808625336927224
driver_mutation,Bailey_tissue_specific_driver,SMAD4,STAD,TCGA_MC3_Bailey2018,371,26,345,0.0700808625336927
driver_mutation,Bailey_tissue_specific_driver,TP53,STAD,TCGA_MC3_Bailey2018,371,179,192,0.482479784366577
driver_mutation,Bailey_tissue_specific_driver,KIT,TGCT,TCGA_MC3_Bailey2018,128,20,108,0.15625
driver_mutation,Bailey_tissue_specific_driver,BRAF,THCA,TCGA_MC3_Bailey2018,490,289,201,0.589795918367347
driver_mutation,Bailey_tissue_specific_driver,NRAS,THCA,TCGA_MC3_Bailey2018,490,39,451,0.0795918367346939
driver_mutation,Bailey_tissue_specific_driver,GTF2I,THYM,TCGA_MC3_Bailey2018,120,59,61,0.491666666666667
driver_mutation,Bailey_tissue_specific_driver,ACVR1,UCEC,TCGA_MC3_Bailey2018,487,26,461,0.053388090349076
driver_mutation,Bailey_tissue_specific_driver,ARHGAP35,UCEC,TCGA_MC3_Bailey2018,487,82,405,0.168377823408624
