outer_fold,outer_test_positive,outer_test_negative,selected_component,inner_auroc,inner_balanced_accuracy_at_selected_threshold,selected_threshold,empirical_prior_threshold,equal_prior_threshold,inner_folds,component_at_ceiling,foundation_model,family,tumor_type,endpoint
3,35,52,8,0.6538870044883,0.632798848802549,-0.240658237013832,0,-0.383958902887201,5,FALSE,GigaSSL,aneuploidy,HNSC,Genome doubling
4,35,52,6,0.665878644602049,0.652430876760201,0.115095001768545,0,-0.383958902887201,5,FALSE,GigaSSL,aneuploidy,HNSC,Genome doubling
5,35,51,5,0.693364702673213,0.665541462084015,-0.0928700789318309,0,-0.38877818932315,5,FALSE,GigaSSL,aneuploidy,HNSC,Genome doubling
1,36,52,6,0.636507936507937,0.62336093857833,-0.822666741393747,0,-0.391076370656065,5,FALSE,ProvGigaPath,aneuploidy,HNSC,Genome doubling
2,35,52,5,0.631890910336794,0.604738410936376,0.03355642821476,0,-0.383958902887201,5,FALSE,ProvGigaPath,aneuploidy,HNSC,Genome doubling
3,35,52,5,0.665261931681913,0.635779627916538,-1.18139475548161,0,-0.383958902887201,5,FALSE,ProvGigaPath,aneuploidy,HNSC,Genome doubling
4,35,52,4,0.600746907869942,0.581508890944599,-1.1491472757559,0,-0.383958902887201,5,FALSE,ProvGigaPath,aneuploidy,HNSC,Genome doubling
5,35,51,6,0.701343426077469,0.659165302782324,0.439264692811235,0,-0.38877818932315,5,FALSE,ProvGigaPath,aneuploidy,HNSC,Genome doubling
1,18,75,2,0.718120168824394,0.700004742258263,-1.91497707033193,0,-1.43105226176138,5,FALSE,TITAN,aneuploidy,KIRC,Genome doubling
2,18,75,11,0.68260065443164,0.655142979086641,-3.59716962656408,0,-1.43105226176138,5,FALSE,TITAN,aneuploidy,KIRC,Genome doubling
3,18,74,6,0.664618583987144,0.63803289535873,-2.0885133154374,0,-1.43441360946409,5,FALSE,TITAN,aneuploidy,KIRC,Genome doubling
4,18,74,11,0.636402306456187,0.648100009452689,-3.18983863882253,0,-1.43441360946409,5,FALSE,TITAN,aneuploidy,KIRC,Genome doubling
5,17,74,1,0.651799030574198,0.655201342281879,-1.77760933462225,0,-1.42042736748935,5,FALSE,TITAN,aneuploidy,KIRC,Genome doubling
1,18,75,1,0.729975814482857,0.725423246550007,-1.86189728818173,0,-1.43105226176138,5,FALSE,GigaSSL,aneuploidy,KIRC,Genome doubling
2,18,75,5,0.695736709821217,0.661118224498506,-2.380517835487,0,-1.43105226176138,5,FALSE,GigaSSL,aneuploidy,KIRC,Genome doubling
3,18,74,5,0.722988940353531,0.670928254088288,-1.7914009178845,0,-1.43441360946409,5,FALSE,GigaSSL,aneuploidy,KIRC,Genome doubling
4,18,74,1,0.640939597315436,0.657789015975045,-1.72284655725648,0,-1.43441360946409,5,FALSE,GigaSSL,aneuploidy,KIRC,Genome doubling
5,17,74,5,0.654036167039523,0.631012304250559,-2.30954631477535,0,-1.42042736748935,5,FALSE,GigaSSL,aneuploidy,KIRC,Genome doubling
1,18,75,13,0.698771755109783,0.670128515198938,-4.24283241081455,0,-1.43105226176138,5,FALSE,ProvGigaPath,aneuploidy,KIRC,Genome doubling
