family,tumor_type,endpoint,n,positive,mean_pool_balanced_accuracy,median_pool_balanced_accuracy,delta_median_minus_mean,seed
driver_mutation,KIRC,SETD2,353,47,0.630197469058546,0.630197469058546,-5.55111512312578e-16,20261132
driver_mutation,BLCA,TP53,384,185,0.629526008420481,0.630096428086378,0.000570419665896882,20261064
driver_mutation,LIHC,TP53,350,107,0.623129879620015,0.623129879620015,-3.33066907387547e-16,20261153
driver_mutation,STAD,PIK3CA,371,58,0.617467224854027,0.617467224854027,-3.33066907387547e-16,20261213
driver_mutation,PAAD,TP53,175,106,0.613617719442166,0.623051681706317,0.00943396226415061,20261190
driver_mutation,UCEC,CTNNB1,487,97,0.609925984668253,0.616336241078509,0.00641025641025617,20261236
driver_mutation,LIHC,BAP1,350,20,0.609848484848485,0.609848484848485,-1.11022302462516e-16,20261151
driver_mutation,UCEC,ATM,487,74,0.604868791309469,0.604868791309469,2.22044604925031e-16,20261229
driver_mutation,STAD,ARID1A,371,91,0.60260989010989,0.60260989010989,1.11022302462516e-16,20261203
driver_mutation,BRCA,FOXA1,981,28,0.602420926397841,0.601896267426173,-0.00052465897166798,20261073
driver_mutation,KIRC,VHL,353,161,0.600219979296066,0.600219979296066,3.33066907387547e-16,20261133
fusion,UCEC,Any called fusion,153,80,0.783561643835617,0.778510273972603,-0.00505136986301435,20261007
fusion,LGG,Any called fusion,487,236,0.713358430684044,0.703018434735634,-0.0103399959484103,20261026
fusion,THCA,Fusion pair: CCDC6--RET,502,21,0.657311157311157,0.657311157311157,3.33066907387547e-16,20261030
fusion,THCA,Any called fusion,502,138,0.631350533524447,0.63871635610766,0.00736582258321339,20261022
fusion,SARC,Any called fusion,252,216,0.62962962962963,0.675925925925926,0.0462962962962959,20261015
fusion,PRAD,Fusion pair: TMPRSS2--ERG,400,159,0.618922727628592,0.6158433153266,-0.00307941230199171,20261029
microsatellite_instability,COAD,MSI-H (MANTIS >0.4),391,74,0.731967772188592,0.733545059254839,0.00157728706624649,20261032
microsatellite_instability,STAD,MSI-H (MANTIS >0.4),371,63,0.719877344877345,0.719877344877345,-2.22044604925031e-16,20261033
microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),487,155,0.648561989895064,0.629848425961912,-0.0187135639331518,20261031
microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),374,57,0.783358237865958,0.79213016769052,0.00877192982456165,20261035
microsatellite_instability_sensitivity,STAD,MSI-H strict (MANTIS >0.6),364,56,0.730519480519481,0.730519480519481,-4.44089209850063e-16,20261036
microsatellite_instability_sensitivity,UCEC,MSI-H strict (MANTIS >0.6),438,106,0.687542623323483,0.676602636962946,-0.0109399863605369,20261034
oncogenic_pathway,LGG,HIPPO,481,379,0.826555952196182,0.802990325417766,-0.023565626778416,20260872
oncogenic_pathway,LGG,TP53,481,248,0.813616225944898,0.815762148691679,0.00214592274678127,20260969
oncogenic_pathway,UCEC,TP53,468,218,0.759449541284404,0.759449541284404,-3.33066907387547e-16,20260959
