Variant_Classification,N,tumor_type,retained_as_protein_altering
Frame_Shift_Del,60,PCPG,TRUE
Nonsense_Mutation,70,PCPG,TRUE
Frame_Shift_Ins,14,PCPG,TRUE
Splice_Site,48,PCPG,TRUE
In_Frame_Ins,3,PCPG,TRUE
In_Frame_Del,14,PCPG,TRUE
Translation_Start_Site,4,PCPG,TRUE
Nonstop_Mutation,3,PCPG,TRUE
Missense_Mutation,18020,PRAD,TRUE
Translation_Start_Site,25,PRAD,TRUE
Splice_Site,416,PRAD,TRUE
Nonsense_Mutation,1135,PRAD,TRUE
Frame_Shift_Del,768,PRAD,TRUE
In_Frame_Del,142,PRAD,TRUE
Frame_Shift_Ins,291,PRAD,TRUE
Nonstop_Mutation,13,PRAD,TRUE
In_Frame_Ins,11,PRAD,TRUE
Missense_Mutation,20855,READ,TRUE
Nonsense_Mutation,2173,READ,TRUE
In_Frame_Del,68,READ,TRUE
Splice_Site,402,READ,TRUE
Frame_Shift_Del,439,READ,TRUE
Frame_Shift_Ins,209,READ,TRUE
In_Frame_Ins,9,READ,TRUE
Nonstop_Mutation,25,READ,TRUE
Translation_Start_Site,9,READ,TRUE
Missense_Mutation,12150,SARC,TRUE
Nonsense_Mutation,730,SARC,TRUE
Frame_Shift_Del,448,SARC,TRUE
Splice_Site,322,SARC,TRUE
Frame_Shift_Ins,104,SARC,TRUE
In_Frame_Del,73,SARC,TRUE
Nonstop_Mutation,14,SARC,TRUE
In_Frame_Ins,6,SARC,TRUE
Translation_Start_Site,21,SARC,TRUE
Missense_Mutation,35331,SKCM,TRUE
Nonsense_Mutation,2141,SKCM,TRUE
Splice_Site,575,SKCM,TRUE
In_Frame_Del,34,SKCM,TRUE
Frame_Shift_Ins,71,SKCM,TRUE
Frame_Shift_Del,175,SKCM,TRUE
In_Frame_Ins,6,SKCM,TRUE
Translation_Start_Site,61,SKCM,TRUE
Nonstop_Mutation,8,SKCM,TRUE
Missense_Mutation,115336,STAD,TRUE
Frame_Shift_Del,16587,STAD,TRUE
In_Frame_Del,1511,STAD,TRUE
Splice_Site,2710,STAD,TRUE
Nonsense_Mutation,6222,STAD,TRUE
Translation_Start_Site,119,STAD,TRUE
Frame_Shift_Ins,4013,STAD,TRUE
In_Frame_Ins,114,STAD,TRUE
Nonstop_Mutation,123,STAD,TRUE
Missense_Mutation,1636,TGCT,TRUE
In_Frame_Del,50,TGCT,TRUE
Splice_Site,56,TGCT,TRUE
Frame_Shift_Del,97,TGCT,TRUE
Nonsense_Mutation,109,TGCT,TRUE
In_Frame_Ins,7,TGCT,TRUE
Frame_Shift_Ins,13,TGCT,TRUE
Nonstop_Mutation,9,TGCT,TRUE
Translation_Start_Site,4,TGCT,TRUE
Missense_Mutation,4669,THCA,TRUE
Frame_Shift_Del,173,THCA,TRUE
Splice_Site,120,THCA,TRUE
Nonsense_Mutation,278,THCA,TRUE
Frame_Shift_Ins,51,THCA,TRUE
In_Frame_Del,32,THCA,TRUE
Nonstop_Mutation,9,THCA,TRUE
Translation_Start_Site,5,THCA,TRUE
In_Frame_Ins,4,THCA,TRUE
Missense_Mutation,1971,THYM,TRUE
Frame_Shift_Del,196,THYM,TRUE
Nonsense_Mutation,116,THYM,TRUE
In_Frame_Ins,4,THYM,TRUE
Frame_Shift_Ins,44,THYM,TRUE
In_Frame_Del,13,THYM,TRUE
Splice_Site,43,THYM,TRUE
Nonstop_Mutation,4,THYM,TRUE
Translation_Start_Site,2,THYM,TRUE
Frame_Shift_Ins,6225,UCEC,TRUE
Missense_Mutation,387887,UCEC,TRUE
In_Frame_Del,1321,UCEC,TRUE
Nonsense_Mutation,36485,UCEC,TRUE
Splice_Site,9641,UCEC,TRUE
Frame_Shift_Del,14898,UCEC,TRUE
Translation_Start_Site,369,UCEC,TRUE
