gene,cancer
MAP3K1,BRCA
MAP3K4,UCS
MAPK1,HNSC
MAPK1,CESC
MAX,UCEC
MAX,LGG
MECOM,SKCM
MED12,PRAD
MEN1,ACC
MET,LUAD
MET,KIRP
MGA,LUAD
MSH6,UCEC
MTOR,KIRC
MUC6,STAD
MYCN,UCEC
MYD88,DLBC
MYH9,HNSC
NCOR1,BRCA
NF1,LUSC
NF1,BRCA
NF1,PCPG
NF1,SKCM
NF1,LUAD
NF1,GBM
NF1,OV
NF1,LGG
NF2,KIRP
NF2,MESO
NFE2L2,BLCA
NFE2L2,UCEC
NFE2L2,HNSC
NFE2L2,CESC
NFE2L2,LIHC
NFE2L2,ESCA
NFE2L2,LUSC
NIPBL,LGG
NOTCH1,ESCA
NOTCH1,CESC
NOTCH1,LUSC
NOTCH1,LGG
NOTCH1,HNSC
NPM1,LAML
NRAS,LIHC
NRAS,BLCA
NRAS,UCEC
NRAS,LGG
NRAS,OV
NRAS,THYM
NRAS,TGCT
NRAS,SKCM
NRAS,THCA
NSD1,ESCA
NSD1,HNSC
NUP133,LIHC
NUP93,THCA
PBRM1,UCEC
PBRM1,CHOL
PBRM1,KIRC
PDGFRA,GBM
PDS5B,UCEC
PHF6,LAML
PIK3CA,KIRC
PIK3CA,KIRP
PIK3CA,TGCT
PIK3CA,GBM
PIK3CA,LIHC
PIK3CA,PRAD
PIK3CA,ESCA
PIK3CA,BLCA
PIK3CA,LGG
PIK3CA,LUAD
PIK3CA,UCEC
PIK3CA,UCS
PIK3CA,STAD
PIK3CA,HNSC
PIK3CA,LUSC
PIK3CA,CESC
PIK3CA,BRCA
PIK3R1,BRCA
PIK3R1,LGG
PIK3R1,UCS
PIK3R1,UCEC
PIK3R1,GBM
PIK3R2,UCEC
PIM1,DLBC
PLCB4,UVM
PLCG1,LGG
POLRMT,CESC
PPM1D,THCA
PPP2R1A,UCEC
PPP2R1A,UCS
PPP6C,SKCM
PRKAR1A,ACC
PSIP1,BLCA
PTCH1,ESCA
PTEN,BLCA
PTEN,STAD
PTEN,KICH
PTEN,CESC
