family,tumor_type,endpoint,repeat,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,observed_tcga_prevalence
driver_mutation,LGG,PTEN,1,0.391304347826087,0.96969696969697,0.680500658761528,0.747412008281574,0.209156567289858,0.391304347826087,0.96969696969697,0.0474226804123711
driver_mutation,LGG,PTEN,2,0.304347826086957,0.963203463203463,0.63377564464521,0.78806700545831,0.177032394799825,0.291666666666667,0.96529284164859,0.0474226804123711
driver_mutation,LGG,PTEN,3,0.260869565217391,0.965367965367965,0.613118765292678,0.719932241671372,0.162216587938317,0.272727272727273,0.963282937365011,0.0474226804123711
driver_mutation,LGG,PTEN,4,0.304347826086957,0.961038961038961,0.632693393562959,0.780161867118389,0.211468992472679,0.28,0.965217391304348,0.0474226804123711
driver_mutation,LGG,PTEN,5,0.260869565217391,0.976190476190476,0.618530020703934,0.769715791454922,0.218417982515796,0.352941176470588,0.963675213675214,0.0474226804123711
driver_mutation,LGG,TP53,1,0.849137931034483,0.885375494071146,0.867256712552815,0.908528690200354,0.880744720052218,0.871681415929204,0.864864864864865,0.478350515463918
driver_mutation,LGG,TP53,2,0.853448275862069,0.893280632411067,0.873364454136568,0.911663486438599,0.872983357247158,0.88,0.869230769230769,0.478350515463918
driver_mutation,LGG,TP53,3,0.823275862068966,0.889328063241107,0.856301962655036,0.90578574349189,0.889135405227565,0.872146118721461,0.845864661654135,0.478350515463918
driver_mutation,LGG,TP53,4,0.836206896551724,0.881422924901186,0.858814910726455,0.899362818590705,0.86503804562556,0.866071428571429,0.854406130268199,0.478350515463918
driver_mutation,LGG,TP53,5,0.831896551724138,0.873517786561265,0.852707169142701,0.913707918767889,0.891980119016462,0.857777777777778,0.85,0.478350515463918
driver_mutation,LIHC,BAP1,1,0.2,0.978787878787879,0.589393939393939,0.823333333333333,0.229020026299103,0.363636363636364,0.952802359882006,0.0571428571428571
driver_mutation,LIHC,BAP1,2,0.25,0.978787878787879,0.614393939393939,0.737727272727273,0.241677023351282,0.416666666666667,0.955621301775148,0.0571428571428571
driver_mutation,LIHC,BAP1,3,0.15,0.957575757575757,0.553787878787879,0.718787878787879,0.169303018511852,0.176470588235294,0.948948948948949,0.0571428571428571
driver_mutation,LIHC,BAP1,4,0.3,0.972727272727273,0.636363636363636,0.836666666666667,0.310530971096435,0.4,0.958208955223881,0.0571428571428571
driver_mutation,LIHC,BAP1,5,0.25,0.972727272727273,0.611363636363636,0.834090909090909,0.321598033167007,0.357142857142857,0.955357142857143,0.0571428571428571
driver_mutation,LIHC,CTNNB1,1,0.483870967741936,0.828793774319066,0.656332371030501,0.728295887201372,0.515228991087091,0.50561797752809,0.816091954022989,0.265714285714286
driver_mutation,LIHC,CTNNB1,2,0.516129032258065,0.828793774319066,0.672461403288565,0.728463244215723,0.495118950883636,0.521739130434783,0.825581395348837,0.265714285714286
driver_mutation,LIHC,CTNNB1,3,0.548387096774194,0.817120622568093,0.682753859671144,0.735575917325635,0.542623395182125,0.520408163265306,0.833333333333333,0.265714285714286
driver_mutation,LIHC,CTNNB1,4,0.494623655913979,0.844357976653697,0.669490816283838,0.736245345383038,0.478016395928514,0.534883720930233,0.821969696969697,0.265714285714286
driver_mutation,LIHC,CTNNB1,5,0.516129032258065,0.809338521400778,0.662733776829421,0.704321994895611,0.448713227401057,0.494845360824742,0.822134387351779,0.265714285714286
driver_mutation,LIHC,TP53,1,0.401869158878505,0.851851851851852,0.626860505365178,0.700665359024653,0.50412448950268,0.544303797468355,0.763837638376384,0.305714285714286
driver_mutation,LIHC,TP53,2,0.355140186915888,0.901234567901234,0.628187377408561,0.711318795430945,0.559903779144431,0.612903225806452,0.760416666666667,0.305714285714286
driver_mutation,LIHC,TP53,3,0.355140186915888,0.868312757201646,0.611726472058767,0.673935617860852,0.466578029249574,0.542857142857143,0.753571428571429,0.305714285714286
driver_mutation,LIHC,TP53,4,0.345794392523364,0.905349794238683,0.625572093381024,0.70608822737587,0.526271406991244,0.616666666666667,0.758620689655172,0.305714285714286
driver_mutation,LIHC,TP53,5,0.327102803738318,0.860082304526749,0.593592554132533,0.655320949194262,0.479159261019327,0.507246376811594,0.743772241992883,0.305714285714286
driver_mutation,LUAD,EGFR,1,0.322033898305085,0.948019801980198,0.635026850142641,0.725960731666387,0.394070938539082,0.475,0.905437352245863,0.127429805615551
driver_mutation,LUAD,EGFR,2,0.288135593220339,0.948019801980198,0.618077697600269,0.718660849135761,0.366361604561907,0.447368421052632,0.901176470588235,0.127429805615551
driver_mutation,LUAD,EGFR,3,0.271186440677966,0.95049504950495,0.610840745091458,0.701418023158248,0.298300172581735,0.444444444444444,0.899297423887588,0.127429805615551
driver_mutation,LUAD,EGFR,4,0.254237288135593,0.96039603960396,0.607316663869777,0.728561839234771,0.344495432407142,0.483870967741936,0.898148148148148,0.127429805615551
driver_mutation,LUAD,EGFR,5,0.305084745762712,0.933168316831683,0.619126531297198,0.677043128041618,0.347541282739116,0.4,0.901913875598086,0.127429805615551
driver_mutation,LUAD,TP53,1,0.735042735042735,0.681222707423581,0.708132721233158,0.773634904639271,0.724212185988743,0.702040816326531,0.715596330275229,0.505399568034557
driver_mutation,LUAD,TP53,2,0.730769230769231,0.685589519650655,0.708179375209943,0.766748777665808,0.732648863811489,0.703703703703704,0.713636363636364,0.505399568034557
driver_mutation,LUAD,TP53,3,0.790598290598291,0.681222707423581,0.735910499010936,0.775370432575673,0.733188747607012,0.717054263565892,0.760975609756098,0.505399568034557
driver_mutation,LUAD,TP53,4,0.769230769230769,0.65938864628821,0.714309707759489,0.767999104243646,0.72979641121345,0.697674418604651,0.736585365853659,0.505399568034557
driver_mutation,LUAD,TP53,5,0.760683760683761,0.724890829694323,0.742787295189042,0.789795842197589,0.762348782025471,0.738589211618257,0.747747747747748,0.505399568034557
driver_mutation,OV,TP53,1,0.409090909090909,0.78,0.594545454545455,0.643636363636364,0.457252039966028,0.45,0.75,0.305555555555556
driver_mutation,OV,TP53,2,0.5,0.9,0.7,0.706363636363636,0.64259172000966,0.6875,0.803571428571429,0.305555555555556
driver_mutation,OV,TP53,3,0.5,0.9,0.7,0.736363636363636,0.662615773523902,0.6875,0.803571428571429,0.305555555555556
driver_mutation,OV,TP53,4,0.545454545454545,0.88,0.712727272727273,0.729090909090909,0.63654044229332,0.666666666666667,0.814814814814815,0.305555555555556
driver_mutation,OV,TP53,5,0.5,0.84,0.67,0.684545454545455,0.561701903698771,0.578947368421053,0.792452830188679,0.305555555555556
driver_mutation,PAAD,TP53,1,0.783018867924528,0.434782608695652,0.60890073831009,0.63084495488105,0.708856766855009,0.680327868852459,0.566037735849057,0.605714285714286
driver_mutation,PAAD,TP53,2,0.745283018867925,0.391304347826087,0.568293683347006,0.655728739403883,0.743708358314109,0.652892561983471,0.5,0.605714285714286
driver_mutation,PAAD,TP53,3,0.735849056603774,0.420289855072464,0.578069455838119,0.624829094886519,0.720212844210785,0.661016949152542,0.508771929824562,0.605714285714286
driver_mutation,PAAD,TP53,4,0.764150943396226,0.492753623188406,0.628452283292316,0.646978397593656,0.699846998313472,0.698275862068966,0.576271186440678,0.605714285714286
driver_mutation,PAAD,TP53,5,0.792452830188679,0.434782608695652,0.613617719442166,0.709051134809954,0.753866490504278,0.682926829268293,0.576923076923077,0.605714285714286
driver_mutation,READ,APC,1,0.861538461538462,0.785714285714286,0.823626373626374,0.885054945054945,0.845293490113861,0.788732394366197,0.859375,0.481481481481482
driver_mutation,READ,APC,2,0.8,0.785714285714286,0.792857142857143,0.816043956043956,0.818398517055579,0.776119402985075,0.808823529411765,0.481481481481482
driver_mutation,READ,APC,3,0.892307692307692,0.8,0.846153846153846,0.885494505494506,0.862948657007702,0.805555555555556,0.888888888888889,0.481481481481482
driver_mutation,READ,APC,4,0.892307692307692,0.757142857142857,0.824725274725275,0.888571428571429,0.843249509517386,0.773333333333333,0.883333333333333,0.481481481481482
driver_mutation,READ,APC,5,0.923076923076923,0.771428571428571,0.847252747252747,0.894505494505495,0.852900871672926,0.789473684210526,0.915254237288136,0.481481481481482
driver_mutation,READ,TP53,1,0.909090909090909,0.811594202898551,0.86034255599473,0.908212560386474,0.86935442409586,0.821917808219178,0.903225806451613,0.488888888888889
driver_mutation,READ,TP53,2,0.909090909090909,0.797101449275362,0.853096179183136,0.918313570487484,0.905114804246572,0.810810810810811,0.901639344262295,0.488888888888889
driver_mutation,READ,TP53,3,0.863636363636364,0.826086956521739,0.844861660079051,0.909090909090909,0.853323033138422,0.826086956521739,0.863636363636364,0.488888888888889
driver_mutation,READ,TP53,4,0.954545454545455,0.811594202898551,0.883069828722003,0.931927975406236,0.886623359010634,0.828947368421053,0.949152542372881,0.488888888888889
driver_mutation,READ,TP53,5,0.924242424242424,0.768115942028986,0.846179183135705,0.890865173473869,0.836085599719016,0.792207792207792,0.913793103448276,0.488888888888889
driver_mutation,SARC,TP53,1,0.382716049382716,0.743243243243243,0.56297964631298,0.602602602602603,0.42412018351325,0.449275362318841,0.6875,0.353711790393013
driver_mutation,SARC,TP53,2,0.382716049382716,0.736486486486487,0.559601267934601,0.598932265598932,0.407823862561537,0.442857142857143,0.685534591194969,0.353711790393013
driver_mutation,SARC,TP53,3,0.407407407407407,0.763513513513514,0.58546046046046,0.647897897897898,0.474829596225205,0.485294117647059,0.701863354037267,0.353711790393013
driver_mutation,SARC,TP53,4,0.444444444444444,0.763513513513514,0.603978978978979,0.61327994661328,0.452069541503921,0.507042253521127,0.715189873417722,0.353711790393013
driver_mutation,SARC,TP53,5,0.407407407407407,0.736486486486487,0.571946946946947,0.596096096096096,0.461575382189788,0.458333333333333,0.694267515923567,0.353711790393013
driver_mutation,SKCM,BRAF,1,0.692307692307692,0.565217391304348,0.62876254180602,0.68561872909699,0.658446560765709,0.642857142857143,0.619047619047619,0.530612244897959
driver_mutation,SKCM,BRAF,2,0.692307692307692,0.521739130434783,0.607023411371237,0.635033444816054,0.639188830200098,0.620689655172414,0.6,0.530612244897959
driver_mutation,SKCM,BRAF,3,0.711538461538462,0.586956521739131,0.649247491638796,0.686454849498328,0.715541777652094,0.660714285714286,0.642857142857143,0.530612244897959
driver_mutation,SKCM,BRAF,4,0.673076923076923,0.565217391304348,0.619147157190636,0.650083612040134,0.642179877145012,0.636363636363636,0.604651162790698,0.530612244897959
driver_mutation,SKCM,BRAF,5,0.711538461538462,0.543478260869565,0.627508361204013,0.603678929765886,0.574751080842543,0.637931034482759,0.625,0.530612244897959
driver_mutation,STAD,PIK3CA,1,0.275862068965517,0.907348242811502,0.591605155888509,0.802247438581029,0.387239785400723,0.355555555555556,0.871165644171779,0.15633423180593
driver_mutation,STAD,PIK3CA,2,0.362068965517241,0.926517571884984,0.644293268701113,0.789908560096948,0.40624625234502,0.477272727272727,0.886850152905199,0.15633423180593
driver_mutation,STAD,PIK3CA,3,0.344827586206897,0.916932907348243,0.63088024677757,0.746391979728985,0.334562312818715,0.434782608695652,0.883076923076923,0.15633423180593
driver_mutation,STAD,PIK3CA,4,0.241379310344828,0.926517571884984,0.583948441114906,0.819103227938746,0.411207474599058,0.378378378378378,0.868263473053892,0.15633423180593
driver_mutation,STAD,PIK3CA,5,0.310344827586207,0.904153354632588,0.607249091109397,0.756141897102567,0.343059034860308,0.375,0.876160990712074,0.15633423180593
driver_mutation,STAD,TP53,1,0.659217877094972,0.661458333333333,0.660338105214153,0.721688780260708,0.695918607640107,0.644808743169399,0.675531914893617,0.482479784366577
driver_mutation,STAD,TP53,2,0.625698324022346,0.71875,0.672224162011173,0.710719273743017,0.657121606366324,0.674698795180723,0.673170731707317,0.482479784366577
