outcome_type,family,tumor_type,endpoint,n,positive,negative,screen_tier,size_stratum,imbalance_stratum,minority_fraction,selection_hash,selected,selection_version,selection_uses_pls_performance,selection_rule
binary,aneuploidy,BLCA,Genome doubling,376,228,148,B,medium,low,0.393617021276596,eaa9691886add43fb88f4fa9b35faa2eea7256edade39494455afd2b2faedf9e,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,GBM,Genome doubling,362,46,316,C,medium,moderate,0.12707182320442,66b91c7c32670ad27e3ef475e4e5a80accb5baa0854071509ba36cdc888a88ae,TRUE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,ESCA,Genome doubling,136,79,57,C,small,low,0.419117647058824,459b38765a74a11f7d295c785d6758eb6e3ed7b3b2fca5895767d7b02c497f53,TRUE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,SARC,Genome doubling,238,112,126,B,small,low,0.470588235294118,6db065413f510958c3eea324244799a33d0cec1eac374f078dcb8cdb3d7acc8d,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,LIHC,Genome doubling,350,115,235,B,small,low,0.328571428571429,8029a1ea339a746e1d5dbac3cc0d49bb78a4b5bed70dec779a2a58e18546f8ec,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,READ,Genome doubling,143,72,71,B,small,low,0.496503496503497,8d7a04de57e407f9510dab8130c2458af4f4ebcf25685e1871ad57ebc8736bb6,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,CESC,Genome doubling,259,85,174,C,small,low,0.328185328185328,a2043bd3eece0ffdc9fe7b2e60e1f173581a3c83ddca39a4658975c3c06be7c5,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,OV,Genome doubling,96,66,30,B,small,low,0.3125,ba9cfcb81ead9468749005c7d60f795c123e1412c888df2d08a12b6675c0b8ee,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,ACC,Genome doubling,54,28,26,C,small,low,0.481481481481482,d8f0ab4348dcb63081af3a44147f3f17c927869e6f763fb804a320cfd79b435e,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,SKCM,Genome doubling,98,35,63,C,small,low,0.357142857142857,f146ecb6cf98928f2e1e1b6951200010d147f6978d2b851f2eb7abdb6d8350e1,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,PAAD,Genome doubling,163,40,123,C,small,moderate,0.245398773006135,0da0559edd862b3ac924862ac8f8cc4c3ba19803b9d4c6af128547dd5a2118cb,TRUE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,aneuploidy,PCPG,Genome doubling,157,24,133,B,small,moderate,0.152866242038217,94d72b39710db972caffc01e72c158fdb3e35e29d28b39818d5c1ee1fe0af811,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUAD,ARID1A,463,25,438,C,large,high,0.0539956803455724,006372704b4a9e72da51acefcf409da2c39fd94372fcff5b1d5599019001ba51,TRUE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,ATF7IP,487,35,452,C,large,high,0.0718685831622177,05c373be2b7f9664b5ea8b4aa6afbc0f3775169558675e8dad94dee2a2d65ba1,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LGG,PIK3R1,485,21,464,C,large,high,0.0432989690721649,0689545ae0dc66179d76cceb54541bcc04fc7d0da16e2c0e093aa721d908f277,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,ERBB2,981,23,958,C,large,high,0.0234454638124363,148e53def3666f7be0e8d1d6068a135dac6df22d31a832d5e2286e9a0b172bb2,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,MSH6,487,50,437,C,large,high,0.102669404517454,1866f0f720737b63661a26a2f8165be60f47f09772cf6018fe2f94e85d42f34e,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,SMC1A,487,43,444,C,large,high,0.0882956878850103,1aefc58dd742413300c85c5207e906d36b8a7f35513c45a841126ae57791fe54,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,ARID1A,981,26,955,C,large,high,0.0265035677879715,1b2ee73df55ff3ae005778fd2ceb6b2c7476d6162e76e030ddc375f4dc7729cf,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUSC,ARID1A,461,31,430,C,large,high,0.0672451193058568,1d061379b85d21c1b43e9f4eab79a6b581f2ceead738efa117a15e1c17df444f,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUSC,RB1,461,31,430,C,large,high,0.0672451193058568,2849c61eb4a15c83a34b8c6aa0b155ebcbc0b73257468985440ea80155c52ca9,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LGG,PIK3CA,485,40,445,C,large,high,0.0824742268041237,28d218cfac654beab64e2e761e5b947e1e632ee4d3d29fe675f5015fa81e73b4,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUAD,SETD2,463,30,433,C,large,high,0.0647948164146868,2b6a2d630ae2d41f68e9366ca8a43725a090211825b170166491f083d0f86e48,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUSC,PTEN,461,51,410,C,large,high,0.110629067245119,2ed6078608ef6a3fdf04d2dae6046f6af9fa90a03a5607d5203c9755b29ecf40,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,CHD4,981,21,960,C,large,high,0.0214067278287462,303df0e0034221a87eeed4987265015f174466b386ac7d3e8699b2083d9e5a20,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUSC,KDM6A,461,21,440,C,large,high,0.0455531453362256,346966cd403c9ce15fc5c7202379df80f9856561f13f07c02df766f9d1dad6e9,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LGG,EGFR,485,34,451,B,large,high,0.0701030927835052,35db607fa03645236b8dfff6c202ce60d6234309a07a66af3895d702dbf8020b,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,TBX3,981,25,956,C,large,high,0.0254841997961264,369d0659182ab45c45dec54086476cf85f54f187e4ec7a6ea3031c444f0d1503,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUAD,SMARCA4,463,36,427,C,large,high,0.0777537796976242,38b26b0dbd7f1b200bade83c64eb9a9db79a4836fea9193e5e634ae3d612cc79,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,ERBB3,487,46,441,C,large,high,0.0944558521560575,3ab5fd6b084803efa31e7463f0ae34610531b3c980fe60b4ed70b995f6bb6c33,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,ATR,487,51,436,C,large,high,0.104722792607803,3d520146234fd2504b4e2dce32a7b6baa99a2327e359e1145c3fde8f2c971b7c,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,AKT1,981,21,960,C,large,high,0.0214067278287462,3d8e59f818c3124206b5398e67845e1dec8617bc8da80432bcaf63d8d0afe047,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUAD,BRAF,463,37,426,C,large,high,0.0799136069114471,3eb647db116cd254c4ab8d37483e8928ba3ba2f9efe849095196439110b307a8,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUSC,KEAP1,461,51,410,C,large,high,0.110629067245119,3f96835fe1589bbde455ea542916f3eb1faffbbddc044ae6a0f03b41b9995707,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,SOX17,487,20,467,C,large,high,0.0410677618069815,50926785908f62d4840d80c0a3e1003c96562a7f197402b7f9cd6576a03d201d,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUSC,RASA1,461,29,432,C,large,high,0.0629067245119306,51ed75155d74f04df8b006670ebbe4a9c4ecb5b65833f138d4ac3821e35da832,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,MAP3K1,487,50,437,C,large,high,0.102669404517454,5aa9e47f18d73fd92a0dc248cb351b4609ae41d6d448b5451f7b3e8aa7d959cb,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,MAP3K1,981,62,919,C,large,high,0.0632008154943935,5c60442fd399384aa36e47d76a21fdce78bf2c92a09374675089e9ea622776ea,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,SIN3A,487,48,439,C,large,high,0.0985626283367557,5db1735314842b0d8d298ebade3d78b34d6cbb2d0aa5d9185c0fed99307d1d6b,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,SPOP,487,40,447,C,large,high,0.082135523613963,61df8542746a1d8263d3493a96ce85ca1833ab7dd3a82325876b8e0675476b76,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUAD,RBM10,463,33,430,C,large,high,0.0712742980561555,69e1867bf7c3f6294bb1ed9715326ebaf27a3c78501898cd3cf96962b9d9a42c,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,THCA,NRAS,490,39,451,A,large,high,0.0795918367346939,6e3445f7e3df273b9a37bd0998b8bf95646bfce40411b2d683f7c702673bd5c7,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUAD,RB1,463,25,438,C,large,high,0.0539956803455724,7a602fa3cc7a6ddbb09405cd9c16ef13b672cb8f328d084de40b505996492278,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,CCND1,487,31,456,C,large,high,0.0636550308008214,7b814931c381044b9c919c3b3bc4b2d198710bf9b9fb22ceed64ec88a2e9e7bd,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LGG,NOTCH1,485,32,453,C,large,high,0.065979381443299,7d77743e9c202ba732ce63e701e63860147109168f75b7c9b34e6910ab3a8a45,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,NFE2L2,487,26,461,C,large,high,0.053388090349076,81ad7307c6fb2521532bc8f329579f6f3c15c12b364e816a90755d6b2cee3730,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,PDS5B,487,42,445,C,large,high,0.0862422997946612,82cd819805bb63b27d631efe3c8b89a5c796b163288896cd5f472b97fd380483,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,CDH1,981,96,885,A,large,high,0.0978593272171254,83ea6e54359cc27af725086f0f829c8f481ec033cb8e373c9bc1240c3675bd37,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,DICER1,487,51,436,C,large,high,0.104722792607803,84f3a79742ebce50a41b73c6c556fe90073ff632fc08b9593f6516e8327bda21,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,RUNX1,981,31,950,C,large,high,0.0316004077471967,856230ab7ab980a5ccd017478a9f5fbd79ae0c45cff87588fdeb505ef3f68dd7,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,ZMYM2,487,52,435,C,large,high,0.106776180698152,8670af5e26b07fea1353adf5979dbef10d37e7c991891b2f1693992184892bc7,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUSC,NOTCH1,461,36,425,C,large,high,0.0780911062906725,88e3adf4b38a389e0fb2e772653a183e0b44c4d6207762e23416d25a9f1cdce2,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUAD,PIK3CA,463,26,437,C,large,high,0.0561555075593953,89d47dcc22699dc38a15e0074e736788eae39f426a56fc16eb6e99c617249f18,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,PIK3R1,981,23,958,C,large,high,0.0234454638124363,8d1983ad5da1cc3ed1bf7ad6cefb1fe545a4fe8dcecae891592391bda1926db7,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,NCOR1,981,37,944,C,large,high,0.0377166156982671,8ea034fb6a111036faffc7b06c12a25c5e40b6b6a9975f8fff99485743685f31,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,GATA3,981,92,889,C,large,high,0.0937818552497452,90f2d0fb21bf9d96eb827c671d81cfdab6c6fb5f312acb28079936ce8cec6fea,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,SOS1,487,44,443,C,large,high,0.0903490759753593,95c8eef88af5534b425d5b689af6eb617b0e552b38cdc33ee6599f7d074e5913,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,NF1,981,30,951,C,large,high,0.0305810397553517,9ff4f5b55f0d84b0277837f69642f4fe73776cf53af253e0b39d572a77454b99,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,PTEN,981,47,934,C,large,high,0.0479102956167176,a44fbca48e3df85f561684d2e074fcacbb3d6d6ad657a23a97d8dca12976aa19,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,KMT2C,981,71,910,C,large,high,0.072375127420999,a4c4d5484b197a18bde17286a46b9f9169374096456c9b7e5eaff6808f67b092,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LGG,NF1,485,31,454,C,large,high,0.0639175257731959,a588813890149c012ee0ab1b900f6e33cab6d69c2d1ff1e9d569a7c86a760102,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LGG,SMARCA4,485,25,460,C,large,high,0.0515463917525773,a85edca650bd04e012ef2ee431c3669d6cde50692ee19de509e1fa3d1306d29f,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,BRCA,BRCA1,981,21,960,C,large,high,0.0214067278287462,b1a5f91c76a8d3915bbea5e9c43de70369c4ec648988c283d90c85428943a8dc,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUSC,FBXW7,461,25,436,C,large,high,0.0542299349240781,b52c4e800b6835f54328704c4f2a74d67ba30c8b816a408519ea32caf004909a,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,ACVR1,487,26,461,C,large,high,0.053388090349076,bff421f703612a6cf9cafb38829f4a9316192d0ed7ddba2c586605c02800c16d,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,LUAD,ATM,463,37,426,C,large,high,0.0799136069114471,c560229a2168e2e773f12e3eacbdafae3b5b08bcda814811bd3b61cb2274fbf3,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,RPL22,487,44,443,C,large,high,0.0903490759753593,d4326ba0fbfab780e592f34f74cf87b1b35d69a582cfc8f4ceeb076614e1cd53,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,CTNND1,487,41,446,C,large,high,0.0841889117043121,d5117533209ab86b3909db24a816b06a173f6c65f708e7db3630228ff579d84c,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,ARID5B,487,52,435,C,large,high,0.106776180698152,d9bae329c2884fc1bc73a06576c89c63cb87c65e0b3e8b6f85dbf955ecb55c04,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,ERBB2,487,25,462,C,large,high,0.0513347022587269,da7d2dd987eb19ef84d5a031745af0e43b55ef4060bf1c151ed44dce05ff8d35,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
binary,driver_mutation,UCEC,PBRM1,487,43,444,C,large,high,0.0882956878850103,e0fb58b7a137b78c93e140fd1d9778a2e168eb35c3a2205c1473158f3b16d3df,FALSE,titan-representative-benchmark-v1,FALSE,one lowest salted SHA-256 endpoint per non-empty outcome-family and sample-size-tercile cell; binary cells additionally stratified by minority-class-fraction tercile
