outcome_type,family,tumor_type,endpoint,repeat_id,seed,pls_sensitivity,pls_specificity,pls_balanced_accuracy,pls_auc,ridge_sensitivity,ridge_specificity,ridge_balanced_accuracy,ridge_auc,median_pls_ncomp,median_pls_threshold,median_ridge_lambda,median_ridge_threshold,median_inner_pls_balanced_accuracy,median_inner_ridge_balanced_accuracy,outer_folds_identical,inner_folds_identical,threshold_selection
binary,driver_mutation,THCA,BRAF,5,20310833,0.896193771626298,0.805970149253731,0.851081960440014,0.901977999276972,0.847750865051903,0.786069651741294,0.816910258396598,0.891149787395204,4,0.439288803008506,4.45982074447957,0.631290526373123,0.859213250517598,0.842873206254016,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THYM,GTF2I,1,20270829,0.932203389830508,0.819672131147541,0.875937760489025,0.937482634065018,0.915254237288136,0.852459016393443,0.883856626840789,0.93803834398444,4,-0.916424389764297,8.93318662745696,0.459595452819833,0.896656534954407,0.89622231871472,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THYM,GTF2I,2,20280829,0.983050847457627,0.721311475409836,0.852181161433732,0.902750764101139,0.932203389830508,0.770491803278689,0.851347596554598,0.942761878299528,4,-1.16280342191385,5.46585531972679,0.441383204815702,0.916666666666667,0.907294832826748,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THYM,GTF2I,3,20290829,0.932203389830508,0.786885245901639,0.859544317866074,0.915809947207558,0.932203389830508,0.819672131147541,0.875937760489025,0.940539038621839,2,-2.05703026722959,7.2745861924846,0.434736097610444,0.897746598639456,0.887755102040816,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THYM,GTF2I,4,20300829,0.915254237288136,0.819672131147541,0.867463184217838,0.911919977771603,0.949152542372881,0.852459016393443,0.900805779383162,0.944151153098083,3,-0.900056270820763,22.1936857276368,0.469574547360167,0.897090751194095,0.886018237082067,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THYM,GTF2I,5,20310829,0.915254237288136,0.721311475409836,0.818282856348986,0.88941372603501,0.898305084745763,0.786885245901639,0.842595165323701,0.919699916643512,3,-1.42369060328665,7.46684355919507,0.45082722094007,0.907729049066435,0.895168439716312,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,fusion,UCEC,Any called fusion,1,20270870,0.8,0.73972602739726,0.76986301369863,0.84486301369863,0.75,0.821917808219178,0.785958904109589,0.81763698630137,2,-0.40797719127113,9.83879655121747,0.522956265101267,0.819234913793103,0.831965042372881,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,fusion,UCEC,Any called fusion,2,20280870,0.8625,0.73972602739726,0.80111301369863,0.859589041095891,0.775,0.808219178082192,0.791609589041096,0.83236301369863,3,-0.573096551028982,23.6869166632165,0.520335145734235,0.810381355932204,0.817618534482759,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,fusion,UCEC,Any called fusion,3,20290870,0.7625,0.73972602739726,0.75111301369863,0.852739726027397,0.8375,0.753424657534247,0.795462328767123,0.855479452054795,2,-0.0866007449237418,5.04468106435507,0.500338902289657,0.830640889830509,0.837791313559322,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,fusion,UCEC,Any called fusion,4,20300870,0.75,0.849315068493151,0.799657534246575,0.854794520547945,0.75,0.821917808219178,0.785958904109589,0.851027397260274,2,-0.346157204361467,11.5877174018743,0.533596980095803,0.81104343220339,0.821659482758621,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,fusion,UCEC,Any called fusion,5,20310870,0.75,0.794520547945206,0.772260273972603,0.826369863013699,0.7625,0.808219178082192,0.785359589041096,0.84777397260274,3,-0.405984949021367,9.72902166862938,0.516167994626958,0.816002155172414,0.824084051724138,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),1,20270881,0.824561403508772,0.817034700315458,0.820798051912115,0.907244451823565,0.842105263157895,0.782334384858044,0.812219824007969,0.898776910731086,7,-3.50572948962183,2.45501548212875,0.148909143361574,0.867632850241546,0.856128038343033,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),2,20280881,0.807017543859649,0.794952681388013,0.800985112623831,0.885881897171952,0.859649122807018,0.810725552050473,0.835187337428745,0.910343682550224,8,-2.99166496842223,1.59971389333657,0.150876878113023,0.869736391646696,0.866997603560425,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),3,20290881,0.824561403508772,0.823343848580442,0.823952626044607,0.923183352703525,0.87719298245614,0.779179810725552,0.828186396590846,0.91200398472522,7,-4.30945770911503,2.40711105588427,0.140731605952864,0.852305665349144,0.851335159192058,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),4,20300881,0.807017543859649,0.804416403785489,0.805716973822569,0.915435275886878,0.859649122807018,0.810725552050473,0.835187337428745,0.910952460014389,7,-4.04902693039854,2.46527978346411,0.171076367102543,0.870849024306744,0.854073947278329,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),5,20310881,0.771929824561403,0.854889589905363,0.813409707233383,0.923017322486026,0.859649122807018,0.813880126182965,0.836764624494992,0.924677624661022,7,-2.69287207592412,1.61777105005999,0.150493018448886,0.873758986648408,0.858952413557001,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,oncogenic_pathway,LGG,HIPPO,1,20270885,0.883905013192612,0.745098039215686,0.814501526204149,0.890061565523307,0.889182058047494,0.774509803921569,0.831845930984531,0.901831444979047,5,1.07851785127006,6.7403781310079,0.702694385095274,0.841889744530009,0.843112088986677,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,oncogenic_pathway,LGG,HIPPO,2,20280885,0.891820580474934,0.784313725490196,0.838067152982565,0.887345439495059,0.910290237467018,0.735294117647059,0.822792177557039,0.894329763567696,5,1.76917954899517,5.7641213300682,0.690240735163285,0.849326059050064,0.845548579248169,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
