tumor_type,block,endpoint,n,metric,pls1,pls2,delta_pls2_minus_pls1,sd_delta,median_ncomp_pls1,median_ncomp_pls2,n_repeats,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint
BLCA,inferred_cell_fractions,B Cells Memory,373,Q2,0.0862894324977342,0.0829123050484925,-0.00337712744924168,0.00352403537735205,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,B Cells Naive,373,Q2,0.0832538659229052,0.0764086144838166,-0.00684525143908861,0.00635193605700397,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Dendritic Cells Activated,373,Q2,0.0317466545373447,0.0213477977032603,-0.0103988568340843,0.00670977698655264,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Dendritic Cells Resting,373,Q2,-0.00632732249370497,-0.00963025369077072,-0.00330293119706574,0.0105146873625773,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Eosinophils,373,Q2,-0.069858244850147,-0.0251307588161702,0.0447274860339768,0.015723282319527,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Macrophages M0,373,Q2,0.031398326592515,0.0305622345431916,-0.000836092049323445,0.00743561214846837,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Macrophages M1,373,Q2,0.110046208997334,0.125504402365196,0.0154581933678617,0.00990580596413637,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Macrophages M2,373,Q2,0.0110514479392102,0.046789377076514,0.0357379291373037,0.0392180316411158,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Mast Cells Activated,373,Q2,0.00520739713482414,-0.00209422679445067,-0.0073016239292748,0.0116871676239688,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Mast Cells Resting,373,Q2,0.0317719248551382,0.0410694199994461,0.00929749514430785,0.00735151020695568,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Monocytes,373,Q2,-0.0254892024650341,-0.0263294339597462,-0.000840231494712092,0.0304223373075965,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,NK Cells Activated,373,Q2,-0.0351681835678514,-0.0202612410731617,0.0149069424946897,0.0154889068949836,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,NK Cells Resting,373,Q2,-0.0136267255316529,-0.0248020364201799,-0.011175310888527,0.025185975766516,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Neutrophils,373,Q2,-0.0451576608050187,-0.0283923494747903,0.0167653113302285,0.00152902605921779,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Plasma Cells,373,Q2,0.0265135698008232,0.030276899612637,0.00376332981181379,0.0186197246124872,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,T Cells CD4 Memory Activated,373,Q2,0.146281221202614,0.189548227084556,0.0432670058819422,0.00655039928142144,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,T Cells CD4 Memory Resting,373,Q2,-0.0430938870513757,-0.0065745989702598,0.0365192880811159,0.0121977052233199,1.66666666666667,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,T Cells CD4 Naive,373,Q2,0.116170913965128,0.102393100592491,-0.0137778133726371,0.00473875146474372,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,T Cells CD8,373,Q2,0.050340456656637,0.0498638904513812,-0.000476566205255824,0.0492779619790499,2,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,T Cells Follicular Helper,373,Q2,0.0610962184950009,0.0669270001009484,0.00583078160594749,0.0192389688937084,1.33333333333333,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,T Cells Regulatory Tregs,373,Q2,0.00348867730577107,0.035184055623066,0.0316953783172949,0.00479418597845065,1.66666666666667,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,T Cells gamma delta,373,Q2,-0.0596135932211568,-0.0360271841782439,0.0235864090429129,0.0146150157966211,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Th1 Cells,373,Q2,0.366074590595673,0.34610160298,-0.0199729876156725,0.0219182146327148,3.33333333333333,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Th17 Cells,373,Q2,0.0161222243608554,0.0142591211777567,-0.00186310318309872,0.0022086187020717,1,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,inferred_cell_fractions,Th2 Cells,373,Q2,0.248357343786842,0.207890797119368,-0.0404665466674741,0.0443791882373086,2.33333333333333,5,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,infiltration_signatures,IFN-gamma Response,281,Q2,0.14827178607265,0.1547239857234,0.00645219965074935,0.0190035144585446,2.33333333333333,5.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,infiltration_signatures,Leukocyte Fraction,281,Q2,0.298709614491953,0.319803662028128,0.0210940475361753,0.0191019613246848,4.33333333333333,5.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,infiltration_signatures,Lymphocyte Infiltration Signature Score,281,Q2,0.278493872172077,0.293549064576341,0.0150551924042643,0.0800189848071258,4,5.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,infiltration_signatures,Macrophage Regulation,281,Q2,0.371622878317152,0.350764739672508,-0.020858138644644,0.00539961590676506,4,5.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,infiltration_signatures,Stromal Fraction,281,Q2,0.261278300678178,0.254247322984444,-0.00703097769373347,0.0404342689808466,1,5.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,infiltration_signatures,TGF-beta Response,281,Q2,0.274792980313415,0.264126730957742,-0.0106662493556735,0.0115561033939029,1.33333333333333,5.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
