family,tumor_type,endpoint,repeat,training_fraction,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,observed_tcga_prevalence
driver_mutation,LGG,PTEN,2,1,0.217391304347826,0.965367965367965,0.591379634857896,0.730942970073405,0.204565431443216,0.238095238095238,0.961206896551724,0.0474226804123711
driver_mutation,LGG,PTEN,3,1,0.260869565217391,0.965367965367965,0.613118765292678,0.779973649538867,0.181575530053277,0.272727272727273,0.963282937365011,0.0474226804123711
driver_mutation,LGG,PTEN,4,1,0.130434782608696,0.978354978354978,0.554394880481837,0.633069828722003,0.1380023782571,0.230769230769231,0.957627118644068,0.0474226804123711
driver_mutation,LGG,PTEN,5,1,0.217391304347826,0.967532467532468,0.592461885940147,0.755787690570299,0.185953674042804,0.25,0.961290322580645,0.0474226804123711
driver_mutation,LIHC,BAP1,1,0.5,0.3,0.963636363636364,0.631818181818182,0.705606060606061,0.214001242864919,0.333333333333333,0.957831325301205,0.0571428571428571
driver_mutation,LIHC,BAP1,2,0.5,0.3,0.96969696969697,0.634848484848485,0.840757575757576,0.345259472473885,0.375,0.958083832335329,0.0571428571428571
driver_mutation,LIHC,BAP1,3,0.5,0.2,0.966666666666667,0.583333333333333,0.713181818181818,0.154075067581811,0.266666666666667,0.952238805970149,0.0571428571428571
driver_mutation,LIHC,BAP1,4,0.5,0.25,0.960606060606061,0.60530303030303,0.694090909090909,0.217192226278653,0.277777777777778,0.954819277108434,0.0571428571428571
driver_mutation,LIHC,BAP1,5,0.5,0.25,0.954545454545455,0.602272727272727,0.583181818181818,0.116400965080712,0.25,0.954545454545455,0.0571428571428571
driver_mutation,LIHC,BAP1,1,0.75,0.2,0.981818181818182,0.590909090909091,0.801818181818182,0.253312877184884,0.4,0.952941176470588,0.0571428571428571
driver_mutation,LIHC,BAP1,2,0.75,0.25,0.981818181818182,0.615909090909091,0.766666666666667,0.243553434771278,0.454545454545455,0.955752212389381,0.0571428571428571
driver_mutation,LIHC,BAP1,3,0.75,0.25,0.957575757575757,0.603787878787879,0.791666666666667,0.292944407103607,0.263157894736842,0.954682779456193,0.0571428571428571
driver_mutation,LIHC,BAP1,4,0.75,0.15,0.966666666666667,0.558333333333333,0.741060606060606,0.170401126808866,0.214285714285714,0.949404761904762,0.0571428571428571
driver_mutation,LIHC,BAP1,5,0.75,0.2,0.96969696969697,0.584848484848485,0.758333333333333,0.178965306288622,0.285714285714286,0.952380952380952,0.0571428571428571
driver_mutation,LIHC,BAP1,1,1,0.2,0.975757575757576,0.587878787878788,0.65530303030303,0.200406537310727,0.333333333333333,0.952662721893491,0.0571428571428571
driver_mutation,LIHC,BAP1,2,1,0.15,0.975757575757576,0.562878787878788,0.716212121212121,0.159840495787242,0.272727272727273,0.949852507374631,0.0571428571428571
driver_mutation,LIHC,BAP1,3,1,0.2,0.972727272727273,0.586363636363636,0.755,0.174918035097931,0.307692307692308,0.952522255192878,0.0571428571428571
driver_mutation,LIHC,BAP1,4,1,0.25,0.966666666666667,0.608333333333333,0.729090909090909,0.186336939206133,0.3125,0.955089820359282,0.0571428571428571
driver_mutation,LIHC,BAP1,5,1,0.25,0.96969696969697,0.609848484848485,0.751818181818182,0.247621065016347,0.333333333333333,0.955223880597015,0.0571428571428571
driver_mutation,OV,TP53,1,0.5,0.363636363636364,0.92,0.641818181818182,0.670909090909091,0.525963366685672,0.666666666666667,0.766666666666667,0.305555555555556
driver_mutation,OV,TP53,2,0.5,0.409090909090909,0.86,0.634545454545455,0.637272727272727,0.455036941773618,0.5625,0.767857142857143,0.305555555555556
driver_mutation,OV,TP53,3,0.5,0.454545454545455,0.8,0.627272727272727,0.659090909090909,0.513915150359012,0.5,0.769230769230769,0.305555555555556
driver_mutation,OV,TP53,4,0.5,0.318181818181818,0.82,0.569090909090909,0.562727272727273,0.413032746428821,0.4375,0.732142857142857,0.305555555555556
driver_mutation,OV,TP53,5,0.5,0.318181818181818,0.82,0.569090909090909,0.595454545454546,0.468638562079778,0.4375,0.732142857142857,0.305555555555556
driver_mutation,OV,TP53,1,0.75,0.409090909090909,0.8,0.604545454545455,0.546363636363636,0.431473605679563,0.473684210526316,0.754716981132076,0.305555555555556
driver_mutation,OV,TP53,2,0.75,0.545454545454545,0.88,0.712727272727273,0.720909090909091,0.596660524661959,0.666666666666667,0.814814814814815,0.305555555555556
driver_mutation,OV,TP53,3,0.75,0.318181818181818,0.86,0.589090909090909,0.617272727272727,0.450350429425488,0.5,0.741379310344828,0.305555555555556
driver_mutation,OV,TP53,4,0.75,0.409090909090909,0.82,0.614545454545455,0.647272727272727,0.513267768555472,0.5,0.759259259259259,0.305555555555556
driver_mutation,OV,TP53,5,0.75,0.409090909090909,0.84,0.624545454545455,0.644545454545455,0.528708256524552,0.529411764705882,0.763636363636364,0.305555555555556
driver_mutation,OV,TP53,1,1,0.5,0.78,0.64,0.596363636363636,0.445473714713607,0.5,0.78,0.305555555555556
driver_mutation,OV,TP53,2,1,0.5,0.86,0.68,0.702727272727273,0.584147629232888,0.611111111111111,0.796296296296296,0.305555555555556
driver_mutation,OV,TP53,3,1,0.409090909090909,0.8,0.604545454545455,0.616363636363636,0.519135349012264,0.473684210526316,0.754716981132076,0.305555555555556
driver_mutation,OV,TP53,4,1,0.5,0.9,0.7,0.703636363636364,0.526742318851174,0.6875,0.803571428571429,0.305555555555556
driver_mutation,OV,TP53,5,1,0.5,0.8,0.65,0.639090909090909,0.476252904930977,0.523809523809524,0.784313725490196,0.305555555555556
