foundation_model,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv,npv,prevalence,no_skill_pr_auc,crossing,selected_components_median,selected_components_min,selected_components_max,selected_components_ceiling_fraction,stability_job_id,stability_repeat,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,effect,primary_union_positive,primary_near_threshold,selection_reason,fastPLS_version,fastPLS_remote_sha
TITAN,,,,0.793859649122807,0.567567567567568,0.680713608345187,0.717935040303461,0.766097028918086,0.738775510204082,0.641221374045801,0.606382978723404,0.606382978723404,TRUE,6,3,9,0,2,3,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20790817,0.717935040303461,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.706140350877193,0.601351351351351,0.653745851114272,0.70338430535799,0.737721317025283,0.731818181818182,0.57051282051282,0.606382978723404,0.606382978723404,TRUE,5,3,7,0,2,4,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20800817,0.70338430535799,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.789473684210526,0.594594594594595,0.69203413940256,0.731685633001422,0.769968428399254,0.75,0.647058823529412,0.606382978723404,0.606382978723404,TRUE,3,3,4,0,2,4,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20800817,0.731685633001422,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.723684210526316,0.614864864864865,0.66927453769559,0.715742057847321,0.742140487476238,0.743243243243243,0.590909090909091,0.606382978723404,0.606382978723404,TRUE,5,3,6,0,2,4,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20800817,0.715742057847321,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.600877192982456,0.716216216216216,0.658546704599336,0.721698672356567,0.763746415107035,0.76536312849162,0.538071065989848,0.606382978723404,0.606382978723404,TRUE,5,2,8,0,2,5,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20810817,0.721698672356567,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.758771929824562,0.540540540540541,0.649656235182551,0.727922000948317,0.776700833781692,0.717842323651452,0.592592592592593,0.606382978723404,0.606382978723404,TRUE,3,3,3,0,2,5,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20810817,0.727922000948317,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.692982456140351,0.601351351351351,0.647166903745851,0.71289710763395,0.773138922879512,0.728110599078341,0.559748427672956,0.606382978723404,0.606382978723404,TRUE,6,5,9,0,2,5,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20810817,0.71289710763395,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.619047619047619,0.701149425287356,0.660098522167488,0.690613026819923,0.488557690299733,0.5,0.792207792207792,0.325581395348837,0.325581395348837,TRUE,4,3,4,0,3,1,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20770818,0.690613026819923,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.619047619047619,0.53448275862069,0.576765188834154,0.563970990695129,0.394304796644675,0.390977443609023,0.744,0.325581395348837,0.325581395348837,FALSE,4,1,18,0,3,1,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20770818,0.563970990695129,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.583333333333333,0.632183908045977,0.607758620689655,0.667214012041598,0.455811069137551,0.433628318584071,0.758620689655172,0.325581395348837,0.325581395348837,TRUE,4,3,5,0,3,1,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20770818,0.667214012041598,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
