tumor_type,block,n_endpoints,median_delta,mean_delta,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint
READ,immune_repertoire,6,0.0618911593895742,0.122753795237068,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
READ,inferred_cell_fractions,25,0.022181588804636,0.038519601805981,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
READ,infiltration_signatures,8,0.0749821974940369,0.0384609163675934,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
SARC,immune_repertoire,6,0.126758692505062,0.105146320305153,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
SARC,inferred_cell_fractions,25,0.0247407891467831,0.0308577789412246,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
SARC,infiltration_signatures,7,-0.000917386578070314,0.006172247600234,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
SKCM,immune_repertoire,6,0.056246201977975,0.0603245858854286,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
SKCM,inferred_cell_fractions,25,0.03863792452215,0.0319463737423191,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
SKCM,infiltration_signatures,8,0.0130264137604072,0.0146299759684176,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
STAD,immune_repertoire,6,0.00984210337764796,0.0230407269272621,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
STAD,inferred_cell_fractions,25,0.00741527014201981,0.00886336283025491,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
STAD,infiltration_signatures,8,0.0116355135911019,0.0120413657800861,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
