grouped_job_id,code_only_metric,code_prevalence_or_mean_range,n_codes
362,-0.0985110512099985,0.4036528342777,26
363,-0.036080216311134,1.35351757633441,26
364,-0.062965642318233,0.9935516079784,26
365,-0.0471523090768238,1.2085032974143,26
366,-0.0411724398144642,0.613934329153709,26
367,-0.0363754507539105,0.366365956658804,4
368,-0.0705799849808455,0.335882486615559,4
369,0.0555910714952097,0.411158663580776,4
370,-0.123125402899238,0.185107124488683,4
371,-0.202019072411468,0.43003046396444,4
372,0.00630132642298331,1.09611413037341,17
373,0.0595793849067533,1.51042107847596,17
374,0.0952080016003691,0.656565992085439,17
375,0.0671654345819983,0.578743233711573,17
376,0.0148096468517367,1.41312177814005,17
377,0.0525849166046093,0.765570449326861,17
378,0.0022943723014287,1.12071465947459,17
379,0.0590198657667537,1.32002443301651,17
380,0.036239888615617,0.976248935577114,17
381,-0.00177828504726074,1.07646648318764,17
382,-0.0106706015930058,0.772528460479533,17
383,0.109113297407224,0.683080144812595,17
384,0.0450252375407251,1.1187200287127,17
385,0.0437595187279927,0.753778632272895,17
386,0.04139857397855,1.07863203025544,17
387,0.0480594610284535,0.698408594359499,17
388,0.0181986288898405,0.917765823940734,17
389,0.0532556238836869,0.938968412663557,17
390,0.0687131774745484,0.735983668228017,17
391,0.0787120010747043,0.741828010698877,17
392,0.0798609517199713,1.50080153168614,17
393,0.0320722765083795,0.531984494478932,17
394,0.00779493984766122,0.920142150988299,17
395,0.0555103682631319,1.09823444807816,17
396,0.0700398044452242,1.24072941057751,17
397,-0.0920258997980137,2.01590176068372,31
398,-0.144676484761748,0.615189466297231,31
399,-0.262063828792051,1.37857839088081,31
400,-0.22722873436163,0.798831882015372,31
401,-0.0866738942399494,0.48271571167625,31
402,-0.230538389035533,0.874363246331008,31
403,-0.275433949644537,1.14943101002725,31
404,-0.125931369239328,1.05246683720999,31
405,-0.110029855515507,0.852498631939706,31
406,-0.0848168640146569,1.1241176066857,31
407,-0.138640434136657,0.418748571001485,31
408,-0.0547872196123409,0.573297582171628,31
409,-0.226167200279797,1.40662361210117,31
410,-0.310016238004525,1.21911056416736,31
411,-0.338382462085944,1.11027241292353,31
412,-0.0761174013233095,1.25140745355481,31
413,-0.136042692831392,0.623123617875351,31
414,-0.10376975864476,1.85759312435531,31
415,-0.149060102085419,1.31570509503635,31
416,-0.0502696765606316,0.640037976622478,31
417,-0.101477925476414,1.2521149629874,31
418,-0.0961838556228469,0.52219534107339,31
419,-0.108343947630481,0.585926817706135,31
420,-0.155862362709612,0.57714812006458,31
421,-0.115251197973088,0.782910409113979,31
422,-0.00364166024137358,1.92179351619402,25
423,-0.00830216115399685,0.766370324750528,25
424,-0.0101719050617697,1.3312590075139,25
425,-0.00383915593893547,1.06491121121483,25
426,-0.000136284837458867,0.79868099213303,25
427,0.00088563890442861,0.611694682011648,25
428,-0.00147911249571364,0.640097428376516,25
429,0.0168672440816408,0.943108358764397,25
430,-0.0630091396657413,1.31601528613745,25
431,0.0146242693494058,0.712608777343701,25
432,-0.0194920009796868,0.470429140899281,25
433,0.00516925863273987,1.26822117325331,25
434,-0.00574513181230252,0.492074141452257,25
435,0.0133999949802932,0.674309267114456,25
436,0.00468516563397536,0.83148951468741,25
437,0.00925236392436357,1.40351684252888,25
438,0.0305380579680767,1.20918831031136,25
439,-0.0296704657278246,3.21316293130802,25
440,0.000170701605746948,2.29439868004308,25
441,0.0325390054937046,0.600533348028561,25
442,0.0208230489570019,0.58305241600511,25
443,0.0073161383919772,0.888389650626498,25
444,0.00623882545334986,0.587892040120194,25
445,-0.077039361770824,0.676791854467083,25
446,-0.00590610906562095,0.50977357234395,25
447,-0.0644051329587398,0.472732409601518,25
448,0.0521556573954792,0.646131398371947,25
449,0.00622041809224272,0.977548477718093,25
450,0.049129194844041,0.7204802180545,25
451,-0.0125933238141178,1.17921434338476,25
452,-0.0209240557069683,0.357351673170717,25
453,-0.0379425609393664,0.541462405690589,25
454,-0.0114213535815699,1.6856703884035,33
455,0.021563581394381,0.981022346762594,33
456,-0.0480122600804951,1.49687587733136,33
457,-0.0638537083435826,1.04386774685406,33
458,-0.0389399188244726,0.591168670746123,33
459,-0.00156557877022645,0.754776897337267,33
460,-0.0310375592463819,0.618148534406248,33
461,-0.0150173301848862,1.1285426730036,33
462,0.0198077840122716,0.857506503375573,33
463,-0.0402487088551946,0.769375503543196,33
464,-0.0478958010167294,0.955503270480313,33
465,0.0606498876819299,1.85465885379961,33
466,-0.0280637471935299,1.25191281176188,33
467,0.021182867621486,0.469257013034945,33
468,-0.0337910119110285,0.420747672951677,33
469,0.00230694573443324,0.777946621149419,33
470,0.0558105337391737,1.74610855993975,33
471,-0.0155942568344447,1.11596226897001,33
472,-0.140289266172293,0.738524907842058,33
473,-0.0440295045398567,1.08014248124609,33
474,-0.0353701495920951,0.975753686725271,33
475,-0.0901153318445653,1.55562034226293,33
476,-0.0457200003281599,0.708187745360856,33
477,0.0513089533143644,0.791611035783262,33
478,-0.0762081775245198,0.527557296817551,33
479,0.0284825799140709,1.95898120022284,33
480,-0.0873626814336317,1.69074933320606,33
481,-0.0130894682273786,0.644561589248035,33
482,0.00770712997491041,0.73507930431603,33
483,-0.016633174879493,1.48986093854516,33
484,-0.0407105251874629,0.559487880973616,33
485,-0.0708649310305001,0.583268690404516,33
486,0.00496300913407466,0.574070487126666,33
487,-0.055042885449383,0.948276972144359,33
488,0.0280552159738753,0.964023429688787,33
489,-0.0742500451603567,1.22485293736284,33
490,-0.0525260336646862,0.555282457304909,33
491,0.0819908486115776,0.767979891604835,33
492,-0.0369705931574829,1.28518151146714,33
493,-0.0369503642872027,0.782457789470532,33
494,0.0418199716517981,0.816408644153906,33
495,-0.0632966239978041,0.588519886038348,33
496,-0.00497502432423924,0.641733778180241,33
497,-0.0158846090060933,0.693217142560419,33
498,-0.0511498467512421,1.9250190773137,33
