outcome_type,family,subfamily,tumor_type,endpoint,source,mean_effect,sd_effect,mean_rank_within_outcome_repeat,median_rank_within_outcome_repeat,winner_proportion,foundation_model
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,EP300,TCGA_MC3_Bailey2018,0.53763923524522,0.0301424527269042,303.4,310,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,FAT1,TCGA_MC3_Bailey2018,0.497667910447761,0.0423390042879576,328.6,343,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,FBXW7,TCGA_MC3_Bailey2018,0.491545551222971,0.00996141671741533,340.2,341,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HLA-B,TCGA_MC3_Bailey2018,0.648540145985401,0.0560540193911724,152.6,126,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HRAS,TCGA_MC3_Bailey2018,0.735038503850385,0.0279519152581755,62,55,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HUWE1,TCGA_MC3_Bailey2018,0.611739130434783,0.0469780186168142,207.8,246,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,KEAP1,TCGA_MC3_Bailey2018,0.635693430656934,0.0613962800153281,176.8,215,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,KMT2D,TCGA_MC3_Bailey2018,0.596728933167289,0.0347164688878331,232.2,219,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,NSD1,TCGA_MC3_Bailey2018,0.759267285861713,0.0223321201223407,45.6,49,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,PIK3CA,TCGA_MC3_Bailey2018,0.546309334544629,0.0334042148969692,291.6,282,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,TGFBR2,TCGA_MC3_Bailey2018,0.564483159117305,0.0388659606925116,272.8,285,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,TP53,TCGA_MC3_Bailey2018,0.684954954954955,0.0292505137412161,108.2,95,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,KICH,TP53,TCGA_MC3_Bailey2018,0.640909090909091,0.0417431972717537,171.2,169,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,BAP1,TCGA_MC3_Bailey2018,0.701410488245931,0.0281291302478981,89.4,77,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,PBRM1,TCGA_MC3_Bailey2018,0.652200283037941,0.0103381323166494,155,157,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,SETD2,TCGA_MC3_Bailey2018,0.670380739081747,0.0109239269792181,123.6,122,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,VHL,TCGA_MC3_Bailey2018,0.612087696335079,0.0197594889191605,210,200,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,ATRX,TCGA_MC3_Bailey2018,0.86090069787729,0.0071625687284289,13.2,13,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,CIC,TCGA_MC3_Bailey2018,0.887994987468672,0.0137201507340471,8,8,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,EGFR,TCGA_MC3_Bailey2018,0.885457154036781,0.0217620591914883,8.6,7,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,FUBP1,TCGA_MC3_Bailey2018,0.844423830138116,0.0105985529590606,17.8,18,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,IDH1,TCGA_MC3_Bailey2018,0.846060606060606,0.0120612212421147,18,17,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,IDH2,TCGA_MC3_Bailey2018,0.742021505376344,0.022775833299686,56.6,57,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,NF1,TCGA_MC3_Bailey2018,0.719184311496376,0.0262594163857141,73,60,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,NOTCH1,TCGA_MC3_Bailey2018,0.674172185430464,0.024029576657091,122.6,138,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,PIK3CA,TCGA_MC3_Bailey2018,0.514415730337079,0.052054868331458,314.6,330,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,PTEN,TCGA_MC3_Bailey2018,0.738979860718991,0.0668182878480499,71.4,56,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LGG,TP53,TCGA_MC3_Bailey2018,0.909489573395121,0.00389819468378078,3,3,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,ARID1A,TCGA_MC3_Bailey2018,0.498052884615385,0.0313695475913708,333,341,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,AXIN1,TCGA_MC3_Bailey2018,0.678853582554517,0.0381904935223345,118.6,90,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,BAP1,TCGA_MC3_Bailey2018,0.792085889570552,0.0454955133265529,36.2,29,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,CTNNB1,TCGA_MC3_Bailey2018,0.704664498459432,0.0306286932699183,86.4,88,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,TP53,TCGA_MC3_Bailey2018,0.685,0.0273855241717233,108,92,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,ATM,TCGA_MC3_Bailey2018,0.555196041111534,0.0305290916640925,283.8,274,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,EGFR,TCGA_MC3_Bailey2018,0.677588521564021,0.0456481247640134,118.2,105,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,KEAP1,TCGA_MC3_Bailey2018,0.658230818008878,0.0331107430650228,144.6,137,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,KRAS,TCGA_MC3_Bailey2018,0.582136222910217,0.0218532569770179,251.8,257,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,NF1,TCGA_MC3_Bailey2018,0.604908823783597,0.0454820183390499,216.2,237,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,PIK3CA,TCGA_MC3_Bailey2018,0.666097518042598,0.0432962155374541,136.6,167,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,RB1,TCGA_MC3_Bailey2018,0.591853881278539,0.0415092554220196,236.8,256,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,SETD2,TCGA_MC3_Bailey2018,0.489237875288684,0.0294083648502374,338.6,339,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,SMARCA4,TCGA_MC3_Bailey2018,0.608456934686443,0.0239927544301661,217,207,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,STK11,TCGA_MC3_Bailey2018,0.690713101160862,0.00977499432428573,97,95,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,TP53,TCGA_MC3_Bailey2018,0.753778972119584,0.00880126993831165,48,49,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,ARHGAP35,TCGA_MC3_Bailey2018,0.570063807160581,0.0406640592443179,263,293,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,ARID1A,TCGA_MC3_Bailey2018,0.543319046544853,0.0275487210277021,297.8,310,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,CDKN2A,TCGA_MC3_Bailey2018,0.534318727490996,0.0234723660992863,306.6,319,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,FBXW7,TCGA_MC3_Bailey2018,0.558473563218391,0.0532183699510895,274.6,268,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,KDM6A,TCGA_MC3_Bailey2018,0.454604620891637,0.0394709335060248,349.4,352,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,KEAP1,TCGA_MC3_Bailey2018,0.625188168176806,0.0289598259184305,193.6,201,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,KMT2D,TCGA_MC3_Bailey2018,0.54180740257268,0.01073061220386,299.6,300,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,NF1,TCGA_MC3_Bailey2018,0.587933859675257,0.0116963691697295,243.4,249,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,NFE2L2,TCGA_MC3_Bailey2018,0.583264113213352,0.0350034197526737,249,258,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,PTEN,TCGA_MC3_Bailey2018,0.534004506448056,0.0420236617341965,303.2,305,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,RASA1,TCGA_MC3_Bailey2018,0.57734218737499,0.031745124255807,258,251,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,RB1,TCGA_MC3_Bailey2018,0.583863448379577,0.0205549991402258,248.6,256,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,TP53,TCGA_MC3_Bailey2018,0.540210638227184,0.0242978286602998,298.6,295,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,OV,TP53,TCGA_MC3_Bailey2018,0.622740524781341,0.0626102297941888,196.6,220,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,PAAD,CDKN2A,TCGA_MC3_Bailey2018,0.619524405506884,0.027536393274367,202.8,202,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,PAAD,KRAS,TCGA_MC3_Bailey2018,0.60885447106955,0.0169255185996731,216,208,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,PAAD,TP53,TCGA_MC3_Bailey2018,0.659119496855346,0.0315825843028952,141.6,120,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,PRAD,FOXA1,TCGA_MC3_Bailey2018,0.535173282923755,0.0386958773992454,304.2,311,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,PRAD,SPOP,TCGA_MC3_Bailey2018,0.695144571740316,0.0336331980365182,97.2,72,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,PRAD,TP53,TCGA_MC3_Bailey2018,0.661276657902425,0.0335900440716865,143.8,154,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,READ,APC,TCGA_MC3_Bailey2018,0.902946428571429,0.0118581210601229,5.4,5,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,READ,KRAS,TCGA_MC3_Bailey2018,0.650771756978654,0.0573047552714223,159.8,174,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,READ,TP53,TCGA_MC3_Bailey2018,0.911942959001783,0.0434050120405099,5.2,2,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,SARC,ATRX,TCGA_MC3_Bailey2018,0.599499263622975,0.0350117036956497,227.8,225,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,SARC,RB1,TCGA_MC3_Bailey2018,0.734756097560976,0.0527649479450252,69.6,52,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,SARC,TP53,TCGA_MC3_Bailey2018,0.655238571905239,0.04231881445131,148,131,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,SKCM,BRAF,TCGA_MC3_Bailey2018,0.676421404682274,0.0192693556463069,120,106,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,APC,TCGA_MC3_Bailey2018,0.631475852752449,0.0287595736146056,184.8,199,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,ARID1A,TCGA_MC3_Bailey2018,0.639781794496011,0.010517863305625,171.6,168,0.4,TITAN
