outcome_type,family,tumor_type,endpoint,highlighted,model_n,high_volume,subgroup_variable,subgroup,subgroup_n,positive,negative,denominator_adequate,reason,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TRUE,374,TRUE,Broad race,Black or African American,53,7,46,FALSE,fewer than 20 positive subgroup patients,,,,,,,,
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TRUE,374,TRUE,Broad race,Missing,121,16,105,FALSE,demographic field missing,,,,,,,,
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TRUE,374,TRUE,Broad race,Other recorded race,1,0,1,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TRUE,374,TRUE,Broad race,White,188,33,155,TRUE,performance estimated,,,,0.642424242424242,0.95741935483871,0.799921798631476,0.900762463343109,0.76512534902192
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TRUE,374,TRUE,Recorded sex,FEMALE,186,36,150,TRUE,performance estimated,,,,0.627777777777778,0.948,0.787888888888889,0.913407407407407,0.792793144010737
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TRUE,374,TRUE,Recorded sex,MALE,187,21,166,TRUE,performance estimated,,,,0.533333333333333,0.963855421686747,0.74859437751004,0.880263912794033,0.609567912675072
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TRUE,374,TRUE,Recorded sex,Missing,1,0,1,FALSE,demographic field missing,,,,,,,,
binary,oncogenic_pathway,LGG,HIPPO,TRUE,481,TRUE,Broad race,Asian,6,3,3,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,oncogenic_pathway,LGG,HIPPO,TRUE,481,TRUE,Broad race,Black or African American,20,13,7,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,oncogenic_pathway,LGG,HIPPO,TRUE,481,TRUE,Broad race,Missing,11,9,2,FALSE,demographic field missing,,,,,,,,
binary,oncogenic_pathway,LGG,HIPPO,TRUE,481,TRUE,Broad race,Other recorded race,1,0,1,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,oncogenic_pathway,LGG,HIPPO,TRUE,481,TRUE,Broad race,White,443,354,89,TRUE,performance estimated,,,,0.93728813559322,0.692134831460674,0.814711483526947,0.875883958611058,0.948283736422559
binary,oncogenic_pathway,LGG,HIPPO,TRUE,481,TRUE,Recorded sex,FEMALE,212,167,45,TRUE,performance estimated,,,,0.931736526946108,0.693333333333333,0.812534930139721,0.877445109780439,0.946795462717668
binary,oncogenic_pathway,LGG,HIPPO,TRUE,481,TRUE,Recorded sex,MALE,268,211,57,TRUE,performance estimated,,,,0.946919431279621,0.68421052631579,0.815564978797705,0.884908954851584,0.950847842516253
binary,oncogenic_pathway,LGG,HIPPO,TRUE,481,TRUE,Recorded sex,Missing,1,1,0,FALSE,demographic field missing,,,,,,,,
binary,oncogenic_pathway,LGG,TP53,TRUE,481,TRUE,Broad race,Asian,6,2,4,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,oncogenic_pathway,LGG,TP53,TRUE,481,TRUE,Broad race,Black or African American,20,9,11,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
binary,oncogenic_pathway,LGG,TP53,TRUE,481,TRUE,Broad race,Missing,11,3,8,FALSE,demographic field missing,,,,,,,,
binary,oncogenic_pathway,LGG,TP53,TRUE,481,TRUE,Broad race,Other recorded race,1,0,1,FALSE,fewer than 20 positive and 20 negative subgroup patients,,,,,,,,
